chr	center	width
1	144	107
1	232	120
1	362	155
1	595	119
1	695	124
1	764	113
1	849	151
1	1225	142
1	1329	156
1	1456	114
1	1673	145
1	1764	143
1	1908	131
1	1977	122
1	2049	138
1	2127	121
1	2224	130
1	2370	160
1	2451	151
1	2539	122
1	2621	155
1	2721	122
1	3270	116
1	3496	134
1	3597	101
1	3667	137
1	3776	160
1	3859	137
1	3959	110
1	4016	109
1	4099	123
1	4254	158
1	4454	160
1	4630	150
1	4707	114
1	4853	129
1	5129	146
1	5261	131
1	5341	144
1	5475	144
1	5577	120
1	5650	123
1	5734	135
1	5991	117
1	6167	159
1	6254	109
1	6343	114
1	6439	142
1	6614	127
1	6706	134
1	6838	148
1	6977	156
1	7077	127
1	7319	152
1	7402	117
1	7469	100
1	7586	123
1	7751	160
1	7871	124
1	7954	125
1	8024	105
1	8099	121
1	8312	103
1	8430	102
1	8523	102
1	8604	108
1	8659	110
1	8764	117
1	8837	115
1	9003	148
1	9130	140
1	9264	148
1	9401	133
1	9495	151
1	9583	123
1	9693	154
1	9983	126
1	10056	124
1	10330	136
1	10517	110
1	10616	113
1	10815	154
1	10952	152
1	11062	123
1	11132	135
1	11256	112
1	11343	116
1	11433	160
1	11656	145
1	11802	100
1	11953	109
1	12078	101
1	12294	150
1	12499	122
1	12565	118
1	12634	123
1	12707	132
1	12860	125
1	13100	148
1	13720	102
1	13800	132
1	13891	153
1	14074	107
1	14145	124
1	14222	137
1	14342	125
1	14435	126
1	14585	136
1	14802	150
1	14929	130
1	15029	134
1	15160	125
1	15266	147
1	15414	121
1	15482	113
1	15684	154
1	15792	157
1	15923	156
1	16038	102
1	16102	121
1	16272	159
1	16360	146
1	16521	159
1	16771	159
1	16884	120
1	16956	140
1	17148	150
1	17333	116
1	17548	150
1	17717	124
1	17822	159
1	18142	128
1	18226	157
1	18371	153
1	18497	121
1	18562	106
1	18696	110
1	18773	131
1	18868	157
1	19051	122
1	19174	144
1	19249	106
1	19469	143
1	19553	149
1	19657	155
1	19770	154
1	20035	149
1	20142	157
1	20222	126
1	20297	108
1	20419	109
1	20501	119
1	20569	128
1	20851	105
1	20947	142
1	21053	143
1	21211	139
1	21301	142
1	21426	158
1	21511	154
1	21590	105
1	21739	159
1	22202	142
1	22301	149
1	22388	156
1	22649	148
1	22728	118
1	22791	123
1	22907	121
1	23021	159
1	23164	121
1	23226	109
1	23322	120
1	23398	101
1	23471	143
1	23601	139
1	23711	144
1	23802	150
1	23887	135
1	23969	143
1	24042	104
1	24130	109
1	24204	105
1	24290	146
1	24386	143
1	24774	120
1	24885	122
1	24964	157
1	25114	117
1	25195	145
1	25286	122
1	25564	140
1	25672	122
1	25904	146
1	25992	143
1	26095	153
1	26236	139
1	26439	140
1	26677	113
1	26742	108
1	26904	151
1	27041	134
1	27173	136
1	27342	110
1	27418	117
1	27506	103
1	27745	117
1	27837	145
1	27930	145
1	28031	123
1	28276	134
1	28431	139
1	28519	108
1	28843	100
1	28951	112
1	29076	150
1	29163	121
1	29249	108
1	29316	122
1	29404	127
1	29503	156
1	29583	139
1	29715	112
1	29791	138
1	29868	131
1	30224	141
1	30322	142
1	30526	111
1	30593	111
1	30660	120
1	30745	119
1	30922	114
1	31173	154
1	31295	152
1	31487	101
1	31554	124
1	31647	145
1	31976	120
1	32364	119
1	32445	104
1	32526	117
1	32807	106
1	32890	112
1	33014	140
1	33097	106
1	33176	108
1	33267	159
1	33406	129
1	33564	155
1	33673	126
1	33747	145
1	33828	124
1	33901	123
1	33988	121
1	34063	121
1	34152	130
1	34237	109
1	34327	118
1	34419	150
1	34508	144
1	34583	127
1	34694	107
1	34768	144
1	35051	126
1	35148	107
1	35217	127
1	35355	115
1	35478	142
1	35631	139
1	35711	155
1	35805	122
1	35995	126
1	36078	154
1	36167	137
1	36249	121
1	36316	120
1	36381	102
1	36458	104
1	36545	159
1	36662	145
1	36785	132
1	37128	144
1	37203	138
1	37282	101
1	37347	122
1	37438	105
1	37503	128
1	37633	144
1	37817	119
1	38076	150
1	38211	139
1	38292	148
1	38369	125
1	38441	112
1	38553	131
1	38643	140
1	38718	137
1	38818	124
1	38959	108
1	39049	115
1	39127	113
1	39314	145
1	39510	148
1	39640	154
1	39775	155
1	39868	111
1	39964	103
1	40075	122
1	40156	149
1	40234	136
1	40326	140
1	40405	142
1	40560	137
1	40665	115
1	40870	149
1	41024	114
1	41130	100
1	41266	151
1	41373	141
1	41592	152
1	41708	140
1	42019	145
1	42167	146
1	42279	137
1	42404	158
1	42488	127
1	42593	141
1	42718	109
1	42906	155
1	43050	123
1	43246	142
1	43373	121
1	43461	137
1	43537	124
1	43674	112
1	43735	103
1	43970	142
1	44122	122
1	44193	137
1	44350	150
1	44425	100
1	44557	111
1	44648	112
1	44706	110
1	44903	141
1	45165	102
1	45242	151
1	45337	159
1	45549	145
1	45842	144
1	46017	108
1	46089	143
1	46390	116
1	46455	122
1	46570	158
1	46673	108
1	46755	146
1	46840	114
1	47296	118
1	47407	153
1	47981	105
1	48051	131
1	48118	120
1	48220	120
1	48389	137
1	48470	138
1	48551	157
1	48675	143
1	48761	134
1	48834	126
1	48910	123
1	48993	146
1	49114	114
1	49187	105
1	49277	142
1	49352	141
1	49431	100
1	49524	129
1	49751	123
1	49857	119
1	49938	155
1	50025	148
1	50226	101
1	50304	121
1	50426	138
1	50581	119
1	50688	154
1	50774	101
1	50855	145
1	50979	132
1	51264	155
1	51535	151
1	51611	107
1	51845	152
1	51994	146
1	52074	150
1	52180	157
1	52259	113
1	52348	127
1	52481	110
1	52566	124
1	52714	146
1	52804	111
1	52900	153
1	53075	144
1	53264	123
1	53333	107
1	53406	113
1	53484	121
1	53634	154
1	53719	100
1	53880	156
1	53973	111
1	54147	145
1	54232	124
1	54414	114
1	54481	105
1	54706	117
1	54798	102
1	54886	150
1	55097	135
1	55200	115
1	55336	155
1	55419	122
1	55557	117
1	55831	140
1	56038	106
1	56154	152
1	56292	156
1	56548	138
1	56625	152
1	56764	107
1	56826	112
1	56948	128
1	57118	144
1	57224	156
1	57365	102
1	57456	121
1	57564	121
1	57645	143
1	57769	128
1	57843	113
1	57980	139
1	58139	146
1	58284	105
1	58366	156
1	58680	153
1	58861	120
1	58940	153
1	59023	102
1	59103	110
1	59195	145
1	59303	139
1	59397	158
1	59548	159
1	59767	149
1	59999	153
1	60085	133
1	60269	122
1	60351	140
1	60462	153
1	60639	108
1	60708	126
1	60797	103
1	60908	155
1	61100	101
1	61241	147
1	61344	127
1	61564	148
1	61658	141
1	61794	105
1	61861	124
1	62055	104
1	62134	144
1	62296	144
1	62370	122
1	62630	157
1	62832	130
1	62912	100
1	63111	158
1	63298	144
1	63433	153
1	63526	117
1	63606	119
1	63690	106
1	63781	113
1	64074	148
1	64173	160
1	64319	110
1	64409	142
1	64489	158
1	64621	160
1	64718	109
1	64835	119
1	64951	146
1	65111	127
1	65198	127
1	65271	101
1	65372	118
1	65474	120
1	65554	160
1	65666	159
1	65811	138
1	65883	111
1	65986	153
1	66078	131
1	66148	121
1	66256	101
1	66337	110
1	66393	107
1	66513	143
1	66651	146
1	66829	106
1	66917	111
1	66995	126
1	67062	116
1	67167	148
1	67350	160
1	67578	132
1	67757	129
1	67836	109
1	67993	157
1	68229	143
1	68328	108
1	68442	108
1	68513	106
1	68612	111
1	68692	130
1	68770	117
1	68943	155
1	69090	142
1	69165	138
1	69317	139
1	69399	125
1	69498	116
1	69586	126
1	69685	122
1	69823	109
1	69908	138
1	70075	147
1	70223	129
1	70340	146
1	70452	151
1	70690	107
1	70795	106
1	70860	127
1	70925	108
1	71023	110
1	71251	150
1	71346	128
1	71558	121
1	71625	103
1	71757	141
1	71840	128
1	72032	103
1	72158	159
1	72244	115
1	72365	130
1	72478	131
1	72572	110
1	72652	132
1	72731	156
1	72844	148
1	72923	108
1	72990	124
1	73261	120
1	73337	116
1	73415	113
1	73498	104
1	73590	141
1	73714	105
1	73825	105
1	73991	144
1	74100	104
1	74213	153
1	74302	144
1	74385	134
1	74576	158
1	74704	143
1	74781	100
1	74935	100
1	75040	109
1	75126	112
1	75235	112
1	75373	116
1	75462	139
1	75640	155
1	75804	103
1	76051	150
1	76130	150
1	76207	130
1	76279	128
1	76455	133
1	76666	112
1	76722	113
1	76799	109
1	76965	103
1	77067	104
1	77171	145
1	77252	145
1	77379	111
1	77458	112
1	77559	135
1	77650	142
1	77794	150
1	77897	139
1	78023	113
1	78135	159
1	78271	159
1	78354	138
1	78431	121
1	78553	138
1	78749	141
1	78831	154
1	78908	138
1	78994	155
1	79129	159
1	79256	136
1	79518	119
1	79756	151
1	79886	140
1	80092	116
1	80237	104
1	80303	113
1	80705	101
1	80801	147
1	80956	160
1	81249	102
1	81661	123
1	81884	125
1	82114	121
1	82190	140
1	82277	153
1	82367	117
1	82475	140
1	82631	155
1	82813	141
1	82929	143
1	83146	154
1	83385	117
1	83520	138
1	83597	123
1	83702	100
1	83785	115
1	83903	135
1	83999	157
1	84091	135
1	84186	152
1	84297	157
1	84384	160
1	84599	115
1	84782	155
1	84888	100
1	84976	111
1	85086	107
1	85171	103
1	85306	150
1	85403	143
1	85482	143
1	85613	123
1	85705	155
1	85802	150
1	85931	139
1	86009	144
1	86113	145
1	86188	113
1	86261	108
1	86394	134
1	86487	137
1	86565	151
1	86658	144
1	86763	113
1	86844	156
1	87002	149
1	87098	124
1	87210	129
1	87285	124
1	87415	138
1	87493	156
1	87653	126
1	87740	101
1	87897	136
1	87969	106
1	88035	100
1	88162	158
1	88244	153
1	88380	144
1	88562	146
1	88742	129
1	88845	159
1	89011	106
1	89124	144
1	89243	107
1	89338	142
1	89430	152
1	89528	128
1	89600	126
1	89789	154
1	89996	147
1	90153	143
1	90240	142
1	90431	151
1	90717	141
1	90799	134
1	90866	100
1	90951	134
1	91020	116
1	91100	112
1	91206	152
1	91332	124
1	91398	111
1	91529	138
1	91682	123
1	91763	148
1	91884	156
1	92020	126
1	92489	139
1	92596	107
1	92667	139
1	92747	156
1	92981	151
1	93058	151
1	93136	116
1	93267	135
1	93499	125
1	93611	137
1	93681	131
1	93823	119
1	93900	137
1	94246	138
1	94332	114
1	94440	138
1	94529	122
1	94830	144
1	94902	144
1	95057	119
1	95163	145
1	95444	158
1	95538	113
1	95643	100
1	95759	120
1	95832	117
1	95899	112
1	95995	149
1	96074	131
1	96258	148
1	96486	151
1	96566	141
1	96807	132
1	96917	131
1	97150	145
1	97328	154
1	97405	153
1	97546	126
1	97626	112
1	97809	153
1	97931	109
1	98009	147
1	98269	137
1	98350	152
1	98432	128
1	98503	102
1	98565	111
1	98696	120
1	98807	139
1	98893	107
1	98974	123
1	99072	157
1	99178	102
1	99254	141
1	99460	125
1	99744	145
1	99864	117
1	99965	123
1	100086	145
1	100327	148
1	100409	129
1	100484	106
1	100688	133
1	100875	102
1	100959	130
1	101083	148
1	101178	158
1	101276	126
1	101551	115
1	101682	117
1	101764	143
1	101837	104
1	101910	122
1	102094	101
1	102148	105
1	102241	157
1	102321	107
1	102583	139
1	102681	102
1	102769	116
1	102979	138
1	103131	141
1	103205	136
1	103301	126
1	103384	109
1	103589	122
1	103737	127
1	104072	111
1	104154	111
1	104212	111
1	104311	144
1	104504	145
1	104594	144
1	104696	102
1	104763	114
1	104952	139
1	105081	112
1	105290	158
1	105459	145
1	105635	144
1	105798	125
1	105872	136
1	106030	157
1	106256	144
1	106388	147
1	106706	125
1	106840	146
1	106927	103
1	107076	100
1	107144	107
1	107222	110
1	107297	115
1	107519	121
1	107612	133
1	107776	117
1	108218	151
1	108295	131
1	108414	119
1	108528	125
1	108673	115
1	108755	155
1	108899	143
1	109209	108
1	109268	117
1	109410	145
1	109604	144
1	109749	138
1	109828	159
1	110018	147
1	110343	115
1	110443	108
1	110554	156
1	110639	154
1	110755	112
1	111022	155
1	111105	123
1	111211	148
1	111296	106
1	111374	125
1	111507	149
1	111587	112
1	111712	104
1	111770	107
1	111846	145
1	112037	145
1	112119	128
1	112210	142
1	112316	152
1	112427	119
1	112488	111
1	112760	146
1	112868	129
1	112947	140
1	113083	132
1	113158	113
1	113234	115
1	113348	101
