chr	center	size
1	415	112.761
1	656	125.833
1	872	122.71
1	1246	115.227
1	1345	99.5882
1	1464	123.68
1	1905	83.9271
1	2234	127.666
1	2640	110.128
1	3235	123.087
1	3513	127.507
1	3819	112.565
1	4136	58.8251
1	4446	132.887
1	4770	85.1322
1	5176	125.571
1	5398	107.035
1	5677	102.029
1	5998	123.962
1	6180	118.029
1	6326	109.321
1	6575	105.631
1	6799	124.03
1	6944	119.458
1	7076	121.712
1	7370	111.02
1	7590	121.565
1	7754	118.789
1	8007	107.002
1	8332	119.536
1	8575	105.538
1	8859	95.2903
1	9146	80.1212
1	9531	110.302
1	9693	120.635
1	10014	117.713
1	10332	118.463
1	10476	119.062
1	10590	109.899
1	10812	118.906
1	11016	101.676
1	11187	91.9999
1	11401	111.62
1	11645	120.918
1	11831	131.151
1	12042	117.995
1	12239	125.319
1	12496	116.672
1	12627	112.948
1	12856	127.783
1	13072	127.14
1	13744	123.111
1	13888	121.121
1	14201	94.4405
1	14497	95.6106
1	14936	89.5941
1	15315	119.894
1	15835	90.9297
1	16197	85.6954
1	16529	125.604
1	16838	107.954
1	17119	129.466
1	17330	123.614
1	17558	131.913
1	17785	130.17
1	18147	108.125
1	18475	103.724
1	18772	110.444
1	19149	86.9509
1	19471	120.917
1	19714	106.99
1	20117	108.711
1	20462	91.6445
1	21094	113.166
1	21564	131.402
1	22191	119.495
1	22335	120.792
1	22637	121.042
1	22863	103.216
1	23142	120.801
1	23380	105.922
1	23672	118.632
1	24013	93.6278
1	24280	103.073
1	24869	90.1276
1	25224	112.686
1	25589	124.141
1	25970	113.83
1	26310	79.8384
1	26676	124.527
1	26912	103.062
1	27187	126.307
1	27443	116.871
1	27831	103.613
1	28169	84.1901
1	28491	112.684
1	29071	108.336
1	29607	110.45
1	30300	121.889
1	30494	128.987
1	30708	129.018
1	30951	115.627
1	31151	126.101
1	31290	118.325
1	31582	112.338
1	31994	124.248
1	32422	107.391
1	32985	115.748
1	33388	114.632
1	33737	117.531
1	34085	114.419
1	34480	118.319
1	34760	121.132
1	35111	94.01
1	35388	80.5284
1	35681	105.903
1	36015	122.342
1	36185	107.982
1	36461	111.339
1	36759	99.8549
1	37226	97.1063
1	37541	88.9882
1	37826	128.661
1	38071	122.357
1	38316	110.108
1	38680	88.7615
1	39003	99.7218
1	39297	129.547
1	39516	113.949
1	39722	100.035
1	40011	118.001
1	40144	122.466
1	40336	112.633
1	40580	115.343
1	40722	118.529
1	40898	114.992
1	41041	123.932
1	41246	110.857
1	41380	114.339
1	41507	118.525
1	41699	128.283
1	42197	113.303
1	42566	111.66
1	42938	99.4973
1	43239	124.917
1	43439	113.714
1	43646	112.92
1	44004	128.8
1	44304	114.364
1	44606	104.034
1	44949	124.571
1	45269	106.772
1	45559	118.648
1	45827	123.604
1	46065	115.842
1	46430	97.3134
1	46742	99.0097
1	47367	128.782
1	48038	116.894
1	48539	114.674
1	48874	101.268
1	49212	108.331
1	49480	127.471
1	49741	131.778
1	49958	126.336
1	50320	119.842
1	50653	117.407
1	50887	111.796
1	51238	128.118
1	51620	128.35
1	52057	106.828
1	52414	107.106
1	52804	102.838
1	53191	90.0533
1	53446	108.674
1	53674	125.599
1	53969	112.572
1	54286	123.493
1	54491	126.944
1	54727	120.718
1	54887	122.76
1	55129	118.291
1	55342	110.955
1	55601	123.756
1	55833	130.542
1	56080	126.791
1	56266	117.765
1	56660	107.719
1	56912	125.351
1	57211	122.919
1	57514	108.573
1	57889	91.7452
1	58257	77.737
1	58720	95.6433
1	59032	106.928
1	59436	92.5223
1	59747	122.919
1	60031	133.995
1	60412	92.3757
1	60819	110.16
1	61247	126.848
1	61672	115.744
1	62062	112.923
1	62261	113.199
1	62638	123.479
1	62992	65.2642
1	63317	76.0131
1	63682	102.865
1	64291	99.5298
1	64892	100.965
1	65459	100.594
1	65968	126.303
1	66420	89.3327
1	66740	98.17
1	67079	108.554
1	67358	123.368
1	67634	93.5631
1	67926	111.215
1	68354	116.724
1	68585	112.42
1	68843	86.2471
1	69135	130.006
1	69407	107.095
1	69650	108.939
1	69935	107.947
1	70195	103.031
1	70428	118.494
1	70753	110.287
1	70984	105.965
1	71314	113.302
1	71674	113.853
1	72081	117.553
1	72447	116.735
1	72762	109.556
1	73106	97.3876
1	73411	120.024
1	73725	121.56
1	73996	121.224
1	74211	124.337
1	74319	121.741
1	74592	115.923
1	74724	120.656
1	74926	127.841
1	75139	117.588
1	75398	117.396
1	75613	117.051
1	75832	126.634
1	76144	109.866
1	76460	125.91
1	76681	109.122
1	76775	72.7267
1	77021	110.562
1	77315	93.5462
1	77635	107.884
1	77883	108.574
1	78114	107.908
1	78342	89.2809
1	78572	112.41
1	78876	97.7803
1	79197	119.422
1	79331	104.846
1	79537	128.365
1	79774	123.721
1	80142	110.911
1	80738	118.694
1	80917	123.769
1	81238	123.662
1	81647	117.718
1	81860	130.764
1	82213	111.29
1	82533	113.007
1	82840	128.273
1	83140	125.022
1	83454	91.8243
1	83756	119.497
1	84026	110.278
1	84300	106.471
1	84757	112.676
1	85144	96.9728
1	85639	107.421
1	86030	87.4979
1	86428	123.813
1	86746	98.0056
1	87151	86.073
1	87435	100.349
1	87681	123.194
1	87922	117.065
1	88174	124.82
1	88342	121.131
1	88618	113.252
1	88907	104.882
1	89183	120.476
1	89482	95.4668
1	89785	130.903
1	89990	126.683
1	90211	128.649
1	90429	126.662
1	90736	113.728
1	91019	100.848
1	91371	115.614
1	91882	114.559
1	92536	112.128
1	92711	118.147
1	93037	94.2322
1	93245	121.004
1	93539	97.621
1	93822	111.128
1	94338	113.25
1	94523	113.292
1	94873	125
1	95093	121.044
1	95510	109.691
1	95738	101.455
1	95985	115.027
1	96219	107.672
1	96543	127.619
1	96889	121.673
1	97146	123.879
1	97391	112.979
1	97607	126.195
1	97808	119.531
1	97920	98.1936
1	98021	128.09
1	98349	119.968
1	98488	124.196
1	98779	105.214
1	99034	100.827
1	99257	130.829
1	99456	131.438
1	99719	123.835
1	100003	100.342
1	100338	114.289
1	100446	118.019
1	100718	110.794
1	100998	112.411
1	101218	110.872
1	101591	118.386
1	101873	109.025
1	102211	97.0467
1	102661	113.961
1	103055	106.573
1	103406	122.892
1	103669	104.934
1	104197	105.712
1	104560	111.722
1	104697	117.182
1	105042	112.539
1	105321	106.505
1	105582	102.985
1	105958	95.9666
1	106266	117.599
1	106374	119.534
1	106709	117.515
1	106889	126.906
1	107196	97.9937
1	107586	116.447
1	107799	124.908
1	108232	124.44
1	108486	122.631
1	108693	119.483
1	108907	119.071
1	109235	122.26
1	109372	125.581
1	109690	85.5796
1	110003	130.777
1	110561	103.021
1	111174	117.288
1	111574	105.338
1	111912	93.5108
1	112314	110.29
1	112854	104.53
1	113221	113.425
1	113702	72.9943
1	114200	103.586
1	114643	118.013
1	115074	63.0853
1	115522	112.322
1	116078	107.69
1	116673	119.35
1	117180	114.303
1	117537	117.301
1	117831	89.73
1	118114	127.992
1	118343	111.864
1	118563	111.941
1	118830	105.605
1	119013	114.298
1	119237	121.591
1	119591	123.544
1	119863	96.6982
1	120180	97.4358
1	120431	109.973
1	120746	102.216
1	121141	110.82
1	121301	115.684
1	121608	96.1137
1	121905	93.1126
1	122234	114.67
1	122498	119.75
1	122822	112.45
1	123103	102.787
1	123339	124.208
1	123601	89.4934
1	123853	106.792
1	123998	73.0608
1	124180	107.839
1	124613	123.272
1	124770	122.478
1	124998	96.2876
1	125285	138.988
1	125548	96.9928
1	125934	114.647
1	126307	116.487
1	126549	95.5866
1	126804	119.149
1	126958	119.907
1	127317	117.542
1	127433	116.767
1	127876	108.881
1	128206	99.2462
1	128654	93.6201
1	128972	98.6344
1	129291	100.382
1	129793	111.349
1	130097	104.879
1	130407	83.0365
1	130752	134.229
1	131012	117.566
1	131226	107.814
1	131631	103.582
1	131928	117.815
1	132358	115.143
1	132771	95.3591
1	133085	89.0809
1	133346	98.1551
1	133626	113.237
1	133763	112.327
1	134063	113.449
1	134222	108.856
1	134451	122.015
1	134663	123.607
1	134814	124.67
1	135075	124.045
1	135313	127.972
1	135516	118.477
1	135649	111.934
1	135876	128.465
1	136232	126.269
1	136402	122.222
1	136785	98.6877
1	137156	119.473
1	137571	104.258
1	137941	99.7937
1	138548	118.137
1	138915	100.851
1	139322	104.098
1	139580	126.365
1	139810	101.218
1	140078	128.811
1	140387	99.0694
1	140775	108.262
1	141217	119.43
1	141796	116.936
1	142499	115.421
1	142882	99.9594
1	143378	120.533
1	143714	106.805
1	143910	121.037
1	144428	133.674
1	144673	110.367
1	144987	116.355
1	145213	103.144
1	145381	117.545
1	145659	111.277
1	145972	126.965
1	146168	117.819
1	146281	119.374
1	146564	110.68
1	146862	121.753
1	147112	115.998
1	147337	115.746
1	147478	125.12
1	147673	117.153
1	147885	130.56
1	148112	114.178
1	148232	121.211
1	148388	130.167
1	148703	119.59
1	148795	94.1272
1	148900	123.694
1	149214	127.169
1	149491	102.411
1	149780	114.001
1	149931	124.536
1	150309	115.635
1	150741	123.378
1	151244	114.16
1	151681	127.899
1	152104	111.695
1	152496	95.2411
1	152850	122.353
1	153153	124.166
1	153318	114.588
1	153473	117.257
1	153655	120.002
1	153942	108.395
1	154162	96.6625
1	154333	117.488
1	154603	111.76
1	155008	101.06
1	155251	95.9315
1	155485	125.795
1	155828	91.3448
1	156133	136.849
1	156441	90.5701
1	156657	126.343
1	157063	114.692
1	157385	111.786
1	157762	81.7271
1	158160	101.593
1	158509	116.402
1	158609	107.736
1	158783	117.691
1	159041	103.596
1	159381	107.961
1	159728	105.433
1	160095	116.613
1	160501	127.872
1	160818	120.331
1	160975	130.727
1	161347	100.303
1	161666	75.2131
1	161979	89.6423
1	162350	126.248
1	162657	90.0089
1	163074	121.626
1	163358	92.0534
1	163637	109.32
1	163767	113.546
1	163953	119.282
1	164118	118.703
1	164250	122.454
1	164501	95.7705
