Chr	Start	End	FOccupancy	ROccupancy
1	2955	3101	8.66667	20
1	3126	3278	1.66667	2.33333
1	3311	3451	4.33333	8.66667
1	3472	3624	8.66667	4.66667
1	3655	3798	4.33333	3
1	3890	4023	4	5
1	4042	4193	6.33333	5.33333
1	4230	4377	9.66667	0
1	4592	4741	2	3
1	4783	4916	2.66667	4.66667
1	4911	5047	4.33333	3
1	5110	5247	7	4
1	5259	5400	4.66667	8.66667
1	5576	5722	6	3
1	5700	5830	3.33333	6.66667
1	5884	6024	3.33333	2.66667
1	6056	6199	3	5.33333
1	6218	6366	3.66667	7.33333
1	6377	6514	2.66667	2.33333
1	6530	6673	4.66667	10
1	6703	6851	4	1.33333
1	6891	7027	2.66667	4.33333
1	7246	7382	3	4.66667
1	7375	7522	7	0
1	7537	7658	9.66667	5.66667
1	7680	7819	4.33333	4.33333
1	7907	8063	2.66667	2.66667
1	8045	8190	19	22.6667
1	8227	8374	19	21.3333
1	8390	8539	15	13
1	8722	8875	3	5.66667
1	8894	9026	2.66667	3.66667
1	9087	9225	5	3.33333
1	9327	9474	20.6667	11.6667
1	9523	9680	3.66667	4
1	9679	9838	8.33333	5.66667
1	9868	10008	5.66667	4
1	10059	10193	3	3.33333
1	10366	10516	5.33333	7
1	10488	10647	3.33333	4
1	10685	10831	7.33333	15
1	10870	11018	4.66667	5.33333
1	11038	11187	3.66667	5
1	11288	11437	3.66667	4.66667
1	28100	28223	3.66667	2.66667
1	28249	28393	7.66667	4
1	28432	28579	18.3333	23
1	28734	28890	13.6667	7
1	28874	29011	4.66667	5
1	29124	29258	3.33333	5.33333
1	29285	29424	9.33333	7
1	29446	29587	3.33333	3.33333
1	29642	29782	11.3333	10
1	29815	29952	5.33333	4.33333
1	29977	30104	2.33333	2
1	30206	30354	3.66667	5.33333
1	30312	30456	9.33333	8
1	30473	30608	10.6667	5.66667
1	30635	30783	2.66667	7.33333
1	30814	30959	6.66667	10.3333
1	31306	31452	2.33333	3.66667
1	31528	31665	2	2.33333
1	31718	31865	23.3333	0
1	32269	32417	16.3333	7.66667
1	32428	32580	18.3333	19.6667
1	32660	32808	12	11
1	32842	32991	28.3333	19.3333
1	33016	33160	4.33333	2.33333
1	33132	33279	12	19.6667
1	33304	33451	6.66667	3.66667
1	33480	33620	11.6667	8.66667
1	33660	33807	0	14.3333
1	33805	33952	0	12.6667
1	33967	34114	16.3333	11.3333
1	34129	34275	11	9.66667
1	34305	34453	14.6667	11.3333
1	34449	34601	4.66667	4.33333
1	34619	34766	0	11.3333
1	34792	34935	10	12
1	34984	35131	12.3333	0
1	35166	35319	23	19.6667
1	35342	35494	11.6667	18
1	35511	35645	9.33333	9.66667
1	35635	35782	0	6
1	35797	35951	7.66667	3
1	35928	36066	9.33333	14.3333
1	36116	36240	9	16.6667
1	36252	36396	7.33333	10.3333
1	36514	36661	16.3333	16.3333
1	36687	36841	9.66667	2.66667
1	36855	37009	3.33333	4
1	36991	37137	3	2
1	37369	37524	25	17
1	37553	37700	23.3333	18.3333
1	37698	37858	14.3333	19.3333
1	37885	38032	14.3333	10.3333
1	38039	38192	10	11.3333
1	38221	38364	14.6667	15.3333
1	38390	38538	15.3333	14.3333
1	38564	38708	21.3333	9.33333
1	38725	38871	24	19.3333
1	38898	39044	21	21.3333
1	39176	39327	19.3333	14
1	39347	39488	5.66667	6
1	39508	39660	14	12
1	39683	39831	9.66667	5.66667
1	39810	39958	3.66667	1.66667
1	39990	40144	5.33333	3.33333
1	40150	40308	11.3333	7.66667
1	40310	40461	6.33333	5.66667
1	40487	40635	2	2.33333
1	40612	40759	6.66667	6.33333
1	40859	41006	0	6.33333
1	41065	41213	9.66667	10.3333
1	41246	41369	5.33333	4
1	41351	41498	10	0
