Chr	Center	Size
1	191	140
1	401	140
1	661	140
1	881	140
1	1271	140
1	1461	140
1	1761	140
1	1981	140
1	2091	140
1	2261	140
1	2441	140
1	2671	140
1	2781	140
1	3231	140
1	3511	140
1	3741	140
1	3871	140
1	4011	140
1	4241	140
1	4461	140
1	4681	140
1	4851	140
1	5161	140
1	5341	140
1	5461	140
1	5591	140
1	5771	140
1	5971	140
1	6201	140
1	6291	140
1	6481	140
1	6591	140
1	6801	140
1	6951	140
1	7091	140
1	7311	140
1	7421	140
1	7611	140
1	7761	140
1	7931	140
1	8071	140
1	8351	140
1	8511	140
1	8621	140
1	8791	140
1	8971	140
1	9251	140
1	9501	140
1	9641	140
1	10001	140
1	10351	140
1	10421	140
1	10491	140
1	10601	140
1	10781	140
1	10951	140
1	11111	140
1	11281	140
1	11421	140
1	11651	140
1	11811	140
1	12071	140
1	12151	140
1	12231	140
1	12521	140
1	12661	140
1	12861	140
1	13081	140
1	13761	140
1	13881	140
1	14131	140
1	14271	140
1	14421	140
1	14571	140
1	14821	140
1	15011	140
1	15181	140
1	15301	140
1	15471	140
1	15761	140
1	15911	140
1	16111	140
1	16281	140
1	16531	140
1	16781	140
1	16921	140
1	17121	140
1	17321	140
1	17561	140
1	17671	140
1	17781	140
1	18081	140
1	18151	140
1	18351	140
1	18531	140
1	18651	140
1	18751	140
1	18891	140
1	19081	140
1	19231	140
1	19461	140
1	19691	140
1	20046	140
1	20131	140
1	20261	140
1	20401	140
1	20551	140
1	20911	140
1	21131	140
1	21251	140
1	21411	140
1	21561	140
1	21751	140
1	22231	140
1	22321	140
1	22641	140
1	22801	140
1	22901	140
1	23141	140
1	23411	140
1	23631	140
1	23711	140
1	23941	140
1	24101	140
1	24221	140
1	24341	140
1	24751	140
1	24951	140
1	25091	140
1	25211	140
1	25371	140
1	25601	140
1	25891	140
1	25991	140
1	26061	140
1	26231	140
1	26461	140
1	26691	140
1	26861	140
1	27001	140
1	27201	140
1	27451	140
1	27731	140
1	27891	140
1	28061	140
1	28261	140
1	28451	140
1	28531	140
1	28931	140
1	29041	140
1	29111	140
1	29181	140
1	29301	140
1	29411	140
1	29581	140
1	29701	140
1	29811	140
1	30301	140
1	30491	140
1	30701	140
1	30981	140
1	31161	140
1	31311	140
1	31521	140
1	31651	140
1	32001	140
1	32401	140
1	32471	140
1	32851	140
1	32921	140
1	32991	140
1	33081	140
1	33291	140
1	33521	140
1	33631	140
1	33701	140
1	33851	140
1	34051	140
1	34321	140
1	34501	140
1	34771	140
1	35041	140
1	35181	140
1	35291	140
1	35501	140
1	35601	140
1	35731	140
1	36021	140
1	36171	140
1	36341	140
1	36471	140
1	36586	140
1	36686	140
1	36851	140
1	37151	140
1	37311	140
1	37461	140
1	37641	140
1	37831	140
1	38081	140
1	38276	140
1	38351	140
1	38591	140
1	38741	140
1	38931	140
1	39081	140
1	39301	140
1	39501	140
1	39631	140
1	39701	140
1	39771	140
1	39981	140
1	40131	140
1	40331	140
1	40571	140
1	40711	140
1	40911	140
1	41026	140
1	41251	140
1	41381	140
1	41501	140
1	41701	140
1	42031	140
1	42271	140
1	42341	140
1	42591	140
1	42901	140
1	42981	140
1	43231	140
1	43421	140
1	43571	140
1	43671	140
1	43991	140
1	44281	140
1	44431	140
1	44541	140
1	44641	140
1	44961	140
1	45216	140
1	45331	140
1	45551	140
1	45841	140
1	46071	140
1	46381	140
1	46521	140
1	46681	140
1	46821	140
1	47381	140
1	47921	140
1	48041	140
1	48181	140
1	48511	140
1	48711	140
1	48841	140
1	48991	140
1	49191	140
1	49301	140
1	49491	140
1	49751	140
1	49951	140
1	50201	140
1	50286	140
1	50411	140
1	50621	140
1	50751	140
1	50961	140
1	51241	140
1	51531	140
1	51611	140
1	51831	140
1	52031	140
1	52131	140
1	52411	140
1	52481	140
1	52621	140
1	52761	140
1	52881	140
1	53131	140
1	53271	140
1	53431	140
1	53681	140
1	53941	140
1	54121	140
1	54201	140
1	54271	140
1	54451	140
1	54721	140
1	54881	140
1	55161	140
1	55311	140
1	55391	140
1	55591	140
1	55831	140
1	56101	140
1	56261	140
1	56621	140
1	56701	140
1	56911	140
1	57191	140
1	57381	140
1	57481	140
1	57591	140
1	57801	140
1	57991	140
1	58141	140
1	58351	140
1	58651	140
1	58881	140
1	59031	140
1	59371	140
1	59551	140
1	59771	140
1	60021	140
1	60291	140
1	60481	140
1	60671	140
1	60811	140
1	60911	140
1	61081	140
1	61251	140
1	61341	140
