chip	center	size
1	446	112.605
1	650	133.119
1	878	115.277
1	1250	122.829
1	1460	130.447
1	1787	131.393
1	2098	115.267
1	2412	116.924
1	2703	106.763
1	3363	53.3419
1	3820	106.445
1	4156	93.6425
1	4460	128.041
1	4775	93.0908
1	5222	107.55
1	5483	108.06
1	5730	113.974
1	6002	126.897
1	6226	106.346
1	6530	110.271
1	6810	121.928
1	7073	130.196
1	7548	107.143
1	8030	100.126
1	8565	117.707
1	9040	120.571
1	9545	113.173
1	9845	53.4987
1	10392	110.153
1	10767	115.627
1	11264	121.345
1	11727	95.642
1	12140	94.9136
1	12580	104.801
1	12842	126.39
1	13076	118.616
1	13209	176
1	13820	110.28
1	14275	113.699
1	14786	114.157
1	15292	108.182
1	15881	103.048
1	16313	119.609
1	16774	121.686
1	16975	106.264
1	17153	115.803
1	17345	122.86
1	17575	122.08
1	17873	75.7624
1	18273	107.425
1	18718	109.217
1	19098	112.666
1	19423	105.609
1	19708	108.101
1	20111	112.898
1	20457	102.262
1	21009	106.635
1	21309	98.7498
1	21660	85.0779
1	22275	105.425
1	22713	93.3758
1	23016	100.578
1	23394	111.647
1	23762	109.136
1	24232	98.4814
1	24826	95.0931
1	25147	108.209
1	25468	95.3349
1	25891	112.015
1	26069	111.757
1	26312	79.6248
1	26644	120.236
1	26893	108.847
1	27172	118.78
1	27453	122.773
1	27808	100.328
1	28070	112.132
1	28332	103.52
1	28525	116.954
1	28900	110.781
1	29142	115.164
1	29386	119.977
1	29709	108.717
1	30405	91.5752
1	30815	80.245
1	31237	107.974
1	31589	114.371
1	31992	129.47
1	32418	123.672
1	32988	106.566
1	33478	116.45
1	33954	96.056
1	34548	117.469
1	35410	100.742
1	36383	114.352
1	37193	107.894
1	37828	122.415
1	38516	94.2497
1	39202	90.5535
1	39865	91.5871
1	40510	116.659
1	40956	117.768
1	41351	105.67
1	41646	102.36
1	42027	118.681
1	42244	125.737
1	42401	108.472
1	42614	115.64
1	43008	117.095
1	43533	109.156
1	44002	120.099
1	44371	108.628
1	44756	94.6166
1	45259	107.587
1	45556	127.644
1	45845	122.708
1	46067	128.699
1	46429	100.286
1	46743	105.443
1	47362	120.559
1	47962	116.279
1	48185	118.723
1	48523	116.416
1	48818	111.524
1	49131	111.212
1	49394	93.0244
1	49735	117.192
1	49957	116.836
1	50303	114.432
1	50598	108.251
1	50787	107.9
1	50954	124.204
1	51250	130.634
1	51628	122.674
1	52060	112.56
1	52410	115.602
1	52807	110.626
1	53234	105.987
1	53530	111.709
1	53904	117.236
1	54149	116.357
1	54409	104.729
1	54714	115.945
1	54876	126.333
1	55140	122.004
1	55339	113.169
1	55575	119.98
1	55837	124.528
1	56186	91.2069
1	56593	123.444
1	56699	113.752
1	56902	126.638
1	57233	102.204
1	57540	119.248
1	57919	106.528
1	58273	99.3798
1	58754	96.1137
1	59109	110.954
1	59601	113.08
1	60270	118.012
1	60862	119.193
1	61516	103.412
1	62105	117.284
1	62667	120.292
1	63142	116.033
1	63644	101.546
1	64300	101.865
1	64919	111.359
1	65634	121.062
1	66417	108.771
1	67088	109.413
1	67723	114.586
1	68254	95.4789
1	68704	115.942
1	69435	106.843
1	70057	110.33
1	70548	77.2838
1	70910	109.073
1	71301	114.606
1	71578	114.957
1	71778	120.887
1	72106	110.003
1	72542	102.844
1	72963	90.6391
1	73416	117.857
1	73857	80.2304
1	74279	117.072
1	74652	108.251
1	74985	103.351
1	75277	101.36
1	75720	93.0899
1	76147	117.833
1	76612	88.7386
1	77114	109.762
1	77663	111.03
1	78049	114.297
1	78490	121.909
1	78864	105.2
1	79197	122.094
1	79534	124.461
1	79756	124.028
1	79897	74.0781
1	80034	112.753
1	80151	106.363
1	80294	120.277
1	80720	127.63
1	80826	105.553
1	80929	126.218
1	81165	110.147
1	81249	115.521
1	81642	121.323
1	81859	124.878
1	82210	114.849
1	82536	119.046
1	82850	128.585
1	83266	69.7399
1	83668	86.5324
1	84135	109.125
1	84620	124.006
1	85093	122.302
1	85731	110.893
1	86422	107.486
1	87076	119.28
1	87694	113.74
1	88301	109.583
1	88954	103.669
1	89544	118.386
1	90198	125.42
1	90795	116.599
1	91241	118.747
1	91631	102.261
1	91971	112.66
1	92522	116.043
1	92721	118.634
1	93124	104.502
1	93541	105.67
1	93833	114.386
1	94295	121.709
1	94508	111.195
1	94871	123.332
1	95089	115.886
1	95595	118.008
1	96005	115.004
1	96454	98.515
1	96889	127.536
1	97145	118.562
1	97404	115.684
1	97644	118.419
1	97848	105.524
1	98018	121.964
1	98400	116.895
1	98719	116.035
1	98969	120.174
1	99322	103.32
1	99720	118.089
1	99998	104.168
1	100339	116.057
1	100449	120.735
1	100695	112.226
1	101011	117.392
1	101271	119.804
1	101565	109.734
1	101716	111.581
1	101907	118.296
1	102147	119.594
1	102292	121.873
1	102602	114.059
1	102739	111.431
1	103003	118.52
1	103154	109.514
1	103260	95.2082
1	103477	93.6325
1	103707	115.844
1	104126	116.176
1	104259	113.973
1	104625	112.527
1	105143	88.4001
1	105685	103.964
1	106237	124.588
1	106658	132.46
1	106853	124.362
1	107109	121.692
1	107259	108.505
1	107586	129.674
1	107776	112.552
1	107860	114.781
1	108232	123.04
1	108457	131.521
1	108673	126.129
1	108908	122.356
1	109229	115.919
1	109371	124.29
1	109676	105.34
1	109984	123.713
1	110410	120.405
1	110687	113.105
1	111174	109.487
1	111590	90.9491
1	111964	103.258
1	112325	110.86
1	112841	111.859
1	113066	114.75
1	113191	111.865
1	113362	117.652
1	113571	117.523
1	113747	109.751
1	113830	113.51
1	114139	121.255
1	114267	114.008
1	114779	46.1852
1	115362	119.674
1	115926	109.422
1	116514	110.771
1	117125	82.6312
1	117758	123.369
1	118330	121.261
1	118868	107.385
1	119421	51.0606
