Chr	Start	End	FOccupancy	ROccupancy
1	105	263	1	3
1	934	1081	2.33333	0
1	1187	1316	1	1
1	2129	2276	0	4.33333
1	2299	2428	12.3333	6
1	13258	13405	0	8.66667
1	13400	13547	0	16.6667
1	13606	13748	15.3333	1.66667
1	14155	14302	0	2
1	14299	14453	3.66667	1.5
1	14504	14651	6.33333	0
1	14670	14817	3.66667	0
1	14979	15134	4.33333	1.33333
1	15148	15304	2.66667	1.33333
1	15264	15411	0	13
1	15447	15594	0	4.33333
1	15806	15946	2	1
1	15987	16134	0	5
1	16144	16291	2	0
1	16249	16396	3	0
1	17122	17269	0	2
1	17255	17402	1.66667	0
1	17508	17655	0	2.5
1	17701	17848	0	2
1	18292	18439	0	5
1	18456	18597	2.5	1
1	18579	18726	0	7.33333
1	18747	18894	0	6.5
1	18957	19104	0	2.5
1	19288	19435	0	7
1	19442	19589	8	0
1	19595	19730	1	2
1	19733	19872	2.5	1
1	20124	20271	4.33333	0
1	21117	21266	2	2.33333
1	21265	21422	1	4.66667
1	21386	21533	0	5.66667
1	21623	21770	0	12.6667
1	22065	22212	0	2.33333
1	22266	22413	0	6
1	22376	22521	1	1.66667
1	22543	22690	0	2
1	22673	22820	7	0
1	22996	23123	1	1
1	23174	23321	4.33333	0
1	23463	23617	1	1.33333
1	24424	24571	0	3
1	24831	24975	6.66667	2.33333
1	24976	25129	3	2.5
1	25321	25443	1.33333	4.33333
1	27111	27271	2.5	3
1	27262	27409	6.33333	0
1	27483	27630	0	1.66667
1	27631	27778	3	0
1	27746	27873	2	4.66667
1	27856	28016	5	2.66667
1	28104	28234	1	1
1	28292	28439	3	0
1	28404	28551	0	5.33333
1	28717	28864	0	4.66667
1	28839	28986	4	0
1	29020	29144	1.33333	1.33333
1	29118	29265	3	0
1	29229	29376	0	2
1	29456	29603	2	0
1	29636	29783	4.66667	0
1	29810	29949	1	1
1	30004	30147	1.5	2.5
1	30150	30297	2	0
1	30319	30466	6.33333	0
1	30480	30634	5.66667	2
1	30598	30745	0	4.66667
1	30823	30970	2.33333	0
1	31066	31204	1	1
1	31280	31427	0	2.66667
1	31430	31576	1.33333	1.33333
1	31712	31859	9.66667	0
1	31858	32005	0	10.3333
1	32000	32126	4	7
1	32190	32311	9.66667	8.33333
1	32401	32546	4.66667	14.3333
1	32528	32675	0	6.33333
1	32771	32918	0	6.33333
1	33186	33318	1.33333	1.66667
1	33289	33436	3.33333	0
1	33399	33546	0	2
1	33519	33666	5.66667	0
1	33652	33799	15	0
1	33857	34004	15	0
