Chr	Center	Width
1	105	146
1	324	146
1	446	146
1	563	146
1	782	146
1	904	146
1	1021	146
1	1240	146
1	1362	146
1	1479	146
1	1698	146
1	1820	146
1	1937	146
1	2156	146
1	2278	146
1	2395	146
1	2614	146
1	2736	146
1	2853	146
1	3072	146
1	3194	146
1	3311	146
1	3530	146
1	3652	146
1	3769	146
1	3988	146
1	4110	146
1	4227	146
1	4446	146
1	4568	146
1	4685	146
1	4904	146
1	5026	146
1	5180	146
1	5313	146
1	5614	146
1	7680	146
1	7809	146
1	8049	146
1	8528	146
1	8746	146
1	12423	146
1	12535	146
1	13583	146
1	15236	146
1	18767	146
1	22098	146
1	22257	146
1	22544	146
1	22824	146
1	23036	146
1	23146	146
1	23661	146
1	23845	146
1	26482	146
1	26643	146
1	27999	146
1	28733	146
1	28938	146
1	30396	146
1	31517	146
1	31591	146
1	32295	146
1	32925	146
1	33992	146
1	34098	146
1	35037	146
1	35898	146
1	36132	146
1	36250	146
1	36467	146
1	36871	146
1	36961	146
1	37205	146
1	37628	146
1	37861	146
1	37958	146
1	38250	146
1	39414	146
1	39784	146
1	41410	146
1	41775	146
1	41884	146
1	42615	146
1	43222	146
1	44386	146
1	45255	146
1	46109	146
1	46721	146
1	47181	146
1	47605	146
1	47724	146
1	47962	146
1	48196	146
1	48421	146
1	48495	146
1	48595	146
1	49140	146
1	49315	146
1	49701	146
1	49799	146
1	49962	146
1	50211	146
1	50368	146
1	50491	146
1	50583	146
1	50684	146
1	50866	146
1	50980	146
1	51232	146
1	51372	146
1	51508	146
1	51599	146
1	51705	146
1	51802	146
1	51943	146
1	52033	146
1	52243	146
1	54218	146
1	55375	146
1	55852	146
1	56527	146
1	59068	146
1	59392	146
1	59782	146
1	60463	146
1	60648	146
1	62099	146
1	64297	146
1	64459	146
1	64583	146
1	64687	146
1	64832	146
1	66955	146
1	68103	146
1	68409	146
1	68964	146
1	70470	146
1	70756	146
1	72760	146
1	72859	146
1	73022	146
1	73574	146
1	73770	146
1	74103	146
1	75699	146
1	76873	146
1	77906	146
1	78108	146
1	79109	146
1	79695	146
1	79891	146
1	80146	146
1	80792	146
1	83368	146
1	84086	146
1	86446	146
1	86570	146
1	86737	146
1	89744	146
1	90269	146
1	90733	146
1	91528	146
1	91844	146
1	92210	146
1	93156	146
1	93245	146
1	93436	146
1	94248	146
1	95094	146
1	95480	146
1	95604	146
1	95783	146
1	96953	146
1	98745	146
1	99476	146
1	100285	146
1	101293	146
1	102503	146
1	102671	146
1	102828	146
1	103189	146
1	103406	146
1	103569	146
1	104754	146
1	104867	146
1	105674	146
1	105871	146
1	106045	146
1	106134	146
1	106215	146
1	106621	146
1	107386	146
1	108239	146
1	108683	146
1	108780	146
1	109236	146
1	110472	146
