Chr	Center
1	876
1	1552
1	2401
1	2674
1	2826
1	3027
1	3346
1	3442
1	3793
1	3949
1	4057
1	4312
1	4810
1	5038
1	5166
1	5333
1	5636
1	5802
1	5917
1	6056
1	6130
1	6452
1	6800
1	6915
1	7245
1	7367
1	7551
1	7687
1	7794
1	8077
1	8172
1	8352
1	8536
1	8687
1	8856
1	8977
1	9102
1	9211
1	9359
1	9455
1	9597
1	9759
1	10466
1	10580
1	10773
1	10967
1	11671
1	12897
1	13231
1	13431
1	13586
1	14066
1	14276
1	14471
1	14627
1	14822
1	14952
1	15120
1	15372
1	15941
1	16063
1	16626
1	17606
1	17879
1	18223
1	18367
1	18566
1	18713
1	18829
1	18965
1	19387
1	19943
1	20242
1	21403
1	21756
1	22273
1	22557
1	22713
1	23097
1	23203
1	25460
1	27233
1	27422
1	27751
1	27903
1	28237
1	28349
1	28484
1	28788
1	28938
1	29144
1	29337
1	29558
1	29712
1	30213
1	30468
1	30705
1	31574
1	31922
1	32232
1	32339
1	32492
1	32907
1	33195
1	33303
1	33535
1	33942
1	34347
1	34676
1	34832
1	34950
1	35213
1	35404
1	35557
1	35699
1	35877
1	35980
1	36155
1	36569
1	36752
1	36904
1	37071
1	37461
1	37633
1	37767
1	37940
1	38121
1	38445
1	38560
1	38659
1	38808
1	38984
1	39269
1	39424
1	39601
1	39745
1	40039
1	40185
1	40396
1	40714
1	40806
1	40983
1	41158
1	41313
1	41463
1	41599
1	41760
1	42114
1	42222
1	42549
1	42673
1	42937
1	43090
1	43281
1	43484
1	43759
1	43845
1	44018
1	44142
1	44272
1	44453
1	44653
1	44981
1	45148
1	45974
1	46143
1	46792
1	46907
1	47059
1	47200
1	47339
1	47445
1	47533
1	47621
1	47758
1	47931
1	48057
1	48600
1	48756
1	48927
1	49048
1	49268
1	49373
1	49521
1	49614
1	49718
1	50002
1	50181
1	50391
1	50833
1	51023
1	51223
1	51373
1	51546
1	51925
1	52084
1	52252
1	52424
1	52593
1	52879
1	53038
1	53219
1	53518
1	53614
1	53806
1	53924
1	54140
1	54257
1	54423
1	54527
1	54636
1	54776
1	55141
1	55320
1	55806
1	55978
1	56121
1	56311
1	56485
1	56660
1	56811
1	57016
1	57196
1	57360
1	57560
1	57729
1	58463
1	58705
1	58860
1	59074
1	59590
1	59780
1	60060
1	60224
1	60411
1	61018
1	61498
1	61647
1	62043
1	62170
1	62334
1	62822
1	62992
1	63139
1	63485
1	63604
1	63764
1	63928
1	64100
1	64220
1	64378
1	64535
1	64673
1	64847
1	65014
1	65209
1	65318
1	65536
1	65684
1	65834
1	65974
1	66105
1	66266
1	66363
1	66496
1	66622
1	66856
1	67229
1	67318
1	67504
1	67691
1	67805
1	68018
1	68732
1	69213
1	69543
1	69998
1	70155
1	70298
1	70503
1	70668
1	70871
1	70961
1	71063
1	71680
1	71827
1	72311
1	72485
1	72618
1	73041
1	73142
1	73246
1	73688
1	73806
1	74048
1	74217
1	74430
1	74586
1	74764
1	74981
1	75087
1	75200
1	75337
1	75520
1	75724
1	75838
1	76166
1	76424
1	76600
1	76762
1	76897
1	77073
1	77332
1	77601
1	77877
1	78009
1	78101
1	78268
1	78370
1	78521
1	78647
1	78800
1	78924
1	79142
1	79251
1	79397
1	79728
1	79899
1	80060
