Chr	Start	End	FOccupancy	ROccupancy
1	1185	1305	2	2.66667
1	2160	2307	0	6
1	2300	2425	3.66667	22
1	13271	13418	0	5.33333
1	13416	13563	0	35
1	13577	13724	9	0
1	14304	14451	3	0
1	14569	14716	4.33333	0
1	14901	15048	8	0
1	15149	15296	8	0
1	15264	15411	0	3.33333
1	15453	15600	0	4.33333
1	15647	15794	0	12
1	15806	15953	29.3333	0
1	15995	16142	0	6.33333
1	16140	16262	5.66667	1
1	16249	16396	22	0
1	16545	16692	0	4
1	17107	17254	0	7
1	17249	17392	1.66667	5
1	17478	17625	0	26.6667
1	18109	18267	1	1
1	18300	18447	0	10.6667
1	18579	18726	0	4.66667
1	18752	18900	1	47.6667
1	19178	19325	0	2.5
1	19309	19435	1	1.33333
1	19454	19612	3.66667	1.5
1	19581	19728	0	2
1	20181	20332	1	1
1	21176	21331	1	3
1	21394	21541	0	20.3333
1	21675	21822	15.6667	0
1	22099	22246	0	4.66667
1	22275	22428	1	4.66667
1	22401	22529	5.33333	3.66667
1	22493	22623	1.5	8.33333
1	23037	23175	1	9.33333
1	23174	23321	20.3333	0
1	23343	23470	2	40.6667
1	23447	23590	1	6.66667
1	23673	23801	3.33333	7.5
1	24980	25130	1	2
1	25293	25440	0	17
1	27150	27283	4.33333	19
1	27264	27411	2.66667	0
1	27485	27632	0	3
1	27666	27813	15.5	0
1	27868	28015	0	29
1	28096	28243	24	0
1	28246	28375	11.3333	10
1	28407	28533	8.33333	30.6667
1	28605	28741	3.33333	1
1	28756	28891	25	16
1	28914	29047	2.66667	3.33333
1	29069	29216	0	5.66667
1	29301	29428	8	4.33333
1	29457	29598	27	1.33333
1	29588	29735	0	6.66667
1	29807	29962	2.33333	6.33333
1	30059	30206	47.3333	0
1	30205	30353	5	14
1	30319	30479	17.3333	1.5
1	30437	30584	0	22
1	30540	30689	27.6667	2.66667
1	30830	30962	4	15.6667
1	31044	31191	0	2.66667
1	31242	31400	4	4.33333
1	31487	31634	0	5.66667
1	31715	31862	6.33333	0
1	31920	32067	8.33333	1.66667
1	32076	32215	1.33333	4
1	32262	32389	27.6667	8.66667
1	32406	32553	0	7
1	32655	32792	5.33333	1.66667
1	32836	32983	19.6667	0
1	33115	33262	0	27.3333
1	33237	33385	5.66667	6
1	33378	33525	0	18.3333
1	33535	33683	3	1
1	33652	33802	5.33333	1.66667
1	33797	33944	0	4.33333
1	33946	34093	9.66667	0
1	34127	34248	3.66667	1.66667
1	34303	34450	4.66667	0
1	34447	34594	4	0
1	34576	34722	15	5
1	34771	34918	0	4.66667
1	34937	35087	2	4
1	35076	35207	1	1
1	35207	35354	7	0
1	35341	35487	2.66667	3.33333
1	35504	35651	7	0
1	35628	35774	2	1
1	35766	35913	0	24
1	35899	36055	2.33333	14.3333
1	36090	36233	3	4
1	36247	36394	0	12.6667
1	36432	36554	2.66667	2.33333
1	36521	36658	33.6667	5.66667
1	36681	36828	13	0
1	36825	36985	13.6667	1.66667
1	37051	37183	10.3333	4.33333
1	37172	37319	0	5.33333
1	37319	37466	0	46.6667
1	37466	37613	32	5.33333
1	37692	37826	4.33333	13.6667
1	37839	37986	0	31.6667
1	38077	38218	26	1
1	38209	38334	2.66667	5.33333
1	38309	38456	2	0
1	38440	38587	8	0
1	38550	38702	1.66667	2
1	38740	38899	13.6667	1
1	38894	39025	2	5.66667
1	39108	39255	7.33333	0
1	39278	39425	0	18
1	39483	39630	0	2
1	39617	39764	0	14.6667
1	39878	40025	33.6667	0
1	39982	40129	3	0
1	40104	40263	5.33333	17
1	40233	40380	0	7.66667
1	40389	40528	7	12
1	40493	40640	14	0
1	40632	40792	4	11
1	40892	41049	6	21
1	41049	41196	0	6.66667
1	41239	41397	17	2
1	41395	41542	12.6667	0
1	41502	41654	17	29
1	41688	41811	11.3333	2
1	41836	41985	2.33333	1
1	42107	42242	2.33333	7
1	42337	42483	8.66667	1
1	42476	42629	8.33333	9
1	42650	42792	3	1
1	42874	43007	22.6667	6.5
1	42993	43141	8	2.66667
1	43112	43245	4	1.33333
1	43321	43447	19.6667	2
1	43455	43606	13.6667	1.33333
1	43656	43783	1.33333	11
1	43793	43927	3.33333	3
1	43893	44040	3.66667	0
1	44067	44223	27	4.66667
1	44265	44412	3	0
1	44380	44527	10.6667	7.66667
1	44549	44696	17	0
1	44723	44870	0	6.33333
1	44905	45038	3.66667	4.33333
1	45096	45217	3	4.33333
1	45300	45421	1.5	1.66667
1	45536	45660	1.33333	3.66667
1	45694	45841	13.3333	0
1	45895	46016	2.33333	7
1	46114	46261	5	0
1	46238	46392	31.6667	5.66667
1	46409	46567	19	3
1	46576	46723	4.66667	5
1	46713	46860	37.3333	0
1	46869	47026	8.33333	17.3333
1	47019	47166	6.33333	0
1	47176	47323	0	25.6667
1	47331	47470	5	35.6667
1	47539	47686	0	10.3333
1	47665	47812	0	10.6667
1	47830	47955	7	2
1	47955	48089	1	2
1	48091	48249	1	2
1	48207	48354	0	4
1	48508	48655	31.6667	0
1	48615	48760	1	2
1	48771	48918	10	0
1	49007	49154	41.3333	0
1	49201	49348	17	0
1	49329	49453	46.3333	5
1	49516	49663	46.3333	0
1	49665	49812	0	31.3333
1	49805	49952	5.33333	0
1	49930	50077	0	3
1	50061	50208	0	34.6667
1	50264	50411	5.66667	0
1	50413	50573	13.6667	8.66667
1	50580	50716	9.33333	21
1	50688	50835	5.66667	0
1	50807	50962	6.33333	1
1	50940	51075	31	3.66667
1	51158	51305	46.3333	0
1	51275	51422	0	5.66667
1	51421	51568	0	14
1	51549	51696	0	26.5
1	51737	51884	8	0
1	51858	52002	1.33333	11.3333
1	52030	52178	5.33333	2
1	52205	52352	0	16.3333
1	52355	52502	0	12
1	52513	52657	6	27
1	52624	52771	2.66667	1.33333
1	52786	52938	12.3333	19.6667
1	52952	53099	0	16
1	53147	53294	25	0
1	53284	53431	0	8.33333
1	53454	53601	0	35.3333
1	53645	53792	6.33333	0
1	53851	53998	22.3333	0
1	54042	54199	11.3333	2.66667
1	54181	54328	31	0
1	54378	54525	19.3333	0
1	54515	54666	3.33333	1
1	54639	54786	21.6667	0
1	54810	54964	1	2
1	54920	55071	18.6667	3
1	55054	55195	2.66667	5
1	55162	55309	0	7.66667
1	55382	55520	6	2
1	55537	55684	0	10.3333
1	55687	55834	0	5.66667
1	55832	55990	1	11
1	56025	56162	1	50
1	56192	56339	0	35.3333
1	56367	56514	0	17.6667
1	56536	56695	10.3333	3.33333
1	56742	56889	16.3333	0
1	56966	57113	44	0
1	57128	57275	3	0
1	57246	57393	0	13.3333
1	57492	57639	19.3333	0
1	57643	57767	5	5
1	57814	57961	0	30
1	57989	58126	2	29
1	58150	58297	0	6
1	58329	58476	0	19.3333
1	58453	58575	1	1
1	58631	58786	27	1.33333
1	58820	58967	7.66667	0
1	58971	59130	10.6667	4.66667
1	59133	59280	27.3333	0
1	59258	59405	0	12.3333
1	59455	59602	0	17.6667
1	59636	59783	16	0
1	59815	59962	2.33333	0
1	59921	60068	0	7
1	60093	60240	8.33333	0
1	60303	60450	10.6667	0
1	60428	60575	0	7.66667
1	60571	60718	0	6.33333
1	60689	60814	1	1
1	60803	60950	40.3333	0
1	60932	61079	0	25.6667
1	61075	61208	1.33333	1.5
1	61248	61373	15.3333	2.33333
1	61421	61541	4	18
1	61581	61728	9.33333	0
1	61772	61919	6.33333	0
1	61890	62037	25	0
1	62015	62162	5	0
1	62127	62274	2.33333	0
1	62274	62421	0	8
1	62493	62640	6	0
1	62734	62881	6.66667	0
1	62902	63040	6	3.33333
1	63042	63189	0	4.33333
1	63266	63390	1.66667	9.66667
1	63402	63534	1	9
1	63546	63693	2.33333	0
1	63702	63838	4.66667	9.66667
1	63852	64002	5	17
1	64039	64183	1	2
1	64192	64331	13	7.66667
1	64377	64500	40	2.5
1	64499	64646	0	44.6667
1	64622	64768	8	1.33333
1	64750	64872	1	7
1	64917	65042	1	3
1	65018	65165	16.3333	0
1	65163	65290	3.33333	2.33333
1	65262	65422	48.3333	9.66667
1	65485	65632	10.6667	0
1	65691	65838	11.6667	0
1	65854	66001	0	2.66667
1	66046	66193	6.66667	0
1	66201	66348	0	20.3333
1	66307	66454	0	1.66667
1	66422	66549	1.33333	32.3333
1	66545	66692	0	3.5
1	66670	66817	15	0
1	66856	66986	9.33333	3.33333
1	67021	67168	8.66667	0
1	67218	67365	14.3333	0
1	67405	67528	27.3333	1.33333
1	67597	67744	8	0
1	67727	67874	3	0
1	67969	68097	4.66667	1.33333
1	68151	68292	1.33333	6
1	68254	68401	1.66667	1.5
1	68421	68568	0	3
1	68713	68851	5	2
1	68813	68960	0	2.33333
1	68979	69123	2.33333	1.33333
1	69087	69213	1.33333	10
1	69278	69433	2.66667	3
1	69460	69606	1	9
1	69632	69779	3	0
1	69802	69949	0	20.6667
1	70053	70200	5	0
1	70205	70352	17	0
1	70435	70565	23	2.66667
1	70586	70740	8.66667	3
1	70741	70888	15	0
1	71026	71173	12.3333	0
1	71223	71344	3	3.66667
1	71420	71550	2	10.6667
1	71532	71679	2	0
1	71809	71956	14	0
1	71993	72140	2.66667	0
1	72103	72254	3.33333	6
1	72330	72477	4.66667	0
1	72484	72604	33	2.66667
1	72609	72756	13.3333	0
1	72892	73031	1.33333	5
1	73166	73296	8.33333	19
1	73282	73406	4	2
1	73398	73552	13.6667	19
1	73756	73903	0	18.3333
1	73989	74136	0	29.6667
1	74149	74276	9.33333	3.33333
1	74318	74453	6.33333	5
1	74495	74637	4	5
1	74679	74814	21.6667	6.66667
1	74859	75006	55.3333	0
1	75043	75182	4	9.33333
1	75216	75350	1.33333	4.66667
1	75391	75519	3.33333	21.6667
1	75544	75691	0	36
1	75755	75902	12.6667	0
1	75891	76038	0	16.3333
1	76075	76212	4.33333	20.6667
1	76347	76501	25.6667	4
1	76535	76682	6	0
1	76694	76823	2.66667	1
1	76841	76988	6	0
1	77018	77165	2.33333	0
1	77257	77404	8	0
1	77390	77537	20.3333	0
1	77529	77652	2	2.33333
1	77681	77804	9.66667	2.66667
1	77846	77993	0	30
1	77987	78134	0	4.66667
1	78123	78270	11.3333	0
1	78272	78404	8.33333	18.3333
1	78465	78612	6	0
1	78641	78788	6.33333	0
1	78842	78970	5.33333	16.3333
1	78935	79082	0	16
1	79100	79247	0	2
1	79319	79466	12.6667	0
1	79465	79617	4.66667	4.33333
1	79620	79767	0	57
1	79843	79990	14	0
1	79984	80116	26.6667	3.33333
1	80146	80297	11	8.66667
1	80290	80419	47	1
1	80454	80596	7	1.33333
1	80639	80775	9.33333	6.33333
1	80845	80992	0	11
1	81093	81224	14.6667	2
1	81291	81415	4.33333	25.3333
1	81386	81539	5.33333	13.3333
1	81533	81680	6.66667	0
1	81715	81862	0	26.6667
1	81901	82025	14.3333	14.3333
1	82155	82294	3	2.33333
1	82303	82450	24.6667	0
1	82438	82585	0	7.33333
1	82660	82807	0	4.33333
1	82816	82961	3	8.66667
1	83000	83147	24	4.33333
1	83197	83344	17.3333	0
1	83321	83466	3	4.66667
1	83507	83659	3	13.6667
1	83658	83805	0	47.6667
1	83833	83980	0	26.3333
1	83979	84126	0	17
1	84181	84328	0	34.3333
1	84347	84494	0	17
1	84531	84661	3.5	1
1	84641	84774	15.3333	1
1	84775	84899	2.66667	41.3333
1	84935	85082	5.33333	0
1	85126	85263	10.3333	5
1	85300	85451	46	3.66667
1	85487	85634	8.33333	0
1	85608	85755	0	7.66667
1	85711	85858	0	11.6667
1	85848	85999	30.6667	1
1	85974	86106	1	46.3333
1	86107	86254	0	29.3333
1	86290	86425	8	42.6667
1	86426	86560	13	24.6667
1	86572	86719	0	8.66667
1	86735	86882	0	48.3333
1	86913	87060	0	50.6667
1	87123	87280	2	7.66667
1	87354	87501	0	11.6667
1	87566	87709	7	21.6667
1	87785	87940	1	1.66667
1	87932	88066	4.33333	3.66667
1	88118	88242	15.3333	14.3333
1	88325	88467	4.66667	12.6667
1	88439	88586	3	0
1	88578	88725	0	34
1	88739	88860	6	15.6667
1	88824	88971	1.66667	4
1	88949	89090	8.33333	8.66667
1	89067	89214	0	42.6667
1	89255	89400	3.66667	28.6667
1	89393	89540	37.3333	0
1	89532	89679	5.66667	0
1	89649	89796	0	40.6667
1	89755	89902	3	0
1	89963	90110	0	3.66667
1	90097	90243	1.66667	56
1	90297	90444	0	10.3333
1	90441	90588	4.33333	0
1	90568	90715	0	13
1	90714	90836	4.66667	24
1	90830	90970	1.66667	3.33333
1	90942	91080	21.6667	2.66667
1	91063	91210	0	21
1	91203	91342	21	16
1	91301	91440	4	20.6667
1	91444	91591	12	0
1	91562	91704	19.3333	5.33333
1	91729	91876	2.33333	0
1	91855	92002	0	15.6667
1	92028	92149	7.33333	17.3333
1	92174	92321	0	59
1	92378	92525	0	12.3333
1	92497	92644	4.5	0
1	92824	92944	46.3333	2.33333
1	93004	93142	5	2.33333
1	93159	93290	5.66667	2
1	93254	93401	0	4
1	93404	93556	1	11.5
1	93527	93674	17.3333	0
1	93755	93902	0	16
1	93943	94081	24.6667	1
1	94086	94233	22	0
1	94217	94364	0	21.3333
1	94425	94572	11	0
1	94556	94703	34	0
1	94761	94908	31.3333	0
1	94877	95024	3	0
1	95061	95215	5	25.3333
1	95210	95357	6	0
1	95382	95529	3	0
1	95526	95653	11	8
1	95658	95805	40.3333	0
1	95771	95918	0	40.3333
1	95922	96050	1.33333	5
1	96171	96318	7.66667	0
1	96354	96479	5.66667	3.33333
1	96512	96659	29.3333	0
1	96747	96887	1.66667	6.66667
1	96958	97105	0	25.6667
1	97079	97204	2.33333	5.66667
1	97267	97414	15.6667	0
1	97396	97538	1	28.6667
1	97509	97663	4	2.33333
1	97625	97763	1	1
1	97727	97859	8	23.3333
1	97897	98044	12.6667	0
1	98034	98181	31.3333	0
1	98201	98348	40	0
1	98328	98475	0	24.6667
1	98445	98592	0	30.6667
1	98607	98754	0	40.3333
1	98725	98872	10.3333	0
1	98892	99039	5	0
1	99008	99155	0	3.33333
1	99119	99250	1	5
1	99332	99462	48.3333	1
1	99525	99672	12.6667	0
1	99633	99780	0	52.6667
1	99770	99917	0	2.33333
1	99921	100068	0	4
1	100099	100256	17.3333	8
1	100403	100533	1.66667	7.33333
1	100537	100684	0	2.66667
1	100731	100852	1.66667	20
1	100871	101018	0	51.3333
1	101054	101182	26	27.3333
1	101347	101494	0	3
1	101524	101652	47.6667	23.6667
1	101668	101815	0	7.33333
1	101864	102011	0	20
1	102017	102164	0	53
1	102158	102305	0	4
1	102264	102411	10.6667	0
1	102454	102580	2	18
1	102555	102709	1.66667	29.3333
1	102707	102843	8	23.3333
1	102938	103077	7	6.33333
1	103111	103266	2.33333	5
1	103231	103363	3.33333	14.3333
1	103410	103557	0	21
1	103618	103738	1.33333	14
1	103767	103904	1.66667	12.6667
1	103968	104109	2.33333	3.66667
1	104082	104234	14.6667	3
1	104251	104372	25.3333	5.66667
1	104405	104548	21.3333	6.66667
1	104529	104655	13.3333	2
1	104737	104884	34	0
1	104901	105048	6.33333	0
1	105037	105170	4	3.5
1	105166	105313	0	14.6667
1	105292	105439	0	30.6667
1	105500	105621	1.66667	27.6667
1	105701	105848	24.3333	0
1	105880	106027	24	0
1	106091	106238	18.6667	0
1	106273	106422	11.3333	5
1	106450	106597	14.6667	0
1	106564	106706	2	2.66667
1	106743	106870	2.66667	8
1	106868	106999	11.6667	35.3333
1	107028	107188	2	3.33333
1	107167	107314	0	3.33333
1	107364	107511	9	0
1	107475	107601	9.66667	4.66667
1	107566	107713	4.66667	0
1	107725	107858	16.3333	15
1	107867	108008	23	9.33333
1	108038	108185	8.33333	0
1	108207	108354	28.6667	0
1	108316	108463	0	3.66667
1	108541	108699	13	3.33333
1	108699	108846	0	7
1	108852	108984	28.3333	14
1	109032	109179	6	0
1	109193	109326	11.6667	2.33333
1	109356	109487	11.6667	5
1	109501	109648	0	6.66667
1	109693	109840	17.3333	0
1	109930	110077	0	44.6667
1	110167	110314	17.3333	0
1	110344	110467	32.3333	11.3333
1	110571	110718	29	0
1	110748	110895	7.66667	0
1	110908	111031	23.6667	24.3333
