Chr	Center	Size
1	3026	149
1	3370	150
1	3545	147
1	3774	147
1	3969	147
1	4117	151
1	4302	147
1	4571	147
1	4687	147
1	4810	147
1	4976	142
1	5181	148
1	5320	160
1	5505	147
1	5677	147
1	5819	140
1	5954	135
1	6129	147
1	6292	149
1	6440	128
1	6603	149
1	6948	141
1	7332	149
1	7453	147
1	7648	140
1	7799	147
1	8115	153
1	8300	149
1	8462	147
1	8757	147
1	8858	120
1	9157	141
1	9401	147
1	9604	157
1	9764	147
1	9939	137
1	10220	154
1	10442	147
1	10569	147
1	10757	145
1	10939	157
1	11112	151
1	11367	139
1	28158	130
1	28329	128
1	28509	156
1	28818	145
1	28954	159
1	29156	147
1	29375	147
1	29521	151
1	29712	142
1	29882	141
1	30126	126
1	30393	147
1	30542	138
1	30714	147
1	30892	133
1	31315	160
1	31522	147
1	31754	134
1	32342	147
1	32505	149
1	32734	148
1	32918	151
1	33089	141
1	33205	147
1	33379	145
1	33547	147
1	33727	160
1	33879	147
1	34039	147
1	34202	145
1	34379	147
1	34522	138
1	34664	120
1	34769	147
1	34875	140
1	35018	139
1	35238	146
1	35407	157
1	35584	149
1	35689	147
1	35875	142
1	35990	152
1	36179	123
1	36335	147
1	36588	145
1	36754	142
1	36916	156
1	37446	157
1	37625	152
1	37775	155
1	37953	133
1	38113	159
1	38288	151
1	38468	144
1	38635	145
1	38803	154
1	38969	145
1	39248	146
1	39416	144
1	39586	158
1	39760	143
1	39880	143
1	40078	132
1	40220	141
1	40383	139
1	40560	145
1	40684	145
1	40853	130
1	40967	147
1	41137	138
1	41395	157
1	41557	160
1	41734	153
1	41872	147
1	42210	147
1	42385	153
1	42564	151
1	42730	147
1	42914	147
1	43100	157
1	43255	145
1	43477	140
1	43612	147
1	43807	148
1	43974	146
1	44124	128
1	44283	148
1	44447	141
1	44554	147
1	44663	144
1	44827	152
1	44989	155
1	45180	160
1	45379	150
1	45513	144
1	45782	146
1	45971	146
1	46132	145
1	46295	138
1	46480	147
1	46642	125
1	46777	136
1	46897	139
1	47068	147
1	47170	137
1	47271	141
1	47427	142
1	47618	122
1	47771	147
1	47896	137
1	48059	152
1	48264	151
1	48447	147
1	48565	147
1	48755	145
1	48932	156
1	49086	150
1	49259	147
1	49395	142
1	49560	129
1	49728	141
1	49880	135
1	50049	145
1	50223	131
1	50363	147
1	50660	140
1	50862	129
1	51025	155
1	51191	142
1	51404	147
1	51536	120
1	51946	147
1	52098	141
1	52263	152
1	52430	153
1	52594	156
1	52856	130
1	53055	153
1	53218	134
1	53378	147
1	53575	138
1	53794	141
1	53892	134
1	54074	145
1	54253	146
1	54422	139
1	54588	138
1	54736	143
1	54969	147
1	55133	149
1	55313	150
1	55637	152
1	55816	130
1	56007	144
1	56144	136
1	56305	145
1	56486	134
1	56645	157
1	56819	144
1	57033	142
1	57172	149
1	57356	130
1	57555	147
1	57721	147
1	57928	160
1	58083	160
1	58261	151
1	58450	142
1	58661	151
1	58884	139
1	59084	139
1	59246	151
1	59412	147
1	59581	157
1	59767	156
1	59937	145
1	60071	150
1	60239	144
1	60402	147
1	60547	149
1	60710	149
1	60870	141
1	61033	153
1	61326	149
1	61491	151
1	61654	140
1	61815	147
1	61992	147
1	62168	153
1	62337	153
1	62525	149
1	62806	151
1	62980	148
1	63164	147
1	63316	147
1	63481	148
1	63600	147
1	63766	148
1	63950	140
1	64079	147
1	64270	141
1	64408	141
1	64518	148
1	64679	145
1	64913	147
1	65032	153
1	65202	147
1	65327	148
1	65514	142
1	65850	126
1	66031	143
1	66241	135
1	66492	147
1	66713	147
1	66864	147
1	67047	124
1	67170	147
1	67416	159
1	67631	158
1	67803	156
