Chr	Center
1	73
1	203
1	370
1	497
1	639
1	894
1	1032
1	1192
1	1340
1	1597
1	1762
1	1931
1	2084
1	2262
1	2425
1	2685
1	2851
1	2999
1	3198
1	3372
1	3529
1	3664
1	3835
1	3953
1	4086
1	4238
1	4405
1	4518
1	4622
1	4727
1	4881
1	5001
1	5120
1	5298
1	5503
1	5667
1	5800
1	5961
1	6130
1	6290
1	6597
1	6778
1	6933
1	7138
1	7336
1	7485
1	7620
1	7784
1	7928
1	8039
1	8144
1	8310
1	8458
1	8618
1	8789
1	9014
1	9132
1	9304
1	9408
1	9600
1	9761
1	9930
1	10101
1	10221
1	10463
1	10628
1	10792
1	10957
1	11104
1	11366
1	11518
1	11702
1	11966
1	12178
1	12372
1	12556
1	12709
1	12901
1	13144
1	13276
1	13392
1	13530
1	13661
1	13802
1	14021
1	14186
1	14290
1	14408
1	14534
1	14645
1	14750
1	15227
1	15389
1	15553
1	15913
1	16051
1	16229
1	16377
1	16640
1	16825
1	16960
1	17166
1	17337
1	17544
1	17709
1	17869
1	18044
1	18204
1	18372
1	18560
1	18726
1	18920
1	19046
1	19247
1	19425
1	19551
1	19778
1	19882
1	20003
1	20164
1	20379
1	20718
1	21443
1	21565
1	21731
1	21847
1	22083
1	22245
1	22389
1	22585
1	22717
1	23046
1	23275
1	23408
1	23614
1	24409
1	24538
1	24880
1	25018
1	25447
1	25627
1	26973
1	27108
1	27212
1	27337
1	27495
1	27615
1	27742
1	27845
1	27951
1	28158
1	28342
1	28533
1	28843
1	29023
1	29233
1	29395
1	29522
1	29698
1	30126
1	30267
1	30389
1	30562
1	30752
1	30886
1	31147
1	31343
1	31492
1	31605
1	31744
1	31959
1	32116
1	32251
1	32404
1	32555
1	32746
1	32920
1	33054
1	33190
1	33361
1	33613
1	33733
1	33919
1	34078
1	34265
1	34395
1	34505
1	34683
1	34848
1	34987
1	35185
1	35331
1	35481
1	35612
1	35735
1	35896
1	36022
1	36196
1	36347
1	36568
1	36736
1	36889
1	37072
1	37201
1	37459
1	37586
1	37757
1	37939
1	38081
1	38232
1	38449
1	38656
1	38807
1	38976
1	39241
1	39410
1	39596
1	39766
1	39903
1	40089
1	40260
1	40466
1	40597
1	40763
1	40888
1	41077
1	41230
1	41358
1	41486
1	41589
1	41737
1	41898
1	42241
