chr	center	width
1	3024	151
1	3369	154
1	3545	149
1	3969	106
1	4119	146
1	4308	126
1	4693	148
1	4817	122
1	4979	142
1	5172	152
1	5325	148
1	5482	156
1	5664	107
1	5776	113
1	6292	149
1	6594	138
1	7327	151
1	7466	156
1	7647	147
1	7804	137
1	8114	145
1	8296	148
1	8465	146
1	8818	107
1	9155	144
1	9400	148
1	9586	139
1	9754	157
1	9932	153
1	10132	138
1	10447	142
1	10751	146
1	10948	147
1	28339	130
1	28507	154
1	28840	155
1	28949	153
1	29189	153
1	29364	121
1	29513	140
1	29711	145
1	29882	144
1	30119	123
1	30220	143
1	30390	142
1	30537	142
1	30700	147
1	30890	135
1	31380	147
1	31808	150
1	32339	143
1	32507	151
1	32729	141
1	32917	147
1	33087	145
1	33195	140
1	33375	144
1	33550	149
1	33714	139
1	33888	148
1	34009	152
1	34199	143
1	34378	153
1	34505	121
1	34668	109
1	34866	147
1	35010	137
1	35238	147
1	35399	140
1	35568	131
1	35698	159
1	35848	119
1	35980	149
1	36179	125
1	36585	144
1	36759	109
1	37445	153
1	37622	152
1	37776	136
1	37949	116
1	38146	114
1	38287	147
1	38466	148
1	38639	152
1	38808	136
1	38969	147
1	39246	151
1	39421	158
1	39597	140
1	39753	136
1	39882	141
1	40086	138
1	40219	141
1	40390	118
1	40678	123
1	40873	141
1	40974	139
1	41135	143
1	41345	101
1	41451	139
1	41565	133
1	41736	150
1	42238	152
1	42372	138
1	42561	150
1	42916	135
1	43098	160
1	43250	148
1	43479	147
1	43639	143
1	43807	147
1	43977	147
1	44140	134
1	44282	148
1	44456	125
1	44660	150
1	44827	148
1	44990	153
1	45179	156
1	45376	151
1	45781	151
1	45966	141
1	46126	155
1	46305	138
1	46479	137
1	46633	130
1	46771	125
1	47158	160
1	47276	125
1	47420	150
1	47608	139
1	47750	103
1	47912	103
1	48058	153
1	48590	154
1	48755	148
1	48926	141
1	49087	145
1	49266	114
1	49552	112
1	49718	124
1	49881	132
1	50050	141
1	50231	145
1	50345	117
1	50656	142
1	51025	146
1	51188	143
1	51308	104
1	51403	124
1	51556	156
1	51941	160
1	52098	134
1	52262	152
1	52426	144
1	52595	154
1	52870	154
1	53059	129
1	53216	135
1	53381	149
1	53567	127
1	53678	132
1	53877	152
1	54073	148
1	54249	145
1	54421	146
1	54579	145
1	54736	141
1	55135	148
1	55316	144
1	55652	141
1	55823	146
1	56000	155
1	56146	135
1	56306	144
1	56488	125
1	56647	158
1	56821	142
1	57032	145
1	57172	145
1	57361	144
1	57556	141
1	57722	147
1	58097	148
1	58258	157
1	58450	136
1	58685	154
1	58896	152
1	59088	122
1	59243	140
1	59408	144
1	59580	159
1	59771	137
1	59938	148
1	60067	149
1	60239	138
1	60383	140
1	60546	151
1	60713	153
1	60867	122
1	61034	152
1	61325	148
1	61493	150
1	61654	140
1	61811	134
1	61991	141
1	62167	153
1	62330	154
1	62534	125
1	62805	152
1	62972	143
1	63157	159
1	63318	130
1	63479	147
1	63613	108
1	63766	150
1	63951	140
1	64076	156
1	64411	111
1	64520	146
1	64679	154
1	64919	153
1	65027	149
1	65334	139
1	65502	144
1	65854	118
1	66030	138
1	66241	143
1	66678	127
1	66869	150
1	67041	131
1	67167	147
1	67273	121
1	67421	147
1	67625	157
1	67802	159
1	68240	134
1	68413	134
1	68710	144
1	68868	126
1	69302	153
1	69544	143
1	69989	150
1	70093	138
1	70284	142
1	70508	141
1	71287	139
1	71845	129
1	72026	125
1	72201	143
1	72419	117
1	72609	159
1	72779	150
1	72911	116
1	73039	102
1	73218	159
1	73522	148
1	73883	144
1	74049	143
1	74218	144
1	74397	155
1	74585	152
1	74758	148
1	75172	124
1	75364	152
1	75497	144
1	75690	143
1	75830	141
1	75995	145
1	76161	137
1	76445	147
1	76608	143
1	77910	107
1	78079	130
1	78272	135
1	78370	137
1	78523	126
1	78629	140
1	78725	118
1	78822	102
1	78952	142
1	79085	144
1	79254	139
1	79419	138
1	79733	144
1	79893	141
1	80060	152
1	80239	148
1	80381	157
1	80553	148
1	80742	151
1	80964	126
1	81175	154
1	81351	149
1	81497	153
1	81665	158
1	81819	147
1	81983	151
1	82227	145
1	82375	131
1	82543	141
1	82757	148
1	82918	143
1	83078	147
1	83417	116
1	83610	151
1	83782	149
1	83938	160
1	84113	158
1	84282	146
1	84453	150
1	84893	146
1	85055	152
1	85223	153
1	85416	144
1	85591	146
1	85914	149
1	86065	140
1	86213	144
1	86378	145
1	86541	143
1	86690	136
1	86865	159
1	87037	143
1	87309	145
1	87469	142
1	87635	145
1	88004	159
1	88139	108
1	88253	137
1	88384	157
1	88545	143
1	88686	137
1	88843	155
1	88986	121
1	89149	158
1	89388	141
1	89536	154
1	89805	134
1	90075	147
1	90183	138
1	90377	141
1	90561	142
1	90723	142
1	91157	149
1	91330	151
1	91797	140
1	91974	152
1	92114	137
1	92446	121
1	92900	143
1	93079	142
1	93245	160
1	93410	141
1	93601	146
1	93774	141
1	93905	124
1	94080	147
1	94263	145
1	94417	133
1	94664	155
1	94858	140
1	94978	146
1	95152	113
1	95336	147
1	95732	149
1	95905	144
1	96054	118
1	96202	137
1	96299	114
1	96393	102
1	96548	154
1	96855	139
1	97058	157
1	97233	105
1	97390	151
1	97507	103
1	97798	159
1	97973	148
1	98309	153
1	98464	118
1	98753	150
1	98924	148
1	99095	148
1	99204	143
1	99408	151
1	99562	116
1	99744	140
1	100199	144
1	100340	142
1	100498	141
1	100657	152
1	100809	158
1	100975	141
1	101141	152
1	101613	151
1	101791	101
1	101975	135
1	102137	117
1	102411	132
1	102621	136
1	102851	144
1	102960	156
1	103207	150
1	103318	130
1	103419	117
1	103518	141
1	103846	147
1	103973	100
1	104073	100
1	104195	154
1	104309	114
1	104485	144
1	104618	159
1	104796	144
1	104966	144
1	105116	152
1	105281	140
1	105419	144
1	105605	143
1	105769	144
1	105930	144
1	106366	156
1	106561	140
1	106743	138
1	106853	143
1	106981	108
1	107086	147
1	107209	155
1	107382	141
1	107537	140
1	107683	119
1	107840	142
1	107970	122
1	108124	144
1	108284	146
1	108432	153
1	108599	143
1	108944	144
1	109105	145
1	109269	149
1	109436	147
1	109600	147
1	109764	140
1	109913	158
1	110069	149
1	110248	142
1	110397	115
1	110822	142
1	111338	143
1	111468	142
1	111604	148
1	111793	118
1	111906	146
1	112113	128
1	112231	151
1	112403	145
1	112565	141
1	112714	149
1	113354	152
1	113601	119
1	113768	108
1	113933	152
1	114105	124
1	114230	151
1	114417	142
1	114584	153
1	114842	117
1	115019	143
1	115172	131
1	115332	147
1	115519	146
1	115667	148
1	115809	147
1	115975	142
1	116110	104
1	116775	152
1	116956	145
1	117114	147
1	117282	149
1	117516	154
1	117643	115
1	117754	145
1	118082	117
1	118566	110
1	118711	142
1	118883	145
1	119072	142
1	119258	126
1	119442	139
1	119592	132
1	119902	145
1	120075	143
1	120261	142
1	120398	139
1	120576	158
1	120723	144
1	120895	140
1	121055	143
1	121224	149
1	121486	138
1	121644	141
1	121836	143
1	121977	147
1	122160	126
1	122311	138
1	122813	129
1	122963	118
1	123111	102
1	123321	152
1	123475	153
1	123662	122
1	123836	142
1	124021	139
1	124188	143
1	124350	138
1	124846	157
1	125146	143
1	125506	150
1	125758	142
1	125940	147
1	126180	152
1	126281	114
1	126406	149
1	126564	146
1	126663	121
1	126999	147
1	127172	139
1	127348	144
1	127517	125
1	127691	151
1	127871	156
1	128035	128
1	128368	130
1	128526	146
1	128700	142
1	128835	147
1	129000	151
1	129281	150
1	129475	142
1	129634	130
1	129785	145
1	129954	146
1	130099	147
1	130285	148
1	130455	147
1	130758	147
1	130928	145
1	131099	144
1	131272	159
1	131445	147
1	131640	154
1	131765	144
1	131963	140
1	132230	145
1	132392	149
1	132566	143
1	132732	149
1	132883	149
1	133061	134
1	133198	160
1	133358	160
1	133571	160
1	133762	142
1	133860	104
1	134033	137
1	134332	115
1	134639	147
1	134857	148
1	134981	112
1	135162	137
1	135324	142
1	135482	148
1	135659	132
1	135866	136
1	136043	139
1	136199	143
1	136367	141
1	136540	150
1	136918	145
1	137081	146
1	137249	149
1	137435	101
1	137759	145
1	137878	158
1	138213	148
1	138386	136
1	138663	134
1	138849	153
1	141813	145
1	142191	140
1	142406	156
1	142941	146
1	143073	156
1	143665	118
1	143845	152
1	143953	144
1	144124	147
1	144286	155
1	144459	147
1	144816	100
1	145076	142
1	145259	157
1	145412	129
1	145623	147
1	145771	108
1	145872	140
1	145984	156
1	146141	158
1	146432	141
1	146684	146
1	147032	119
1	147327	129
1	147435	143
1	147680	150
1	147818	141
1	147935	104
1	148018	116
1	148151	103
1	148329	154
1	148442	146
1	148675	145
1	148942	142
1	149052	158
1	149208	160
1	149415	148
1	149549	144
1	149746	146
1	149996	113
1	150170	150
1	150337	150
1	150616	145
1	150801	151
1	150966	141
1	151140	155
1	152262	114
1	152431	145
1	152584	133
1	152772	134
1	152930	149
1	153091	139
1	153247	155
1	153423	134
1	153580	154
1	153720	116
1	153820	120
1	154202	153
1	154376	152
1	154543	150
1	154712	146
1	154991	143
1	155151	145
1	155312	145
1	155466	141
1	155640	143
1	155804	144
1	155971	152
1	156128	134
1	156287	153
1	156487	143
1	156621	126
1	156805	146
1	156970	138
1	157131	154
1	157317	121
1	157471	140
1	157630	134
1	157822	148
1	157982	149
1	158138	155
1	158307	151
1	158475	149
1	158644	149
1	158914	138
1	159068	146
1	159261	145
1	159435	144
1	159561	148
1	159705	149
1	166848	151
1	166980	103
1	167224	130
1	167368	155
1	167557	106
1	167682	138
1	167812	140
1	167981	157
1	168160	148
1	168302	155
1	168473	145
1	168631	143
1	168794	155
1	168971	149
1	169306	117
1	169420	145
1	169616	146
1	169779	153
1	169922	102
1	170089	144
1	170261	142
1	170373	122
1	170532	151
1	170719	143
1	170871	116
1	171040	145
1	171185	136
1	171352	146
1	171530	154
1	171698	149
1	172306	123
1	172472	106
1	172594	112
1	172833	145
1	173001	160
1	173195	133
1	173319	152
1	173437	145
1	173674	149
1	173835	143
1	173996	159
1	174119	159
1	174296	143
1	174463	147
1	174610	155
1	174779	152
1	174951	142
1	175117	153
1	175331	153
1	175508	148
1	175681	152
1	175853	141
1	176018	148
1	176360	142
1	177425	144
1	177585	145
1	177758	159
1	177933	134
1	178110	159
1	178225	147
1	178418	155
1	178584	141
1	178712	110
1	178898	151
1	179076	159
1	179247	151
1	179398	150
1	179559	144
1	179704	118
1	179903	152
1	180078	155
1	180264	149
1	180440	153
1	180612	139
1	180775	151
1	181554	144
1	181714	145
1	181873	143
1	182046	152
1	182221	149
1	184079	126
1	184280	128
1	184617	145
1	185196	149
1	185384	146
1	185532	129
1	185682	139
1	185907	118
1	186109	152
1	186255	144
1	186449	151
1	186614	141
1	186785	155
1	190048	120
1	190182	151
1	190451	134
1	190643	111
1	190765	151
1	190866	100
1	190998	159
1	191153	104
1	191410	153
1	191621	153
1	191770	157
1	191969	154
1	192133	149
1	192303	141
1	192614	145
1	192791	147
1	192957	146
1	193123	154
1	193264	107
1	193429	128
1	193589	118
1	193726	148
1	193896	156
1	194081	156
1	194212	145
1	194357	144
1	194800	151
1	195013	148
1	195123	130
1	195220	116
1	195376	146
1	195595	142
1	195716	100
1	195902	142
1	196049	156
1	196185	143
1	196479	123
1	196832	151
1	196953	152
1	197085	130
1	197325	128
