Chr	Center	Size
1	186	140	
1	399.5	149	
1	655	140	
1	884	138	
1	1256	148	
1	1460	160	
1	1766.5	143	
1	1981	150	
1	2098.5	149	
1	2243.5	151	
1	2404	140	
1	2529.5	149	
1	2664.5	153	
1	2778	154	
1	3238.5	147	
1	3521.5	147	
1	3736.5	139	
1	3872.5	149	
1	4021.5	151	
1	4229.5	137	
1	4453.5	149	
1	4673.5	147	
1	4845	152	
1	5175.5	149	
1	5338.5	141	
1	5460.5	143	
1	5590.5	145	
1	5760.5	143	
1	5998	156	
1	6165	150	
1	6281	150	
1	6483	154	
1	6618	148	
1	6790	144	
1	6944	152	
1	7072.5	149	
1	7322	144	
1	7439.5	147	
1	7605	142	
1	7759.5	151	
1	7936.5	147	
1	8065.5	147	
1	8336.5	143	
1	8519	148	
1	8636	156	
1	8795	144	
1	8943.5	145	
1	9050.5	147	
1	9247	140	
1	9494.5	145	
1	9604.5	151	
1	9713.5	151	
1	10011.5	147	
1	10334.5	151	
1	10481	150	
1	10612.5	155	
1	10789.5	149	
1	10964.5	147	
1	11133	148	
1	11280	152	
1	11421.5	153	
1	11648.5	147	
1	11836	148	
1	12046	142	
1	12236.5	147	
1	12524.5	147	
1	12649	150	
1	12857.5	149	
1	13070	144	
1	13755	154	
1	13896	148	
1	14127.5	141	
1	14277	146	
1	14419	148	
1	14569.5	147	
1	14817.5	153	
1	15018	132	
1	15174.5	145	
1	15306.5	135	
1	15470	150	
1	15741	156	
1	15923	148	
1	16109	140	
1	16288.5	155	
1	16526.5	157	
1	16771.5	153	
1	16905.5	147	
1	17123.5	149	
1	17334.5	145	
1	17550	144	
1	17785	140	
1	18082	152	
1	18203.5	149	
1	18364	150	
1	18526.5	149	
1	18650.5	159	
1	18759.5	139	
1	18879.5	149	
1	19071.5	139	
1	19243.5	147	
1	19472.5	141	
1	19657.5	147	
1	19763.5	141	
1	20012.5	149	
1	20125	150	
1	20251	144	
1	20394.5	145	
1	20560.5	139	
1	20905	156	
1	21048	138	
1	21153	150	
1	21259	148	
1	21406.5	153	
1	21553	150	
1	21755.5	149	
1	22205	152	
1	22339.5	153	
1	22642.5	147	
1	22803.5	143	
1	22936	142	
1	23136	144	
1	23314.5	139	
1	23429	146	
1	23615	142	
1	23727.5	145	
1	23944.5	145	
1	24107	148	
1	24224.5	141	
1	24368	144	
1	24757.5	143	
1	24955	144	
1	25101.5	137	
1	25228	142	
1	25369	144	
1	25597.5	141	
1	25870.5	147	
1	25978.5	133	
1	26085	152	
1	26231	142	
1	26454	138	
1	26680	142	
1	26855	146	
1	27008.5	139	
1	27200	142	
1	27449	144	
1	27754.5	151	
1	27900	152	
1	28067.5	143	
1	28253	150	
1	28417	142	
1	28534.5	145	
1	28858	148	
1	28969	146	
1	29086	148	
1	29194.5	139	
1	29324	144	
1	29425.5	153	
1	29576	140	
1	29695.5	145	
1	29810	146	
1	30306.5	147	
1	30494.5	143	
1	30700	146	
1	30959.5	151	
1	31172.5	141	
1	31311	144	
1	31520	152	
1	31647	138	
1	31990	138	
1	32376	144	
1	32480	158	
1	32851	150	
1	32987.5	149	
1	33107	158	
1	33265	156	
1	33371	158	
1	33498.5	139	
1	33612	154	
1	33724.5	145	
1	33864.5	139	
1	34010.5	145	
1	34109	150	
1	34324.5	153	
1	34474	154	
1	34580.5	147	
1	34760.5	153	
1	35028.5	149	
1	35183	142	
1	35302.5	147	
1	35476.5	147	
1	35622.5	149	
1	35741	146	
1	36016.5	147	
1	36157.5	149	
1	36327.5	147	
1	36454.5	149	
1	36560	148	
1	36693.5	147	
1	36845	152	
1	37140	148	
1	37302.5	151	
1	37473	154	
1	37633.5	143	
1	37843	146	
1	38076.5	141	
1	38249.5	139	
1	38373	144	
1	38589	142	
1	38749	156	
1	38932.5	159	
1	39083.5	149	
1	39305	144	
1	39507.5	153	
1	39640.5	147	
1	39772.5	147	
1	40002	150	
1	40140.5	153	
1	40334	154	
1	40555	152	
1	40695	142	
1	40901.5	143	
1	41030.5	145	
1	41244.5	137	
1	41377.5	153	
1	41510	148	
1	41697	154	
1	42037	156	
1	42232.5	153	
1	42366	144	
1	42550.5	145	
1	42655	148	
1	42883	142	
1	43010	148	
1	43253	140	
1	43425.5	145	
1	43561	146	
1	43686.5	143	
1	43990.5	149	
1	44199	144	
1	44301	150	
1	44419	146	
1	44548.5	139	
1	44674	142	
1	44948	156	
1	45210.5	141	
1	45332.5	143	
1	45560.5	151	
1	45841	148	
1	46069.5	141	
1	46364.5	141	
1	46521	146	
1	46668	148	
1	46824	146	
1	47371.5	147	
1	47912.5	147	
1	48028	152	
1	48192.5	153	
1	48450	140	
1	48564.5	141	
1	48698.5	141	
1	48832	142	
1	49006.5	143	
1	49168.5	147	
1	49290.5	145	
1	49489	142	
1	49739.5	139	
1	49955	150	
1	50210	148	
1	50321.5	147	
1	50426	148	
1	50626	150	
1	50744	156	
1	50848.5	151	
1	50960	148	
1	51241	156	
1	51502.5	145	
1	51630.5	141	
1	51831.5	149	
1	51994.5	143	
1	52100	150	
1	52211	146	
1	52370	138	
1	52498.5	135	
1	52742.5	149	
1	52878	146	
1	53118	142	
1	53282	146	
1	53416.5	149	
1	53524	146	
1	53684.5	147	
1	53932	152	
1	54109	144	
1	54283.5	153	
1	54449	150	
1	54722	142	
1	54882	148	
1	55127	148	
1	55291.5	149	
1	55399.5	153	
1	55598	158	
1	55836.5	151	
1	56079	134	
1	56269.5	143	
1	56609.5	145	
1	56719	148	
1	56914.5	145	
1	57187	152	
1	57385	144	
1	57502.5	143	
1	57619.5	151	
1	57809.5	135	
1	57995.5	147	
1	58144	142	
1	58347	150	
1	58661.5	135	
1	58863	148	
1	58989.5	143	
1	59123.5	147	
1	59375.5	151	
1	59549.5	145	
1	59762.5	147	
1	60022	136	
1	60289	148	
1	60480	146	
1	60675.5	155	
1	60796	152	
1	60922.5	137	
1	61073.5	143	
1	61246.5	137	
1	61375.5	151	
1	61570.5	145	
1	61679	140	
1	61808.5	147	
1	62033.5	151	
1	62163	138	
1	62294	142	
1	62636.5	143	
1	62899.5	147	
1	63100	134	
1	63232	146	
1	63404	148	
1	63575.5	153	
1	63684	150	
1	63815.5	151	
1	64093	148	
1	64216.5	153	
1	64366.5	149	
1	64538.5	137	
1	64656	148	
1	64799.5	141	
1	64939	144	
1	65045	140	
1	65150	158	
1	65339.5	143	
1	65508	152	
