Chr	Center	Width
1	3027	146
1	3296	146
1	3370	146
1	3546	146
1	3778	146
1	3858	146
1	4117	146
1	4340	146
1	4572	146
1	4695	146
1	4809	146
1	4980	146
1	5169	146
1	5326	146
1	5511	146
1	5649	146
1	5759	146
1	5963	146
1	6130	146
1	6292	146
1	6450	146
1	6593	146
1	6765	146
1	6945	146
1	7321	146
1	7466	146
1	7648	146
1	7800	146
1	8117	146
1	8298	146
1	8463	146
1	8720	146
1	8796	146
1	8884	146
1	9157	146
1	9400	146
1	9614	146
1	9749	146
1	9934	146
1	10024	146
1	10135	146
1	10222	146
1	10443	146
1	10553	146
1	10754	146
1	10948	146
1	11114	146
1	11291	146
1	11371	146
1	28144	146
1	28339	146
1	28432	146
1	28506	146
1	28835	146
1	28944	146
1	29115	146
1	29195	146
1	29355	146
1	29537	146
1	29711	146
1	29884	146
1	30052	146
1	30133	146
1	30225	146
1	30397	146
1	30537	146
1	30700	146
1	30887	146
1	31306	146
1	31381	146
1	31521	146
1	31806	146
1	32341	146
1	32507	146
1	32731	146
1	32918	146
1	33090	146
1	33193	146
1	33379	146
1	33552	146
1	33708	146
1	33866	146
1	34008	146
1	34204	146
1	34289	146
1	34380	146
1	34649	146
1	34889	146
1	35020	146
1	35237	146
1	35398	146
1	35558	146
1	35703	146
1	35860	146
1	35981	146
1	36190	146
1	36336	146
1	36588	146
1	36781	146
1	36928	146
1	37066	146
1	37443	146
1	37625	146
1	37789	146
1	37938	146
1	38107	146
1	38286	146
1	38470	146
1	38639	146
1	38810	146
1	38885	146
1	38970	146
1	39247	146
1	39409	146
1	39578	146
1	39760	146
1	39881	146
1	40088	146
1	40220	146
1	40382	146
1	40560	146
1	40687	146
1	40854	146
1	40972	146
1	41050	146
1	41135	146
1	41318	146
1	41452	146
1	41551	146
1	41734	146
1	41903	146
1	42213	146
1	42379	146
1	42562	146
1	42731	146
1	42945	146
1	43096	146
1	43254	146
1	43481	146
1	43639	146
1	43806	146
1	43974	146
1	44115	146
1	44283	146
1	44446	146
1	44663	146
1	44824	146
1	44995	146
1	45184	146
1	45380	146
1	45511	146
1	45610	146
1	45781	146
1	45972	146
1	46132	146
1	46318	146
1	46479	146
1	46634	146
1	46786	146
1	46897	146
1	47167	146
1	47271	146
1	47395	146
1	47605	146
1	47694	146
1	47773	146
1	47915	146
1	48058	146
1	48267	146
1	48592	146
1	48757	146
1	48927	146
1	49087	146
1	49249	146
1	49382	146
1	49571	146
1	49729	146
1	49876	146
1	49956	146
1	50049	146
1	50130	146
1	50234	146
1	50333	146
1	50658	146
1	50777	146
1	50854	146
1	51025	146
1	51191	146
1	51401	146
1	51549	146
1	51917	146
1	52097	146
1	52261	146
1	52426	146
1	52589	146
1	52891	146
1	53075	146
1	53212	146
1	53380	146
1	53562	146
1	53707	146
1	53877	146
1	54075	146
1	54253	146
1	54420	146
1	54580	146
1	54733	146
1	54971	146
1	55132	146
1	55315	146
1	55463	146
1	55655	146
1	55825	146
1	56010	146
1	56144	146
1	56304	146
1	56477	146
1	56650	146
1	56817	146
1	57032	146
1	57171	146
1	57365	146
1	57560	146
1	57722	146
1	57938	146
1	58098	146
1	58260	146
1	58450	146
1	58527	146
1	58659	146
1	58898	146
1	59073	146
1	59238	146
1	59412	146
1	59506	146
1	59584	146
1	59774	146
1	59940	146
1	60071	146
1	60240	146
1	60385	146
1	60548	146
1	60714	146
1	60855	146
1	61034	146
1	61323	146
1	61490	146
1	61656	146
1	61804	146
1	61992	146
1	62171	146
1	62332	146
1	62524	146
1	62805	146
1	62902	146
1	62978	146
1	63165	146
1	63298	146
1	63481	146
1	63597	146
1	63768	146
1	63950	146
1	64080	146
1	64287	146
1	64519	146
1	64597	146
1	64681	146
1	64920	146
1	65028	146
1	65339	146
1	65418	146
1	65501	146
1	65838	146
1	66032	146
1	66123	146
1	66242	146
1	66568	146
1	66672	146
1	66864	146
1	67169	146
1	67263	146
1	67383	146
1	67623	146
1	67724	146
1	67962	146
1	68241	146
1	68409	146
1	68541	146
1	68707	146
1	68883	146
1	68964	146
1	69074	146
1	69182	146
1	69299	146
1	69544	146
1	69709	146
1	69990	146
1	70067	146
1	70157	146
1	70283	146
1	70513	146
1	70713	146
1	70809	146
1	71088	146
1	71283	146
1	71385	146
1	71505	146
1	71831	146
1	72091	146
1	72222	146
1	72316	146
1	72409	146
1	72604	146
1	72783	146
1	72903	146
1	73062	146
1	73247	146
1	73522	146
1	73695	146
1	73885	146
1	74052	146
1	74215	146
1	74396	146
1	74585	146
1	74759	146
1	75183	146
1	75367	146
1	75494	146
1	75693	146
1	75833	146
1	75996	146
1	76167	146
1	76446	146
1	76611	146
1	76767	146
1	76901	146
1	77058	146
1	77249	146
1	77771	146
1	77933	146
1	78060	146
1	78282	146
1	78377	146
1	78602	146
1	78799	146
1	78954	146
1	79086	146
1	79250	146
1	79420	146
1	79733	146
1	79894	146
1	80058	146
1	80238	146
1	80391	146
1	80557	146
1	80745	146
1	80956	146
1	81180	146
1	81350	146
1	81500	146
1	81666	146
1	81818	146
1	81984	146
1	82232	146
1	82380	146
1	82543	146
1	82759	146
1	82921	146
1	83079	146
1	83382	146
1	83468	146
1	83614	146
1	83789	146
1	83951	146
1	84111	146
1	84284	146
1	84451	146
1	84720	146
1	84894	146
1	85059	146
1	85225	146
1	85419	146
1	85588	146
1	85747	146
1	85917	146
1	86061	146
1	86216	146
1	86380	146
1	86544	146
1	86689	146
1	86853	146
1	86948	146
1	87041	146
1	87313	146
1	87473	146
1	87634	146
1	87898	146
1	88008	146
1	88253	146
1	88388	146
1	88523	146
1	88687	146
1	88849	146
1	89062	146
1	89149	146
1	89310	146
1	89392	146
1	89542	146
1	89807	146
1	90074	146
1	90218	146
1	90378	146
1	90560	146
1	90723	146
1	90895	146
1	91000	146
1	91162	146
1	91327	146
1	91478	146
1	91679	146
1	91795	146
1	91979	146
1	92115	146
1	92248	146
1	92436	146
1	92729	146
1	92899	146
1	93081	146
1	93235	146
1	93411	146
1	93598	146
1	93688	146
1	93775	146
1	93897	146
1	94085	146
1	94163	146
1	94260	146
1	94403	146
1	94661	146
1	94862	146
1	94977	146
1	95170	146
1	95335	146
1	95501	146
1	95736	146
1	95906	146
1	96069	146
1	96143	146
1	96291	146
1	96545	146
1	96724	146
1	96855	146
1	96985	146
1	97061	146
1	97147	146
1	97396	146
1	97808	146
1	97975	146
1	98208	146
1	98310	146
1	98472	146
1	98559	146
1	98755	146
1	98924	146
1	99091	146
1	99202	146
1	99410	146
1	99579	146
1	99749	146
1	99924	146
1	100195	146
1	100366	146
1	100497	146
1	100664	146
1	100820	146
1	100975	146
1	101139	146
1	101615	146
1	101806	146
1	101950	146
1	102118	146
1	102331	146
1	102416	146
1	102636	146
1	102852	146
1	103206	146
1	103312	146
1	103519	146
1	103611	146
1	103690	146
1	103821	146
1	103950	146
1	104167	146
1	104271	146
1	104488	146
1	104626	146
1	104800	146
1	104968	146
1	105111	146
1	105287	146
1	105417	146
1	105603	146
1	105768	146
1	105929	146
1	106157	146
1	106362	146
1	106563	146
1	106729	146
1	106858	146
1	107089	146
1	107218	146
1	107384	146
1	107540	146
1	107699	146
1	107820	146
1	107980	146
1	108124	146
1	108285	146
1	108435	146
1	108598	146
1	108948	146
1	109109	146
1	109270	146
1	109433	146
1	109600	146
1	109769	146
1	109917	146
1	110069	146
1	110245	146
1	110412	146
1	110684	146
1	110822	146
1	111338	146
1	111467	146
1	111603	146
1	111780	146
1	111907	146
1	112066	146
1	112234	146
1	112403	146
1	112538	146
1	112714	146
1	113355	146
1	113589	146
1	113787	146
1	113933	146
1	114093	146
1	114231	146
1	114416	146
1	114585	146
1	114858	146
1	115021	146
1	115163	146
1	115331	146
1	115522	146
1	115667	146
1	115809	146
1	115981	146
1	116135	146
1	116247	146
1	116801	146
1	116956	146
1	117040	146
1	117119	146
1	117288	146
1	117363	146
1	117491	146
1	117659	146
1	117754	146
1	117886	146
1	118124	146
1	118581	146
1	118713	146
1	118889	146
1	119070	146
1	119161	146
1	119269	146
1	119446	146
1	119584	146
1	119898	146
1	120075	146
1	120284	146
1	120401	146
1	120585	146
1	120722	146
1	120895	146
1	121057	146
1	121225	146
1	121394	146
1	121487	146
1	121648	146
1	121839	146
1	121978	146
1	122116	146
1	122313	146
1	122471	146
1	122611	146
1	122845	146
1	122919	146
1	123134	146
1	123338	146
1	123477	146
1	123670	146
1	123838	146
1	124022	146
1	124188	146
1	124353	146
1	124848	146
1	125007	146
1	125146	146
1	125308	146
1	125507	146
1	125582	146
1	125755	146
1	125944	146
1	126106	146
1	126181	146
1	126407	146
1	126542	146
1	126997	146
1	127154	146
1	127326	146
1	127506	146
1	127693	146
1	127904	146
1	128044	146
1	128364	146
1	128527	146
1	128701	146
1	128837	146
1	129003	146
1	129280	146
1	129477	146
1	129644	146
1	129788	146
1	129952	146
1	130100	146
1	130288	146
1	130453	146
1	130657	146
1	130759	146
1	130923	146
1	131097	146
1	131179	146
1	131277	146
1	131450	146
1	131641	146
1	131767	146
1	131966	146
1	132231	146
1	132392	146
1	132569	146
1	132733	146
1	132884	146
1	133065	146
1	133190	146
1	133365	146
1	133569	146
1	133689	146
1	133764	146
1	133902	146
1	134034	146
1	134348	146
1	134470	146
1	134663	146
1	134858	146
1	134972	146
1	135159	146
1	135322	146
1	135482	146
1	135650	146
1	135889	146
1	136046	146
1	136201	146
1	136369	146
1	136544	146
1	136699	146
1	136916	146
1	137079	146
1	137250	146
1	137390	146
1	137759	146
1	137873	146
1	138049	146
1	138217	146
1	138381	146
1	138465	146
1	138670	146
1	138849	146
1	141614	146
1	141793	146
1	142195	146
1	142398	146
1	142667	146
1	142754	146
1	142849	146
1	142942	146
1	143069	146
1	143277	146
1	143430	146
1	143681	146
1	143756	146
1	143844	146
1	143954	146
1	144124	146
1	144285	146
1	144464	146
1	144540	146
1	144766	146
1	144916	146
1	145076	146
1	145256	146
1	145429	146
1	145628	146
1	145791	146
1	145898	146
1	145992	146
1	146084	146
1	146434	146
1	146511	146
1	146687	146
1	146834	146
1	147047	146
1	147172	146
1	147338	146
1	147434	146
1	147681	146
1	147816	146
1	148009	146
1	148164	146
1	148333	146
1	148445	146
1	148521	146
1	148677	146
1	148941	146
1	149045	146
1	149220	146
1	149416	146
1	149548	146
1	149748	146
1	149980	146
1	150173	146
1	150339	146
1	150539	146
1	150618	146
1	150811	146
1	150962	146
1	151139	146
1	151366	146
1	151824	146
1	151987	146
1	152278	146
1	152435	146
1	152594	146
1	152778	146
1	152926	146
1	153089	146
1	153245	146
1	153419	146
1	153585	146
1	153802	146
1	153921	146
1	154205	146
1	154378	146
1	154548	146
1	154711	146
1	154991	146
1	155151	146
1	155315	146
1	155472	146
1	155639	146
1	155806	146
1	155973	146
1	156120	146
1	156286	146
1	156488	146
1	156635	146
1	156805	146
1	156967	146
1	157134	146
1	157311	146
1	157475	146
1	157624	146
1	157824	146
1	157986	146
1	158170	146
1	158307	146
1	158476	146
1	158650	146
1	158915	146
1	159067	146
1	159265	146
1	159437	146
1	159568	146
1	159731	146
1	159851	146
1	166686	146
1	166849	146
1	167026	146
1	167111	146
1	167214	146
1	167395	146
1	167581	146
1	167680	146
1	167841	146
1	167986	146
1	168162	146
1	168310	146
1	168474	146
1	168636	146
1	168800	146
1	168974	146
1	169121	146
1	169346	146
1	169420	146
1	169618	146
1	169783	146
1	169897	146
1	170114	146
1	170258	146
1	170533	146
1	170724	146
1	170888	146
1	171041	146
1	171208	146
1	171353	146
1	171527	146
1	171697	146
1	171895	146
1	172139	146
1	172293	146
1	172453	146
1	172834	146
1	173033	146
1	173195	146
1	173323	146
1	173439	146
1	173680	146
1	173832	146
1	173991	146
1	174147	146
1	174298	146
1	174466	146
1	174610	146
1	174781	146
1	174948	146
1	175121	146
1	175330	146
1	175509	146
1	175683	146
1	175857	146
1	176020	146
1	176153	146
1	176368	146
1	177426	146
1	177587	146
1	177754	146
1	177942	146
1	178095	146
1	178225	146
1	178416	146
1	178605	146
1	178728	146
1	178897	146
1	179079	146
1	179243	146
1	179402	146
1	179561	146
1	179691	146
1	179903	146
1	180072	146
1	180265	146
1	180440	146
1	180618	146
1	180782	146
1	181556	146
1	181713	146
1	181874	146
1	182046	146
1	182228	146
1	184069	146
1	184271	146
1	184476	146
1	184622	146
1	185201	146
1	185386	146
1	185508	146
1	185712	146
1	185944	146
1	186112	146
1	186257	146
1	186451	146
1	186615	146
1	186778	146
1	190058	146
1	190179	146
1	190277	146
1	190448	146
1	190607	146
1	190768	146
1	190997	146
1	191174	146
1	191409	146
1	191622	146
1	191785	146
1	191873	146
1	191999	146
1	192138	146
1	192303	146
1	192618	146
1	192789	146
1	192959	146
1	193127	146
1	193286	146
1	193417	146
1	193607	146
1	193729	146
1	193889	146
1	194079	146
1	194214	146
1	194356	146
1	194473	146
1	194643	146
1	194717	146
1	194800	146
1	195011	146
1	195111	146
1	195186	146
1	195378	146
1	195524	146
1	195620	146
1	195742	146
1	195816	146
1	195924	146
1	196054	146
1	196184	146
1	196258	146
1	196356	146
1	196486	146
1	196669	146
1	196834	146
1	196955	146
1	197100	146
1	197339	146
1	197521	146
1	197663	146
1	197853	146
1	198021	146
1	198214	146
1	198401	146
1	198600	146
1	198772	146
1	198954	146
1	199134	146
1	199303	146
1	199410	146
1	199522	146
1	199662	146
1	199857	146
1	200057	146
1	200196	146
1	200374	146
1	200676	146
1	200818	146
1	200984	146
1	201079	146
1	201292	146
1	201455	146
1	201577	146
1	201781	146
1	201992	146
1	202159	146
1	202300	146
1	202512	146
1	202791	146
1	202965	146
1	203131	146
1	227085	146
1	227227	146
2	8642	146
2	8800	146
2	9985	146
2	10171	146
2	10293	146
2	10514	146
2	10757	146
2	10945	146
2	11107	146
2	11307	146
2	11471	146
2	11625	146
2	11789	146
2	11864	146
2	12098	146
2	12282	146
2	12498	146
2	12658	146
2	12778	146
2	12893	146
2	13135	146
2	13276	146
2	13410	146
2	13516	146
2	13755	146
2	13972	146
2	14083	146
2	14344	146
2	14542	146
2	14705	146
2	14912	146
2	15087	146
2	15301	146
2	15544	146
2	15682	146
2	15996	146
2	16230	146
2	16341	146
2	16510	146
2	16642	146
2	16791	146
2	16945	146
2	17106	146
2	17263	146
2	17399	146
2	17576	146
2	17718	146
2	17901	146
2	18181	146
2	18348	146
2	18508	146
2	18743	146
2	18906	146
2	19085	146
2	19267	146
2	19383	146
2	19511	146
2	19609	146
2	19810	146
2	19971	146
2	20132	146
2	20288	146
2	20445	146
2	20604	146
2	20789	146
2	20917	146
2	21081	146
2	21279	146
2	21501	146
2	21664	146
2	21861	146
2	22078	146
2	22179	146
2	22282	146
2	22481	146
2	22612	146
2	22782	146
2	22927	146
2	23076	146
2	23251	146
2	23415	146
2	23565	146
2	23737	146
2	23942	146
2	24039	146
2	24177	146
2	24358	146
2	24496	146
2	24673	146
2	25037	146
2	25217	146
2	25377	146
2	25540	146
2	25674	146
2	25869	146
2	26055	146
2	26246	146
2	26344	146
2	26474	146
2	26609	146
2	26706	146
2	26791	146
2	26944	146
2	27051	146
2	27138	146
2	27348	146
2	27521	146
2	27607	146
2	27859	146
2	28034	146
2	28200	146
2	28394	146
2	28577	146
2	28850	146
2	28969	146
2	29115	146
2	29276	146
2	36802	146
2	36946	146
2	37111	146
2	37256	146
2	37423	146
2	37585	146
2	37671	146
2	37840	146
2	38088	146
2	38221	146
2	38494	146
2	38646	146
2	38951	146
2	39172	146
2	39369	146
2	39508	146
2	39644	146
2	39807	146
2	40046	146
2	40202	146
2	40364	146
2	40504	146
2	40799	146
2	40969	146
2	41142	146
2	41309	146
2	41458	146
2	41625	146
2	41772	146
2	41940	146
2	42108	146
2	42209	146
2	42325	146
2	42481	146
2	42655	146
2	42869	146
2	43011	146
2	43313	146
2	43473	146
2	43657	146
2	43768	146
2	43949	146
2	44115	146
2	44315	146
2	44469	146
2	44631	146
2	44829	146
2	44973	146
2	45208	146
2	45317	146
2	45465	146
2	45681	146
2	45813	146
2	46054	146
2	46284	146
2	46621	146
2	46813	146
2	46981	146
2	47154	146
2	47384	146
2	47568	146
2	47731	146
2	47897	146
2	48097	146
2	48264	146
2	48429	146
2	48595	146
2	48842	146
2	49006	146
2	49201	146
2	49364	146
2	49591	146
2	49790	146
2	49893	146
2	50151	146
2	50233	146
2	50417	146
2	50590	146
2	50713	146
2	50896	146
2	51126	146
2	51455	146
2	51578	146
2	51774	146
2	52009	146
2	52161	146
2	52307	146
2	52490	146
2	52678	146
2	52837	146
2	52916	146
2	53100	146
2	53201	146
2	53390	146
2	53585	146
2	53830	146
2	54003	146
2	54287	146
2	54504	146
2	54591	146
2	54763	146
2	54868	146
2	55022	146
2	55276	146
2	55425	146
2	55507	146
2	55667	146
2	55831	146
2	55944	146
2	56038	146
2	56183	146
2	56485	146
2	56579	146
2	56842	146
2	57006	146
2	57147	146
2	57428	146
2	57671	146
2	57774	146
2	57884	146
2	58082	146
2	58344	146
2	58418	146
2	58547	146
2	58721	146
2	58870	146
2	59004	146
2	59187	146
2	59374	146
2	59565	146
2	60397	146
2	60559	146
2	60773	146
2	60925	146
2	61018	146
2	61227	146
2	61394	146
2	61512	146
2	61749	146
2	61836	146
2	61936	146
2	62020	146
2	62152	146
2	62304	146
2	62456	146
2	62640	146
2	62908	146
2	63127	146
2	63225	146
2	63468	146
2	63709	146
2	63941	146
2	64080	146
2	64276	146
2	64389	146
2	64559	146
2	64848	146
2	64995	146
2	65084	146
2	65243	146
2	65341	146
2	65504	146
