Chr	center	width
1	111	121
1	294	149
1	453	160
1	569	120
1	752	149
1	911	160
1	1027	120
1	1210	149
1	1369	160
1	1485	120
1	1668	149
1	1827	160
1	1943	120
1	2126	149
1	2285	160
1	2401	120
1	2584	149
1	2743	160
1	2859	120
1	3042	149
1	3201	160
1	3317	120
1	3500	149
1	3659	160
1	3775	120
1	3958	149
1	4117	160
1	4233	120
1	4416	149
1	4575	160
1	4691	120
1	4874	149
1	5033	160
1	5146	121
1	5325	123
1	5617	156
1	7670	129
1	7825	112
1	8069	103
1	8540	120
1	8750	133
1	12420	104
1	12548	137
1	13593	123
1	15246	123
1	18774	129
1	22236	157
1	22545	151
1	22823	136
1	23039	136
1	23141	138
1	23637	156
1	23842	139
1	26488	160
1	26647	159
1	28008	117
1	28938	155
1	30406	123
1	30644	143
1	31243	139
1	31595	159
1	31721	151
1	32310	113
1	32933	113
1	33996	154
1	34117	144
1	35036	136
1	35896	144
1	36149	110
1	36250	141
1	36488	102
1	36875	159
1	37225	104
1	37557	135
1	37788	154
1	37957	154
1	38236	120
1	39426	120
1	39592	151
1	39783	150
1	41425	113
1	41781	131
1	41886	153
1	43221	147
1	44385	138
1	45266	122
1	46105	140
1	46744	134
1	47202	102
1	47441	145
1	47593	127
1	47723	138
1	47947	131
1	48066	107
1	48156	107
1	48237	108
1	48320	112
1	48431	125
1	48575	137
1	48696	101
1	48962	128
1	49065	112
1	49154	123
1	49313	148
1	49607	109
1	49706	133
1	49839	106
1	49971	140
1	50120	142
1	50229	110
1	50366	151
1	50570	160
1	50682	151
1	50852	123
1	50959	143
1	51059	116
1	51223	158
1	51400	156
1	51608	139
1	51763	118
1	51939	152
1	52161	134
1	52257	113
1	54240	100
1	54905	155
1	55374	156
1	55851	146
1	56542	113
1	59067	136
1	59277	137
1	59391	150
1	59788	160
1	60461	140
1	60642	137
1	62089	132
1	64303	160
1	64458	157
1	64570	124
1	64671	112
1	64850	108
1	66972	109
1	68112	125
1	68408	142
1	70273	149
1	70479	126
1	70755	152
1	72758	144
1	72861	136
1	73021	146
1	73651	155
1	73785	114
1	74116	117
1	75726	100
1	76884	122
1	77913	130
1	78095	129
1	78187	103
1	79126	110
1	79221	132
1	79698	155
1	79895	159
1	80136	122
1	80232	143
1	80796	158
1	84092	132
1	85807	149
1	86453	130
1	86574	159
1	86741	158
1	88773	153
1	89748	158
1	90282	117
1	90738	159
1	90897	141
1	91401	143
1	91541	116
1	91675	115
1	91843	147
1	92210	148
1	93155	148
1	93255	123
1	93444	128
1	93551	151
1	94263	114
1	95092	144
1	95486	131
1	95608	134
1	95773	139
1	96006	137
1	96960	130
1	97758	151
1	98401	139
1	98744	148
1	99480	159
1	100289	153
1	101295	153
1	102519	108
1	102659	122
1	102826	147
1	103035	141
1	103183	128
1	103395	119
1	103566	143
1	104902	115
1	105693	106
1	105880	126
1	106118	136
1	106224	121
1	106618	145
1	107384	140
1	108791	127
1	109253	109
1	109775	143
1	110126	139
1	110493	102
1	110810	126
1	111030	114
1	112028	129
1	112704	115
1	112826	122
1	113477	106
1	114831	127
1	115571	142
1	115755	151
1	115867	137
1	116017	124
1	116914	100
1	117611	119
1	117760	152
1	118283	128
1	118539	141
1	118741	148
1	119020	136
1	119301	106
1	119475	142
1	119908	100
1	120753	102
1	120898	140
1	121715	101
1	121881	144
1	123164	111
1	123269	152
1	124312	119
1	124587	160
1	124708	147
1	124840	142
1	125111	136
1	126393	147
1	127503	113
1	127702	149
1	128595	112
1	128729	110
1	129126	145
1	130449	119
1	130598	119
1	130835	119
1	132641	119
1	132866	149
1	133269	120
1	133440	119
1	133575	104
1	133667	116
1	136789	103
1	137136	153
1	137661	148
1	138791	103
1	138941	132
1	139143	151
1	139311	116
1	139530	129
1	139645	155
1	140216	152
1	140439	125
1	140748	121
1	140892	142
1	141322	145
1	141430	149
1	142033	125
1	142240	159
1	142429	135
1	143064	127
1	143472	125
