Chr	Start	End	FOccupancy	ROccupancy
1	2958	3103	6	5.33333
1	3140	3262	1	1
1	3293	3451	3	2
1	3470	3617	2.33333	0
1	3704	3851	2.33333	0
1	3878	4022	1.66667	1.5
1	4043	4185	2.66667	4.33333
1	4260	4407	0	2.66667
1	4415	4554	2.33333	2
1	4620	4741	1.33333	1
1	4807	4954	3	0
1	5110	5257	3	2.33333
1	5268	5402	2	1.66667
1	5426	5553	1.33333	1.66667
1	5573	5726	2.66667	2
1	5697	5831	2.33333	2
1	5878	5999	2	2.33333
1	6053	6192	1.66667	1.66667
1	6224	6364	1.66667	2
1	6380	6506	2.33333	2.33333
1	6525	6683	2	1.33333
1	6870	7019	1.33333	1.33333
1	7262	7385	1.66667	2.33333
1	7407	7562	1.66667	1.33333
1	7578	7719	4.66667	6.66667
1	7734	7886	2	1
1	7939	8065	2	1
1	8047	8191	3	4
1	8229	8372	3.33333	6.66667
1	8414	8538	2	3.66667
1	8722	8876	2	2
1	8892	9039	2.66667	2.33333
1	9089	9229	2.66667	2.33333
1	9326	9473	10	4.66667
1	9544	9691	2.66667	0
1	9692	9840	2.33333	2.33333
1	9865	10010	2	1.33333
1	10043	10190	2	2
1	10483	10637	1.66667	2
1	10675	10828	5	5
1	10847	10988	4	2
1	11284	11434	2.33333	4.33333
1	28105	28247	2	2
1	28242	28389	3.33333	0
1	28433	28584	8.33333	8.66667
1	28604	28751	2.66667	0
1	28717	28849	4.66667	2
1	28892	29019	1.66667	1.66667
1	29082	29229	4.66667	0
1	29251	29393	2.33333	4
1	29441	29584	2.33333	2.33333
1	29648	29789	2.33333	2.66667
1	29814	29951	2.33333	5.33333
1	29953	30097	1.66667	1.33333
1	30208	30356	1.33333	3
1	30315	30469	3	2.66667
1	30460	30602	3.33333	2
1	30630	30775	2	1.66667
1	30807	30957	1.33333	2
1	30950	31101	1.5	1.33333
1	31153	31301	1	1
1	31316	31471	1.33333	1.33333
1	31529	31663	2	1.33333
1	31733	31867	8.66667	6.66667
1	32267	32413	3.66667	3
1	32430	32582	8.33333	7.33333
1	32658	32817	5.33333	3.66667
1	32826	32976	8	5.33333
1	33022	33159	6.66667	3.66667
1	33143	33291	5.66667	4.66667
1	33282	33437	2.33333	1.33333
1	33484	33631	3.66667	7
1	33670	33813	4.66667	6.33333
1	33848	33987	6.33333	4.66667
1	33950	34098	3.66667	2.66667
1	34128	34270	4	3.33333
1	34277	34435	2.66667	4.66667
1	34403	34550	0	4
1	34510	34650	2.66667	1
