Chr	Center	Size
1	185	146
1	383	146
1	655	146
1	876	146
1	1218	146
1	1490	146
1	1791	146
1	1973	146
1	2102	146
1	2202	146
1	2381	146
1	2541	146
1	2664	146
1	2780	146
1	3241	146
1	3546	146
1	3723	146
1	3871	146
1	3996	146
1	4221	146
1	4471	146
1	4669	146
1	4857	146
1	5176	146
1	5328	146
1	5447	146
1	5583	146
1	5727	146
1	5972	146
1	6159	146
1	6282	146
1	6486	146
1	6608	146
1	6794	146
1	6956	146
1	7057	146
1	7288	146
1	7446	146
1	7566	146
1	7772	146
1	7970	146
1	8060	146
1	8342	146
1	8515	146
1	8794	146
1	8952	146
1	9036	146
1	9234	146
1	9503	146
1	9592	146
1	9720	146
1	9988	146
1	10366	146
1	10477	146
1	10620	146
1	10803	146
1	10988	146
1	11151	146
1	11241	146
1	11444	146
1	11614	146
1	11833	146
1	12041	146
1	12238	146
1	12511	146
1	12623	146
1	12837	146
1	13064	146
1	13740	146
1	13880	146
1	14119	146
1	14272	146
1	14423	146
1	14566	146
1	14812	146
1	14999	146
1	15174	146
1	15278	146
1	15495	146
1	15786	146
1	15908	146
1	16107	146
1	16303	146
1	16521	146
1	16745	146
1	17150	146
1	17330	146
1	17550	146
1	17779	146
1	18077	146
1	18192	146
1	18355	146
1	18531	146
1	18652	146
1	18731	146
1	18877	146
1	19057	146
1	19217	146
1	19470	146
1	19626	146
1	19740	146
1	20011	146
1	20129	146
1	20274	146
1	20379	146
1	20569	146
1	20901	146
1	21044	146
1	21140	146
1	21402	146
1	21563	146
1	21760	146
1	22200	146
1	22361	146
1	22624	146
1	22824	146
1	22904	146
1	23156	146
1	23300	146
1	23398	146
1	23739	146
1	23940	146
1	24110	146
1	24215	146
1	24361	146
1	24764	146
1	24941	146
1	25090	146
1	25240	146
1	25366	146
1	25572	146
1	25876	146
1	25957	146
1	26083	146
1	26218	146
1	26458	146
1	26699	146
1	26840	146
1	26994	146
1	27155	146
1	27466	146
1	27744	146
1	27901	146
1	28084	146
1	28257	146
1	28420	146
1	28539	146
1	28843	146
1	28957	146
1	29100	146
1	29198	146
1	29300	146
1	29428	146
1	29594	146
1	29682	146
1	29805	146
1	30293	146
1	30480	146
1	30664	146
1	30984	146
1	31158	146
1	31336	146
1	31507	146
1	31634	146
1	31995	146
1	32433	146
1	32830	146
1	32972	146
1	33120	146
1	33268	146
1	33377	146
1	33547	146
1	33634	146
1	33859	146
1	34117	146
1	34310	146
1	34495	146
1	34577	146
1	34774	146
1	35040	146
1	35305	146
1	35458	146
1	35619	146
1	35745	146
1	35996	146
1	36076	146
1	36166	146
1	36328	146
1	36435	146
1	36553	146
1	36703	146
1	36826	146
1	37170	146
1	37319	146
1	37502	146
1	37645	146
1	37806	146
1	38081	146
1	38279	146
1	38410	146
1	38574	146
1	38736	146
1	38928	146
1	39072	146
1	39297	146
1	39519	146
1	39625	146
1	39749	146
1	39977	146
1	40137	146
1	40331	146
1	40566	146
1	40695	146
1	40939	146
1	41024	146
1	41253	146
1	41403	146
1	41524	146
1	41692	146
1	42047	146
1	42226	146
1	42374	146
1	42531	146
1	42647	146
1	43015	146
1	43256	146
1	43440	146
1	43573	146
1	43706	146
1	44013	146
1	44218	146
1	44439	146
1	44560	146
1	44714	146
1	44939	146
1	45212	146
1	45346	146
1	45573	146
1	45807	146
1	46076	146
1	46375	146
1	46516	146
1	46679	146
1	46829	146
1	47380	146
1	47914	146
1	48007	146
1	48200	146
1	48463	146
1	48549	146
1	48680	146
1	48842	146
1	48994	146
1	49195	146
1	49275	146
1	49483	146
1	49753	146
1	49956	146
1	50225	146
1	50349	146
1	50424	146
1	50691	146
1	50954	146
1	51251	146
1	51600	146
1	51860	146
1	51955	146
1	52192	146
1	52395	146
1	52520	146
1	52759	146
1	52868	146
1	53132	146
1	53290	146
1	53422	146
1	53499	146
1	53694	146
1	53955	146
1	54120	146
1	54264	146
1	54436	146
1	54722	146
1	54875	146
1	55112	146
1	55335	146
1	55595	146
1	55843	146
1	56071	146
1	56295	146
1	56623	146
1	56700	146
1	56929	146
1	57200	146
1	57394	146
1	57503	146
1	57593	146
1	57777	146
1	58024	146
1	58139	146
1	58373	146
1	58670	146
1	58981	146
1	59136	146
1	59360	146
1	59554	146
1	59743	146
1	60035	146
1	60284	146
1	60489	146
1	60692	146
1	60794	146
1	60894	146
1	61096	146
1	61231	146
1	61368	146
1	61571	146
1	61671	146
1	61797	146
1	62011	146
1	62141	146
1	62289	146
1	62620	146
1	62885	146
1	63108	146
1	63243	146
1	63396	146
1	63659	146
1	63793	146
1	64105	146
1	64236	146
1	64366	146
1	64566	146
1	64679	146
1	64775	146
1	65016	146
1	65143	146
1	65327	146
1	65497	146
1	65620	146
1	65817	146
1	65939	146
1	66166	146
1	66345	146
1	66513	146
1	66631	146
1	66802	146
1	67009	146
1	67130	146
1	67376	146
1	67562	146
1	67770	146
1	67858	146
1	67991	146
1	68302	146
1	68477	146
1	68621	146
1	68752	146
1	68917	146
1	69123	146
1	69329	146
1	69428	146
1	69599	146
1	69908	146
1	70058	146
1	70236	146
1	70398	146
1	70733	146
1	70923	146
1	71049	146
1	71233	146
1	71384	146
1	71639	146
1	71783	146
1	71868	146
1	72013	146
1	72108	146
1	72379	146
1	72486	146
1	72617	146
1	72712	146
1	72861	146
1	73013	146
1	73221	146
1	73405	146
1	73603	146
1	73758	146
1	73999	146
1	74263	146
1	74585	146
1	74720	146
1	74913	146
1	75092	146
1	75207	146
1	75443	146
1	75624	146
1	75834	146
1	76065	146
1	76215	146
1	76459	146
1	76704	146
1	76924	146
1	77033	146
1	77254	146
1	77392	146
1	77558	146
1	77686	146
1	77779	146
1	78045	146
1	78276	146
1	78547	146
1	78816	146
1	78950	146
1	79146	146
1	79286	146
1	79542	146
1	79763	146
1	80036	146
1	80132	146
1	80278	146
1	80760	146
1	80916	146
1	81207	146
1	81658	146
1	81843	146
1	82132	146
1	82237	146
1	82347	146
1	82499	146
1	82634	146
1	82837	146
1	83153	146
1	83386	146
1	83540	146
1	83759	146
1	83969	146
1	84067	146
1	84222	146
1	84306	146
1	84611	146
1	84743	146
1	84945	146
1	85091	146
1	85301	146
1	85519	146
1	85756	146
1	85843	146
1	85932	146
1	86100	146
1	86267	146
1	86418	146
1	86566	146
1	86836	146
1	87060	146
1	87209	146
1	87400	146
1	87510	146
1	87675	146
1	87887	146
1	87977	146
1	88194	146
1	88353	146
1	88584	146
1	88729	146
1	88893	146
1	88981	146
1	89129	146
1	89253	146
1	89408	146
1	89541	146
1	89784	146
1	89983	146
1	90211	146
1	90416	146
1	90716	146
1	90819	146
1	90944	146
1	91073	146
1	91256	146
1	91390	146
1	91550	146
1	91743	146
1	91903	146
1	92060	146
1	92486	146
1	92624	146
1	92721	146
1	92964	146
1	93110	146
1	93237	146
1	93479	146
1	93655	146
1	93765	146
1	93898	146
1	94306	146
1	94469	146
1	94560	146
1	94861	146
1	95100	146
1	95445	146
1	95575	146
1	95690	146
1	95967	146
1	96087	146
1	96252	146
1	96551	146
1	96890	146
1	97140	146
1	97403	146
1	97612	146
1	97800	146
1	98009	146
1	98352	146
1	98481	146
1	98737	146
1	98839	146
1	98969	146
1	99100	146
1	99251	146
1	99445	146
1	99727	146
1	99928	146
1	100081	146
1	100349	146
1	100435	146
1	100670	146
1	100880	146
1	101004	146
1	101095	146
1	101237	146
1	101564	146
1	101735	146
1	101870	146
1	102137	146
1	102309	146
1	102593	146
1	102712	146
1	102966	146
1	103062	146
1	103206	146
1	103375	146
1	103574	146
1	103711	146
1	104115	146
1	104243	146
1	104542	146
1	104698	146
1	104989	146
1	105111	146
1	105293	146
1	105452	146
1	105643	146
1	105861	146
1	106056	146
1	106266	146
1	106370	146
1	106652	146
1	106865	146
1	107126	146
1	107264	146
1	107585	146
1	107808	146
1	108248	146
1	108468	146
1	108649	146
1	108920	146
1	109257	146
1	109401	146
1	109631	146
1	109789	146
1	110013	146
1	110374	146
1	110482	146
1	110620	146
1	110714	146
1	111053	146
1	111194	146
1	111343	146
1	111509	146
1	111730	146
1	111856	146
1	112034	146
1	112189	146
1	112332	146
1	112432	146
1	112773	146
1	112917	146
1	113113	146
1	113203	146
1	113357	146
1	113590	146
1	113791	146
1	114111	146
1	114235	146
1	114659	146
1	114949	146
1	115166	146
1	115360	146
1	115519	146
1	115682	146
1	115830	146
1	116004	146
1	116205	146
1	116343	146
1	116557	146
1	116658	146
1	116844	146
1	117049	146
1	117223	146
1	117325	146
1	117540	146
1	117762	146
1	117930	146
1	118124	146
1	118328	146
1	118481	146
1	118584	146
1	118789	146
1	118921	146
1	119037	146
1	119214	146
1	119588	146
1	119772	146
1	119913	146
1	120113	146
1	120239	146
1	120374	146
1	120567	146
1	120697	146
1	120859	146
1	121155	146
1	121347	146
1	121526	146
1	121688	146
1	121825	146
1	121977	146
1	122188	146
1	122407	146
1	122501	146
1	122645	146
1	122804	146
1	122904	146
1	123035	146
1	123181	146
1	123361	146
1	123521	146
1	123671	146
1	123927	146
1	124101	146
1	124232	146
1	124590	146
1	124742	146
1	124906	146
1	125057	146
1	125272	146
1	125472	146
1	125624	146
1	125800	146
1	125945	146
1	126066	146
1	126287	146
1	126370	146
1	126487	146
1	126626	146
1	126844	146
1	126961	146
1	127299	146
1	127398	146
1	127776	146
1	127891	146
1	128009	146
1	128143	146
1	128316	146
1	128588	146
1	128724	146
1	128944	146
1	129026	146
1	129217	146
1	129383	146
1	129725	146
1	129849	146
1	129989	146
1	130138	146
1	130322	146
1	130488	146
1	130729	146
1	131020	146
1	131161	146
1	131269	146
1	131591	146
1	131737	146
1	131885	146
1	131999	146
1	132200	146
1	132354	146
1	132449	146
1	132676	146
