chr	center	width
1	184	159
1	397	122
1	655	156
1	862	153
1	1247	138
1	1450	119
1	1747	103
1	1958	152
1	2084	137
1	2234	155
1	2413	145
1	2525	123
1	2647	123
1	2731	110
1	3241	138
1	3503	125
1	3749	128
1	3885	118
1	3996	156
1	4214	150
1	4449	158
1	4664	151
1	4844	153
1	5185	150
1	5326	117
1	5476	139
1	5576	123
1	5737	159
1	6002	133
1	6156	154
1	6286	159
1	6473	134
1	6631	145
1	6802	151
1	6948	152
1	7073	129
1	7317	109
1	7437	138
1	7588	158
1	7739	122
1	7947	141
1	8062	143
1	8332	138
1	8499	137
1	8629	123
1	8803	115
1	8926	132
1	9028	145
1	9244	140
1	9483	127
1	9588	125
1	9695	147
1	10031	137
1	10324	124
1	10489	137
1	10613	150
1	10782	126
1	10959	117
1	11143	128
1	11277	153
1	11440	146
1	11648	141
1	11845	152
1	12038	157
1	12227	129
1	12530	151
1	12682	149
1	12854	136
1	13066	136
1	13752	140
1	13920	146
1	14119	146
1	14275	160
1	14415	123
1	14576	111
1	14807	153
1	15025	133
1	15162	154
1	15299	138
1	15481	148
1	15747	126
1	15937	122
1	16112	156
1	16300	138
1	16545	125
1	16773	143
1	16912	159
1	17129	146
1	17327	159
1	17541	158
1	17794	155
1	18108	134
1	18211	122
1	18369	138
1	18524	147
1	18642	118
1	18742	144
1	18883	143
1	19064	144
1	19240	156
1	19464	119
1	19646	144
1	19762	142
1	19972	107
1	20062	114
1	20231	137
1	20400	137
1	20555	129
1	20891	157
1	21074	138
1	21183	128
1	21280	132
1	21394	147
1	21549	139
1	21763	136
1	22196	114
1	22342	134
1	22641	126
1	22809	139
1	22943	125
1	23133	138
1	23342	120
1	23441	145
1	23611	121
1	23726	140
1	23945	141
1	24089	142
1	24226	132
1	24378	160
1	24759	128
1	24933	133
1	25077	136
1	25213	135
1	25352	127
1	25605	149
1	25891	107
1	25984	121
1	26090	108
1	26233	136
1	26442	135
1	26698	147
1	26839	141
1	26998	116
1	27175	125
1	27432	106
1	27765	132
1	27901	133
1	28068	156
1	28237	141
1	28441	101
1	28540	137
1	28842	122
1	28953	118
1	29101	107
1	29198	117
1	29305	112
1	29401	105
1	29574	137
1	29699	159
1	29811	130
1	30295	150
1	30521	155
1	30722	140
1	30943	104
1	31187	143
1	31292	134
1	31532	134
1	31630	142
1	31986	147
1	32362	120
1	32468	157
1	32837	133
1	32992	140
1	33115	120
1	33279	133
1	33382	117
1	33484	104
1	33710	157
1	33873	128
1	34021	133
1	34119	135
1	34321	116
1	34527	122
1	34765	118
1	35036	150
1	35189	139
1	35314	144
1	35472	159
1	35610	143
1	35749	121
1	36023	118
1	36150	152
1	36323	135
1	36432	144
1	36556	149
1	36669	158
1	36863	137
1	37147	138
1	37316	143
1	37462	147
1	37620	100
1	37832	150
1	38072	140
1	38269	137
1	38372	104
1	38585	139
1	38741	130
1	38917	156
1	39069	150
1	39292	140
1	39501	136
1	39651	138
1	39787	106
1	40020	141
1	40137	141
1	40326	115
1	40582	160
1	40694	145
1	40890	134
1	41046	149
1	41232	114
1	41389	144
1	41519	159
1	41694	151
1	42034	132
1	42229	149
1	42345	147
1	42544	101
1	42638	102
1	42890	127
1	43025	154
1	43248	156
1	43421	116
1	43572	117
1	43684	119
1	43993	157
1	44259	110
1	44366	116
1	44453	127
1	44562	123
1	44672	147
1	44940	151
1	45220	116
1	45330	134
1	45548	127
1	45818	147
1	46057	128
1	46359	148
1	46525	132
1	46670	150
1	46823	117
1	47365	149
1	47908	129
1	48035	160
1	48191	129
1	48437	116
