Chr	Center	Size
1	873	148
1	1552	139
1	2402	137
1	2674	148
1	2827	153
1	3029	157
1	3314	125
1	3431	148
1	3538	147
1	3793	151
1	4015	149
1	4126	147
1	4330	147
1	4805	147
1	5171	150
1	5327	158
1	5624	138
1	5801	134
1	5937	147
1	6104	154
1	6467	147
1	6800	142
1	6936	147
1	7242	137
1	7417	160
1	7575	147
1	7782	125
1	8062	147
1	8190	152
1	8349	160
1	8537	154
1	8690	122
1	8870	147
1	8972	130
1	9085	147
1	9219	124
1	9325	147
1	9453	140
1	9609	145
1	9756	131
1	10478	147
1	10581	134
1	10752	147
1	10958	156
1	11687	158
1	12897	151
1	13228	147
1	13378	147
1	13522	134
1	14086	147
1	14275	128
1	14486	147
1	14656	147
1	14823	137
1	14964	147
1	15156	147
1	15399	147
1	15962	147
1	16083	147
1	16627	136
1	17607	130
1	17726	147
1	17878	140
1	18222	135
1	18373	147
1	18585	147
1	18713	143
1	18855	147
1	18968	160
1	19408	147
1	19804	147
1	19944	157
1	20261	147
1	21401	159
1	21758	150
1	22273	121
1	22557	140
1	22730	159
1	23077	147
1	23192	142
1	24536	147
1	25478	147
1	27242	159
1	27425	122
1	27763	127
1	27923	153
1	28238	126
1	28345	147
1	28492	147
1	28796	147
1	28941	144
1	29117	147
1	29236	147
1	29340	124
1	29559	131
1	29708	147
1	30212	127
1	30480	133
1	30706	147
1	30938	147
1	31579	147
1	31905	128
1	32229	128
1	32340	155
1	32493	147
1	32908	145
1	33194	157
1	33352	147
1	33553	147
1	34017	147
1	34358	147
1	34579	147
1	34694	147
1	34828	140
1	35039	147
1	35189	156
1	35416	153
1	35558	121
1	35680	147
1	35873	135
1	35984	147
1	36155	130
1	36325	147
1	36589	157
1	36761	147
1	36903	159
1	37077	147
1	37447	160
1	37626	159
1	37780	140
1	37939	155
1	38119	143
1	38543	147
1	38653	147
1	38810	154
1	38964	147
1	39258	137
1	39422	147
1	39593	155
1	39741	153
1	40039	159
1	40174	124
1	40291	147
1	40397	131
1	40713	148
1	40978	132
1	41158	145
1	41308	140
1	41466	147
1	41611	158
1	41762	158
1	42091	147
1	42210	147
1	42571	147
1	42681	147
1	42930	131
1	43117	147
1	43279	159
1	43483	143
1	43804	158
1	44007	120
1	44170	147
1	44275	147
1	44456	151
1	44653	148
1	44978	147
1	45169	160
1	45977	147
1	46144	159
1	46901	156
1	47038	157
1	47186	125
1	47320	147
1	47429	155
1	47606	147
1	47752	120
1	47874	147
1	48028	147
1	48600	151
1	48733	147
1	48929	148
1	49058	147
1	49204	147
1	49374	145
1	49538	147
1	49710	135
1	49968	146
1	50181	141
1	50395	147
1	50834	150
1	51024	152
1	51216	146
1	51349	154
1	51930	147
1	52085	135
1	52272	147
1	52424	152
1	52579	145
1	52727	147
1	52881	147
1	53069	147
1	53220	133
1	53386	147
1	53613	145
1	53737	147
1	53879	153
1	54134	147
1	54253	159
1	54420	158
1	54632	160
1	54774	149
1	55077	158
1	55227	139
1	55824	147
1	55981	147
1	56122	145
1	56309	123
1	56510	147
1	56664	147
1	56823	150
1	57022	147
1	57183	140
1	57361	147
1	57558	155
1	57738	147
1	58293	147
1	58418	147
1	58689	160
1	58882	147
1	59073	145
1	59590	151
1	59781	147
1	60055	123
1	60239	157
1	60411	133
1	60704	147
1	61016	144
1	61476	136
1	61647	134
1	62171	157
1	62335	146
1	62820	147
1	63006	147
1	63160	147
1	63483	125
1	63603	147
1	63786	147
1	63928	156
1	64097	131
1	64242	147
1	64373	147
1	64522	147
1	64690	147
1	64845	137
1	65012	127
1	65212	131
1	65335	147
1	65513	146
1	65683	144
1	65851	147
1	66021	151
1	66213	131
1	66391	129
1	66497	131
1	66846	123
1	67164	145
1	67334	147
1	67506	147
1	67660	147
1	67785	147
1	68041	147
1	68794	147
1	69214	144
1	69531	142
1	69983	125
1	70148	147
1	70300	123
1	70499	137
1	70657	144
1	70872	125
1	70977	147
1	71083	147
1	71680	159
1	71827	158
1	72346	147
1	72491	147
1	72619	145
1	73116	122
1	73300	147
1	73659	153
1	73816	147
1	74051	145
1	74219	153
1	74390	123
1	74571	147
1	74763	156
1	74931	147
1	75069	147
1	75203	142
1	75322	137
1	75517	132
1	75725	133
1	75831	130
1	76162	147
1	76439	147
1	76600	142
1	76783	147
1	76898	150
1	77071	156
1	77181	147
1	77397	147
1	77591	127
1	77877	147
1	78104	123
1	78263	127
1	78369	137
1	78631	138
1	78801	145
1	78932	147
1	79076	138
1	79241	147
1	79382	128
1	79733	135
1	79895	147
1	80054	147
1	80247	147
1	80400	140
1	80540	147
1	80767	147
1	80945	147
1	81046	133
1	81341	147
1	81475	147
1	81654	142
1	81831	147
1	81998	160
1	82206	156
1	82347	153
1	82523	126
1	82765	147
1	82984	147
1	83114	147
1	83250	147
1	83620	142
1	83838	147
1	83950	154
1	84276	134
1	84456	159
1	84719	159
1	85050	143
1	85248	147
1	85356	147
1	85483	147
1	85738	129
1	85940	147
1	86069	138
1	86221	134
1	86380	154
1	86502	147
1	86622	147
1	86735	147
1	86851	155
1	87046	123
1	87313	155
1	87484	147
1	87626	160
1	87808	147
1	87917	132
1	88059	147
1	88178	135
1	88322	147
1	88505	147
1	88763	122
1	88881	147
1	89022	136
1	89178	144
1	89469	136
1	89585	139
1	89733	147
1	89855	136
1	90070	147
1	90266	147
1	90388	147
1	90731	140
1	90882	147
1	91004	129
1	91172	151
1	91323	147
1	91508	147
1	91662	147
1	91789	156
1	91955	154
1	92140	147
1	92311	159
1	92477	147
1	92904	147
1	93063	121
1	93256	147
1	93405	147
1	93863	144
1	94011	132
1	94104	122
1	94258	158
1	94450	147
1	94668	155
1	94775	147
1	94990	140
1	95144	136
1	95361	127
1	95483	147
1	95718	137
1	95911	147
1	96082	147
1	96254	149
1	96448	135
1	96577	146
1	96711	150
1	96858	147
1	97061	131
1	97208	157
1	97322	147
1	97439	127
1	97586	147
1	97704	147
1	98067	122
1	98246	139
1	98470	147
1	98620	154
1	98762	128
1	98938	136
1	99099	124
1	99418	136
1	99559	147
1	99750	133
1	100203	144
1	100504	141
1	100658	147
1	100821	157
1	100973	154
1	101128	139
1	101392	147
1	101605	157
1	101792	130
1	102004	145
1	102142	158
1	102285	147
1	102441	153
1	102664	142
