Chr	Center	Size
1	3041	140
1	3411	140
1	3571	140
1	3771	140
1	3981	140
1	4106	140
1	4216	140
1	4321	140
1	4556	140
1	4681	140
1	4841	140
1	4961	140
1	5181	140
1	5321	140
1	5481	140
1	5791	140
1	5951	140
1	6113	140
1	6301	140
1	6436	140
1	6613	140
1	6774	140
1	6966	140
1	7301	140
1	7441	140
1	7621	140
1	7776	140
1	7991	140
1	8141	140
1	8321	140
1	8451	140
1	8636	140
1	8841	140
1	9191	140
1	9431	140
1	9601	140
1	9741	140
1	9961	140
1	10256	140
1	10431	140
1	10581	140
1	10751	140
1	10931	140
1	11106	140
1	11352	140
1	28176	140
1	28321	140
1	28491	140
1	28811	140
1	28951	140
1	29151	140
1	29361	140
1	29526	140
1	29731	140
1	29901	140
1	30101	140
1	30203	140
1	30311	140
1	30416	140
1	30561	140
1	30716	140
1	30896	140
1	31191	140
1	31351	140
1	31551	140
1	31781	140
1	32361	140
1	32531	140
1	32731	140
1	32901	140
1	33101	140
1	33221	140
1	33401	140
1	33561	140
1	33721	140
1	33881	140
1	34041	140
1	34191	140
1	34361	140
1	34481	140
1	34681	140
1	34861	140
1	35031	140
1	35256	140
1	35431	140
1	35581	140
1	35721	140
1	35861	140
1	36011	140
1	36171	140
1	36301	140
1	36591	140
1	36771	140
1	36901	140
1	37076	140
1	37441	140
1	37631	140
1	37786	140
1	37961	140
1	38131	140
1	38291	140
1	38473	140
1	38631	140
1	38791	140
1	38971	140
1	39251	140
1	39426	140
1	39586	140
1	39751	140
1	39916	140
1	40061	140
1	40241	140
1	40396	140
1	40601	140
1	40701	140
1	40826	140
1	40936	140
1	41146	140
1	41421	140
1	41576	140
1	41731	140
1	41853	140
1	42221	140
1	42391	140
1	42576	140
1	42921	140
1	43106	140
1	43281	140
1	43451	140
1	43611	140
1	43816	140
1	43966	140
1	44141	140
1	44301	140
1	44481	140
1	44661	140
1	44841	140
1	44981	140
1	45181	140
1	45361	140
1	45511	140
1	45641	140
1	45791	140
1	45981	140
1	46136	140
1	46301	140
1	46481	140
1	46631	140
1	46781	140
1	46941	140
1	47161	140
1	47431	140
1	47706	140
1	47901	140
1	48071	140
1	48241	140
1	48456	140
1	48571	140
1	48781	140
1	48926	140
1	49071	140
1	49251	140
1	49361	140
1	49546	140
1	49711	140
1	49921	140
1	50091	140
1	50201	140
1	50371	140
1	50491	140
1	50681	140
1	50821	140
1	51031	140
1	51196	140
1	51381	140
1	51571	140
1	51941	140
1	52131	140
1	52261	140
1	52446	140
1	52606	140
1	52881	140
1	53051	140
1	53221	140
1	53411	140
1	53586	140
1	53711	140
1	53911	140
1	54041	140
1	54256	140
1	54421	140
1	54591	140
1	54741	140
1	54971	140
1	55131	140
1	55311	140
1	55451	140
1	55631	140
1	55821	140
1	56006	140
1	56141	140
1	56321	140
1	56501	140
1	56661	140
1	56821	140
1	57036	140
1	57191	140
1	57341	140
1	57551	140
1	57731	140
1	57921	140
1	58081	140
1	58271	140
1	58461	140
1	58691	140
1	58871	140
1	59091	140
1	59251	140
1	59411	140
1	59591	140
1	59751	140
1	59921	140
1	60066	140
1	60246	140
1	60411	140
1	60561	140
1	60711	140
1	60866	140
1	61021	140
1	61321	140
1	61511	140
1	61661	140
1	61831	140
1	61971	140
1	62171	140
1	62351	140
