Chr	Center	Size
1	171	140
1	391	140
1	651	140
1	891	140
1	1251	140
1	1461	140
1	1761	140
1	2081	140
1	2221	140
1	2421	140
1	2531	140
1	2711	140
1	3231	140
1	3521	140
1	3871	140
1	4031	140
1	4231	140
1	4461	140
1	4671	140
1	4861	140
1	5191	140
1	5351	140
1	5481	140
1	5591	140
1	5771	140
1	5991	140
1	6181	140
1	6471	140
1	6631	140
1	6801	140
1	6951	140
1	7061	140
1	7441	140
1	7601	140
1	7761	140
1	7941	140
1	8081	140
1	8351	140
1	8541	140
1	8791	140
1	9041	140
1	9231	140
1	9571	140
1	10001	140
1	10341	140
1	10591	140
1	10781	140
1	10951	140
1	11131	140
1	11281	140
1	11411	140
1	11641	140
1	11821	140
1	12051	140
1	12241	140
1	12631	140
1	12851	140
1	13091	140
1	13771	140
1	13881	140
1	14141	140
1	14291	140
1	14411	140
1	14561	140
1	14821	140
1	15011	140
1	15171	140
1	15291	140
1	15461	140
1	15731	140
1	15931	140
1	16111	140
1	16301	140
1	16531	140
1	16811	140
1	16921	140
1	17131	140
1	17351	140
1	17561	140
1	17791	140
1	18141	140
1	18361	140
1	18751	140
1	19081	140
1	19231	140
1	19481	140
1	19751	140
1	20081	140
1	20231	140
1	20381	140
1	20481	140
1	20581	140
1	20921	140
1	21091	140
1	21191	140
1	21401	140
1	21551	140
1	21741	140
1	22221	140
1	22641	140
1	22821	140
1	22941	140
1	23141	140
1	23311	140
1	23411	140
1	23661	140
1	23961	140
1	24091	140
1	24211	140
1	24361	140
1	24761	140
1	24971	140
1	25121	140
1	25251	140
1	25361	140
1	25601	140
1	25961	140
1	26081	140
1	26211	140
1	26451	140
1	26661	140
1	26861	140
1	27011	140
1	27201	140
1	27461	140
1	27751	140
1	27911	140
1	28081	140
1	28271	140
1	28431	140
1	28531	140
1	28911	140
1	29091	140
1	29201	140
1	29321	140
1	29591	140
1	29691	140
1	29811	140
1	30311	140
1	30491	140
1	30721	140
1	30971	140
1	31181	140
1	31301	140
1	31551	140
1	31981	140
1	32401	140
1	32961	140
1	33081	140
1	33181	140
1	33321	140
1	33421	140
1	33601	140
1	33821	140
1	34051	140
1	34331	140
1	34521	140
1	34751	140
1	35021	140
1	35241	140
1	35481	140
1	35721	140
1	36041	140
1	36151	140
1	36411	140
1	36561	140
1	36691	140
1	36821	140
1	37171	140
1	37301	140
1	37461	140
1	37631	140
1	37831	140
1	38071	140
1	38291	140
1	38611	140
1	38751	140
1	38941	140
1	39061	140
1	39301	140
1	39481	140
1	39661	140
1	39771	140
1	40011	140
1	40131	140
1	40331	140
1	40581	140
1	40711	140
