Chr	Center
1	226
1	873
1	1556
1	1824
1	2551
1	2676
1	2824
1	3035
1	3432
1	3584
1	3792
1	3952
1	4334
1	4837
1	5170
1	5339
1	5624
1	5804
1	6151
1	6692
1	6802
1	7242
1	7352
1	7438
1	7575
1	7672
1	7830
1	8085
1	8360
1	8537
1	8703
1	8799
1	8875
1	8980
1	9118
1	9225
1	9455
1	9610
1	9763
1	10477
1	10576
1	10754
1	10967
1	11670
1	12758
1	12900
1	13033
1	13229
1	13451
1	13609
1	13947
1	14088
1	14333
1	14486
1	14656
1	14820
1	15086
1	15401
1	15539
1	15686
1	15760
1	15963
1	16084
1	16255
1	16422
1	16645
1	16856
1	17615
1	17691
1	17881
1	18217
1	18346
1	18441
1	18569
1	18715
1	18961
1	19064
1	19548
1	19940
1	20148
1	20261
1	20498
1	20674
1	21408
1	21543
1	21756
1	22153
1	22263
1	22557
1	22735
1	22955
1	23192
1	23469
1	23589
1	24362
1	24501
1	24878
1	27126
1	27236
1	27437
1	27755
1	27921
1	28066
1	28228
1	28345
1	28511
1	28795
1	28942
1	29154
1	29350
1	29552
1	29715
1	30166
1	30392
1	30486
1	30708
1	30939
1	31060
1	31810
1	31913
1	32238
1	32337
1	32909
1	33195
1	33350
1	33517
1	33920
1	34359
1	34698
1	34829
1	35040
1	35243
1	35416
1	35546
1	35680
1	35877
1	35984
1	36164
1	36360
1	36505
1	36584
1	36776
1	36914
1	37076
1	37326
1	37444
1	37635
1	37780
1	37936
1	38121
1	38447
1	38634
1	38807
1	38981
1	39234
1	39428
1	39598
1	39740
1	40046
1	40185
1	40313
1	40423
1	40713
1	40982
1	41161
1	41305
1	41461
1	41573
1	41759
1	42224
1	42375
1	42573
1	42680
1	42959
1	43121
1	43300
1	43484
1	43744
1	44005
1	44160
1	44275
1	44455
1	44655
1	44975
1	45175
1	45350
1	45699
1	45977
1	46139
1	46330
1	46488
1	46793
1	46909
1	47032
1	47245
1	47322
1	47434
1	47607
1	47783
1	47933
1	48094
1	48459
1	48601
1	48929
1	49206
1	49281
1	49537
1	49698
1	49968
1	50045
1	50181
1	50394
1	50834
1	51024
1	51216
1	51346
1	51421
1	51607
1	51910
1	52082
1	52255
1	52339
1	52422
1	52578
1	52881
1	53036
1	53214
1	53386
1	53528
1	53885
1	54259
1	54415
1	54561
1	54639
1	54778
1	55140
1	55229
1	55322
1	55463
1	55804
1	55971
1	56122
1	56298
1	56513
1	56664
1	56825
1	57022
1	57185
1	57362
1	57562
1	57740
1	58069
1	58251
1	58418
1	58682
1	59075
1	59591
1	59781
1	60048
1	60252
1	60421
1	60707
1	61016
1	61520
1	61643
1	61819
1	62001
1	62176
1	62335
1	62506
1	62822
1	63005
1	63162
1	63498
1	63608
1	63927
1	64118
1	64243
1	64376
1	64540
1	64690
1	64847
1	65003
1	65082
1	65205
1	65335
1	65513
1	65684
1	65849
1	66114
1	66206
1	66327
1	66490
1	66660
1	66858
1	67211
1	67304
1	67432
1	67507
1	67674
1	67814
1	68040
1	68191
1	68713
1	69215
1	69533
1	69904
1	69999
1	70149
1	70314
1	70507
1	70657
1	70976
1	71063
1	71366
1	71675
1	71823
1	72201
1	72496
1	72620
1	72720
1	73244
1	73491
1	73663
1	74048
1	74217
1	74434
1	74571
1	74768
1	74969
1	75069
1	75202
1	75323
1	75525
1	75720
1	75837
1	76164
1	76440
1	76600
1	76770
1	76899
1	77074
1	77328
1	77582
1	77875
1	78111
1	78234
1	78537
1	78635
1	78713
1	78800
1	78932
1	79122
1	79264
1	79427
1	79741
1	79895
1	80053
1	80247
1	80401
1	80542
1	80769
1	80985
1	81204
1	81286
1	81366
1	81477
1	81654
1	81764
1	81993
1	82206
1	82428
1	82504
1	82767
1	83097
1	83215
1	83620
1	83948
1	84112
1	84296
1	84456
1	84725
1	84918
1	85052
1	85209
1	85432
1	85748
1	85898
1	86069
1	86227
1	86376
1	86522
1	86692
1	86847
1	87035
1	87307
1	87435
1	87620
1	87911
1	88049
1	88174
1	88327
1	88526
1	88777
1	89046
1	89178
1	89469
1	89585
1	89756
1	90080
1	90205
1	90388
1	90467
1	90598
1	90797
1	90879
1	91013
1	91171
1	91322
1	91507
1	91659
1	91781
1	91967
1	92084
1	92245
1	92474
1	92905
1	93051
1	93861
1	94024
1	94163
1	94253
1	94436
1	94668
1	94775
1	94905
1	94991
1	95145
1	95352
1	95509
1	95724
1	95899
1	96081
1	96255
1	96457
1	96577
1	96712
1	96859
1	96957
1	97071
1	97215
1	97449
1	97535
1	97666
1	97781
1	97873
1	98102
1	98247
