Start	End
110672	110819
162271	162418
32775	32922
37766	37913
124151	124298
129751	129898
140633	140780
113284	113431
97537	97684
172606	172753
31240	31387
8267	8414
45258	45405
29352	29499
146792	146939
120042	120189
52024	52171
26014	26161
108835	108982
166020	166167
170029	170176
104190	104337
105546	105693
49097	49244
99184	99331
8868	9015
94219	94366
140005	140152
164029	164176
130682	130829
59688	59835
152768	152915
174720	174867
24149	24296
175135	175282
144898	145045
120175	120322
40830	40977
64465	64612
133985	134132
37562	37709
52671	52818
141646	141793
112837	112984
117272	117419
156439	156586
126577	126724
26606	26753
55212	55359
31570	31717
163649	163796
76138	76285
23358	23505
113508	113655
15397	15544
20321	20468
179347	179494
62559	62706
172913	173060
140756	140903
181405	181552
27678	27825
22726	22873
181157	181304
81787	81934
59477	59624
39010	39157
32302	32449
95025	95172
132120	132267
163166	163313
133686	133833
62221	62368
56646	56793
123817	123964
83683	83830
165834	165981
128971	129118
88500	88647
158164	158311
58276	58423
70724	70871
91967	92114
160910	161057
35943	36090
94484	94631
149136	149283
119705	119852
148143	148290
121438	121585
23873	24020
98421	98568
71723	71870
33648	33795
76865	77012
26936	27083
145185	145332
20974	21121
100926	101073
99992	100139
16216	16363
11975	12122
37072	37219
87614	87761
173252	173399
64723	64870
117691	117838
51171	51318
98640	98787
58918	59065
10409	10556
77744	77891
106290	106437
174439	174586
77507	77654
111450	111597
48623	48770
61962	62109
138952	139099
91672	91819
165714	165861
57112	57259
116252	116399
151439	151586
138791	138938
57919	58066
69626	69773
36623	36770
123627	123774
148820	148967
63504	63651
49884	50031
81162	81309
52423	52570
149850	149997
85412	85559
109942	110089
45488	45635
102653	102800
24878	25025
177313	177460
89496	89643
7865	8012
176577	176724
105020	105167
111252	111399
145643	145790
122723	122870
73500	73647
139505	139652
70621	70768
17480	17627
103495	103642
151026	151173
100284	100431
27995	28142
145056	145203
116486	116633
136898	137045
2168	2315
180746	180893
15232	15379
85217	85364
175938	176085
167573	167720
143312	143459
77860	78007
6545	6692
12163	12310
93598	93745
31919	32066
55765	55912
10889	11036
28463	28610
112243	112390
84530	84677
159710	159857
177613	177760
87801	87948
98898	99045
67287	67434
91828	91975
123461	123608
38002	38149
70168	70315
136321	136468
68520	68667
9419	9566
146548	146695
48761	48908
114192	114339
74852	74999
42935	43082
11348	11495
101682	101829
807	954
173837	173984
100599	100746
66421	66568
6211	6358
118526	118673
127355	127502
161685	161832
121747	121894
150874	151021
152513	152660
39927	40074
178464	178611
106606	106753
132622	132769
8720	8867
164817	164964
167887	168034
4773	4920
44342	44489
60407	60554
86194	86341
17711	17858
110405	110552
128656	128803
92650	92797
114569	114716
134741	134888
7246	7393
143590	143737
176272	176419
38676	38823
139186	139333
63028	63175
150660	150807
176919	177066
123135	123282
147595	147742
138244	138391
46600	46747
65541	65688
153080	153227
150094	150241
34509	34656
117490	117637
34401	34548
147408	147555
85655	85802
113023	113170
40260	40407
110292	110439
171468	171615
131077	131224
20176	20323
45767	45914
58073	58220
34249	34396
17260	17407
7367	7514
105375	105522
160430	160577
43917	44064
171602	171749
177829	177976
101029	101176
150333	150480
78869	79016
28179	28326
18009	18156
75368	75515
67076	67223
183532	183679
103325	103472
117161	117308
171312	171459
18998	19145
1179	1326
179698	179845
180366	180513
157172	157319
144343	144490
150226	150373
105790	105937
131819	131966
151980	152127
62089	62236
19691	19838
133102	133249
176780	176927
7524	7671
23241	23388
166165	166312
27376	27523
183403	183550
115612	115759
64141	64288
141753	141900
86035	86182
46447	46594
168312	168459
5686	5833
84283	84430
23545	23692
149482	149629
56200	56347
124836	124983
78731	78878
180181	180328
33297	33444
94369	94516
4381	4528
69378	69525
66940	67087
105957	106104
100389	100536
48119	48266
159204	159351
21676	21823
50355	50502
148655	148802
60605	60752
65435	65582
42158	42305
137094	137241
65267	65414
52299	52446
2024	2171
8977	9124
67663	67810
122310	122457
151612	151759
59048	59195
119168	119315
111791	111938
75563	75710
104916	105063
175266	175413
18581	18728
41958	42105
22132	22279
7999	8146
3664	3811
26159	26306
2702	2849
14745	14892
41442	41589
30625	30772
68853	69000
171956	172103
18807	18954
106792	106939
125388	125535
109741	109888
130419	130566
74653	74800
40964	41111
177443	177590
178838	178985
136556	136703
84703	84850
168979	169126
139316	139463
130069	130216
71957	72104
102875	103022
156915	157062
179531	179678
83896	84043
153827	153974
53211	53358
5924	6071
115996	116143
165173	165320
169560	169707
130939	131086
122835	122982
125202	125349
118062	118209
129639	129786
18128	18275
88801	88948
11568	11715
93710	93857
127808	127955
104065	104212
73930	74077
62822	62969
132284	132431
50550	50697
66735	66882
42813	42960
183670	183817
147804	147951
88271	88418
61495	61642
79697	79844
158896	159043
83472	83619
156589	156736
165454	165601
153411	153558
107192	107339
51921	52068
180637	180784
99644	99791
175643	175790
78201	78348
67494	67641
72401	72548
99021	99168
16702	16849
160122	160269
157789	157936
99854	100001
79077	79224
91025	91172
89718	89865
167089	167236
88681	88828
122130	122277
70839	70986
80671	80818
40620	40767
65760	65907
111106	111253
157292	157439
59949	60096
111	258
109169	109316
168438	168585
49219	49366
181694	181841
35405	35552
101844	101991
96816	96963
29627	29774
54042	54189
43618	43765
9936	10083
133222	133369
107513	107660
169276	169423
117874	118021
126745	126892
6718	6865
21331	21478
139654	139801
33789	33936
44877	45024
85014	85161
137341	137488
22269	22416
42292	42439
121616	121763
182325	182472
4156	4303
71598	71745
159445	159592
181852	181999
132786	132933
179127	179274
72661	72808
138611	138758
134205	134352
74158	74305
10540	10687
57735	57882
35666	35813
60842	60989
113723	113870
137818	137965
25800	25947
14052	14199
79939	80086
22862	23009
10718	10865
155090	155237
26378	26525
110549	110696
161835	161982
20490	20637
59306	59453
142261	142408
114061	114208
120316	120463
114864	115011
101485	101632
29122	29269
145313	145460
95383	95530
52135	52282
56840	56987
179847	179994
120613	120760
12784	12931
174181	174328
82154	82301
29741	29888
19168	19315
105218	105365
50773	50920
77318	77465
121907	122054
67794	67941
54809	54956
50667	50814
169733	169880
116123	116270
78520	78667
119849	119996
177115	177262
139795	139942
141133	141280
37394	37541
90617	90764
128827	128974
13823	13970
103659	103806
144660	144807
164977	165124
44598	44745
24687	24834
104620	104767
67931	68078
78415	78562
172403	172550
26782	26929
98276	98423
89174	89321
53448	53595
50252	50399
102999	103146
69825	69972
166764	166911
43351	43498
11064	11211
146201	146348
144536	144683
65073	65220
108160	108307
61171	61318
162670	162817
38521	38668
54646	54793
95621	95768
111644	111791
49416	49563
126300	126447
50885	51032
162501	162648
58585	58732
35109	35256
86964	87111
177943	178090
161998	162145
34956	35103
131509	131656
143846	143993
77164	77311
19397	19544
12450	12597
60212	60359
83065	83212
55525	55672
135578	135725
134597	134744
22566	22713
75028	75175
51432	51579
108594	108741
141267	141414
57430	57577
86603	86750
87149	87296
115422	115569
30422	30569
64021	64168
118238	118385
12579	12726
135239	135386
116951	117098
102524	102671
3950	4097
138013	138160
93183	93330
45135	45282
29015	29162
164173	164320
8560	8707
137688	137835
167308	167455
162980	163127
34690	34837
61300	61447
4599	4746
181001	181148
161204	161351
39228	39375
178094	178241
129141	129288
50137	50284
168655	168802
154589	154736
150517	150664
1911	2058
109303	109450
63609	63756
49666	49813
14940	15087
156256	156403
21183	21330
51757	51904
54205	54352
104478	104625
61000	61147
103119	103266
53609	53756
182737	182884
9638	9785
42474	42621
87431	87578
2332	2479
172244	172391
322	469
36084	36231
27830	27977
110970	111117
138498	138645
23653	23800
174313	174460
127242	127389
24289	24436
35547	35694
115106	115253
93833	93980
85520	85667
584	731
155667	155814
51558	51705
28894	29041
149717	149864
75141	75288
5516	5663
64863	65010
91297	91444
63331	63478
129874	130021
182498	182645
163859	164006
35226	35373
48490	48637
147044	147191
168822	168969
66062	66209
154132	154279
18287	18434
87908	88055
45996	46143
93046	93193
40061	40208
68649	68796
164370	164517
65893	66040
135012	135159
80843	80990
120496	120643
36379	36526
17047	17194
131691	131838
147267	147414
11203	11350
120799	120946
11762	11909
90144	90291
164569	164716
90880	91027
129290	129437
29244	29391
33541	33688
142759	142906
70001	70148
170393	170540
158731	158878
131924	132071
86350	86497
76988	77135
132938	133085
80058	80205
66563	66710
69497	69644
157025	157172
2590	2737
99384	99531
151288	151435
47954	48101
159026	159173
92545	92692
176419	176566
97747	97894
72068	72215
47296	47443
158463	158610
3165	3312
15671	15818
115758	115905
148029	148176
72541	72688
3441	3588
61733	61880
155421	155568
111981	112128
181985	182132
174840	174987
124019	124166
1693	1840
38303	38450
94800	94947
63741	63888
125536	125683
5260	5407
101173	101320
56013	56160
137551	137698
170270	170417
137225	137372
182863	183010
133393	133540
158017	158164
121153	121300
102074	102221
86751	86898
116768	116915
73322	73469
52799	52946
157397	157544
14345	14492
68383	68530
165586	165733
30888	31035
170632	170779
142938	143085
140379	140526
128074	128221
84150	84297
57545	57692
30235	30382
53859	54006
166511	166658
97322	97469
86477	86624
28346	28493
181273	181420
71294	71441
171009	171156
41624	41771
81577	81724
71184	71331
41171	41318
126193	126340
29501	29648
128502	128649
78068	78215
15849	15996
173076	173223
64585	64732
55057	55204
128228	128375
82775	82922
25155	25302
33191	33338
102223	102370
91479	91626
74264	74411
