Chr	Center	Size
1	181	156	
1	393.5	143	
1	655	158	
1	882	136	
1	1250	160	
1	1468	150	
1	1765.5	151	
1	1966.5	147	
1	2095	156	
1	2253.5	147	
1	2408	146	
1	2551	126	
1	2663.5	139	
1	2773.5	159	
1	3230	148	
1	3511	146	
1	3738	148	
1	3873	138	
1	4018.5	159	
1	4231	156	
1	4466.5	147	
1	4680.5	143	
1	4848	136	
1	5167.5	151	
1	5329	152	
1	5465.5	141	
1	5590.5	147	
1	5755	132	
1	6002	158	
1	6152	156	
1	6280.5	147	
1	6478.5	155	
1	6621	156	
1	6797	142	
1	6939.5	157	
1	7061	138	
1	7318.5	135	
1	7431.5	143	
1	7600.5	143	
1	7754.5	145	
1	7943.5	147	
1	8069.5	149	
1	8331	154	
1	8525	148	
1	8639	140	
1	8782.5	131	
1	8944.5	137	
1	9054.5	137	
1	9250	134	
1	9485	134	
1	9602	140	
1	9708.5	137	
1	10013.5	151	
1	10337.5	135	
1	10499.5	147	
1	10616	138	
1	10792.5	159	
1	10959	156	
1	11149.5	157	
1	11281	152	
1	11414	140	
1	11626.5	147	
1	11857.5	147	
1	12035	140	
1	12237.5	135	
1	12526	156	
1	12652	160	
1	12861.5	143	
1	13071	154	
1	13761	158	
1	13893	136	
1	14135.5	145	
1	14263.5	133	
1	14411	144	
1	14572	142	
1	14825	152	
1	15011.5	137	
1	15163	152	
1	15274.5	147	
1	15474	146	
1	15752.5	127	
1	15923	150	
1	16106.5	143	
1	16286.5	141	
1	16527.5	157	
1	16769.5	157	
1	16900	132	
1	17122	146	
1	17336.5	129	
1	17566	154	
1	17789	144	
1	18081.5	155	
1	18203.5	147	
1	18355	132	
1	18524	150	
1	18653	132	
1	18758.5	141	
1	18876	148	
1	19086.5	147	
1	19239.5	153	
1	19480.5	147	
1	19656.5	157	
1	19772.5	139	
1	20011	130	
1	20126.5	133	
1	20252.5	141	
1	20396	150	
1	20564.5	135	
1	20903.5	147	
1	21148.5	137	
1	21253.5	147	
1	21440.5	147	
1	21554.5	155	
1	21746	158	
1	22201	140	
1	22345	144	
1	22637.5	143	
1	22798	132	
1	22937.5	153	
1	23134	158	
1	23312	148	
1	23429.5	149	
1	23609	140	
1	23738.5	139	
1	23947	150	
1	24100.5	125	
1	24225.5	137	
1	24345.5	147	
1	24759.5	153	
1	24964.5	147	
1	25097.5	147	
1	25225.5	135	
1	25371.5	133	
1	25596	144	
1	25878.5	143	
1	25994.5	147	
1	26099.5	147	
1	26231.5	143	
1	26453	160	
1	26679.5	157	
1	26859.5	147	
1	27016.5	139	
1	27197.5	141	
1	27445	142	
1	27752.5	145	
1	27900.5	147	
1	28069.5	127	
1	28245.5	149	
1	28426.5	143	
1	28537.5	147	
1	28842.5	145	
1	28961	148	
1	29080.5	143	
1	29203	152	
1	29315	138	
1	29430	136	
1	29577.5	159	
1	29699	144	
1	29803.5	145	
1	30308	144	
1	30492	144	
1	30694.5	147	
1	30962	146	
1	31180.5	147	
1	31311	150	
1	31516.5	125	
1	31645.5	135	
1	31998.5	141	
1	32475.5	155	
1	32845	158	
1	32982	144	
1	33108	150	
1	33261	146	
1	33374	144	
1	33509	150	
1	33617.5	151	
1	33858.5	147	
1	34012	142	
1	34119.5	147	
1	34324.5	157	
1	34476.5	159	
1	34594.5	143	
1	34763	146	
1	35033	138	
1	35180	158	
1	35305.5	147	
1	35487	146	
1	35630.5	149	
1	36010.5	139	
1	36163	146	
1	36318.5	143	
1	36455.5	147	
1	36565.5	151	
1	36700.5	145	
1	36845	144	
1	37132.5	133	
1	37299.5	137	
1	37478.5	147	
1	37627	148	
1	37839	156	
1	38075.5	157	
1	38265	126	
1	38377	154	
1	38599.5	147	
1	38756	148	
1	38934.5	145	
1	39080.5	141	
1	39295.5	153	
1	39501.5	147	
1	39645.5	129	
1	39790.5	135	
1	40000.5	151	
1	40136	154	
1	40331	148	
1	40560	158	
1	40686.5	151	
1	40905.5	145	
1	41036	140	
1	41250	152	
1	41377	154	
1	41517	134	
1	41700.5	143	
1	42038.5	147	
1	42230.5	127	
1	42364	146	
1	42496.5	147	
1	42651.5	143	
1	42893	130	
1	43006	154	
1	43257	150	
1	43430.5	137	
1	43564.5	133	
1	43696	146	
1	43992.5	143	
1	44155.5	147	
1	44305	136	
1	44428.5	127	
1	44549	130	
1	44673	156	
1	44941.5	147	
1	45211	146	
1	45339	136	
1	45552.5	159	
1	45839.5	149	
1	46055.5	147	
1	46361.5	159	
1	46514.5	147	
1	46673	144	
1	46826	150	
1	47359	136	
1	47908	146	
1	48037	140	
1	48193	150	
1	48453	158	
1	48567.5	141	
1	48701	156	
1	48851.5	147	
1	49006.5	139	
1	49279.5	143	
1	49485.5	153	
1	49725.5	147	
1	49954.5	141	
1	50215.5	141	
1	50331	150	
1	50636.5	129	
1	50745	136	
1	50850.5	121	
1	50961.5	151	
1	51258	134	
1	51508	144	
1	51641.5	141	
1	51827.5	147	
1	52000	134	
1	52204	146	
1	52369.5	135	
1	52500	158	
1	52749	146	
1	52877.5	147	
1	53123.5	139	
1	53279	138	
1	53402	160	
1	53536.5	135	
1	53674.5	149	
1	53931	150	
1	54115	146	
1	54278	150	
1	54455.5	129	
1	54696.5	151	
1	54892	150	
1	55138.5	145	
1	55282.5	141	
1	55413	152	
1	55602	150	
1	55840.5	149	
1	56092	150	
1	56275.5	145	
1	56574.5	147	
1	56715	140	
1	56919	154	
1	57195	152	
1	57357.5	129	
1	57494.5	147	
1	57627	160	
1	57807.5	149	
1	57984	144	
1	58131	160	
1	58345	160	
1	58654	152	
1	58849	128	
1	59004	154	
1	59121.5	137	
1	59379.5	155	
1	59550.5	151	
1	59772.5	147	
1	60033.5	127	
1	60287.5	141	
1	60501.5	147	
1	60692.5	147	
1	60795.5	135	
1	60916.5	147	
1	61094	124	
1	61246.5	159	
1	61373.5	149	
1	61573.5	159	
1	61793.5	157	
1	62038	148	
1	62161.5	145	
1	62303	150	
1	62632	148	
1	62894	142	
1	63081.5	147	
1	63217.5	149	
1	63408.5	153	
1	63581	154	
1	63812.5	147	
1	64083.5	147	
1	64213	140	
1	64371	156	
1	64549.5	147	
1	64677	122	
1	64798.5	159	
1	64948	144	
1	65139.5	147	
1	65347	146	
1	65498.5	151	
1	65622	150	
1	65830	146	
1	65967	152	
1	66117	152	
1	66327.5	147	
1	66501	130	
1	66625	150	
1	66784.5	123	
1	67009	152	
1	67158	152	
1	67363	150	
1	67571.5	157	
1	67739.5	155	
1	67875.5	151	
1	68005.5	135	
1	68316	150	
1	68470.5	149	
1	68597.5	131	
1	68722.5	145	
1	68923	142	
1	69126	156	
1	69339	136	
1	69457	136	
1	69578	124	
1	69704	160	
1	69909.5	123	
1	70076	158	
1	70246	152	
1	70425.5	149	
1	70799.5	151	
1	70913	156	
1	71037.5	135	
1	71255.5	137	
1	71394.5	147	
1	71555.5	149	
1	71668.5	137	
1	71798.5	157	
1	72000.5	151	
1	72152	158	
1	72333.5	147	
1	72480	158	
1	72615.5	147	
1	72736.5	147	
1	72866.5	149	
1	73040	150	
1	73210.5	145	
1	73401	140	
1	73582	152	
1	73753.5	147	
1	74005	142	
1	74221.5	151	
1	74330	148	
1	74587	144	
1	74729	160	
1	74932.5	123	
1	75107	148	
1	75217.5	145	
1	75442.5	157	
1	75636	136	
1	75806.5	143	
1	76090.5	131	
1	76209.5	141	
1	76449.5	149	
1	76692	136	
1	76936.5	139	
1	77061	148	
1	77234.5	145	
1	77395	138	
1	77585	148	
1	77717	148	
1	77939	160	
1	78140.5	149	
1	78282.5	147	
1	78451.5	147	
1	78590	154	
1	78801	146	
1	78946.5	133	
1	79152	140	
1	79259.5	129	
1	79539	160	
1	79784	142	
1	80016.5	147	
1	80128.5	155	
1	80285	136	
1	80747.5	129	
1	80903.5	147	
1	81236	142	
1	81651	144	
1	81853.5	157	
1	82112.5	143	
1	82243.5	147	
1	82359.5	147	
1	82504	142	
1	82637	120	
1	82855.5	157	
1	83139.5	137	
1	83377.5	143	
1	83545	144	
1	83759.5	127	
1	83963.5	155	
1	84092	148	
1	84223	146	
1	84372.5	131	
1	84607	160	
1	84783	158	
1	84929	146	
1	85088.5	137	
1	85294	130	
1	85484.5	147	
1	85599.5	143	
1	85725	146	
1	85844	122	
1	85952.5	141	
1	86107	136	
1	86260.5	137	
1	86413.5	157	
1	86545.5	157	
1	86677.5	143	
1	86828.5	139	
1	87042	152	
1	87224.5	147	
1	87354	138	
1	87502.5	131	
1	87695.5	147	
1	87882.5	153	
1	87989	148	
1	88171	154	
1	88345	146	
1	88567.5	147	
1	88756.5	143	
1	88869.5	143	
1	88998	156	
1	89135.5	143	
1	89252	130	
1	89402.5	147	
1	89566	142	
1	89784.5	147	
1	89990.5	147	
1	90218	158	
1	90439.5	151	
1	90659.5	147	
1	90789.5	147	
1	90958	136	
1	91118.5	147	
1	91245.5	149	
1	91367	154	
1	91556.5	137	
1	91736	156	
1	91903	120	
1	92042	152	
1	92504	154	
1	92728	158	
1	92974	144	
1	93114	150	
1	93261	146	
1	93487.5	155	
1	93647.5	147	
1	93782.5	147	
1	93910	146	
1	94296	120	
1	94448	134	
1	94558	144	
1	94902.5	147	
1	95103.5	147	
1	95456.5	141	
1	95571.5	157	
1	95803.5	153	
1	95968.5	153	
1	96091.5	145	
1	96253.5	155	
1	96544.5	157	
1	96890	146	
1	97138	146	
1	97386	146	
1	97615.5	131	
1	97816.5	147	
1	98014	144	
1	98359	124	
1	98497	136	
1	98739	156	
1	98852.5	145	
1	98979	144	
1	99104.5	141	
1	99258.5	153	
1	99462.5	151	
1	99719	156	
1	99928.5	151	
1	100068	135	
1	100358	140	
1	100460	147	
1	100676	139	
1	100858	151	
1	101100	145	
1	101243	146	
1	101548	147	
1	101758	141	
1	101923	152	
1	102142	147	
1	102293	146	
1	102591	148	
1	102722	155	
1	102949	150	
1	103078	147	
1	103193	140	
1	103420	125	
1	103569	138	
1	103730	135	
1	104138	159	
1	104262	145	
1	104538	129	
1	104685	156	
1	104978	157	
1	105102	141	
1	105295	160	
1	105453	146	
1	105630	151	
1	105864	139	
1	106026	149	
1	106252	147	
1	106368	147	
1	106686	140	
1	106865	138	
1	107135	148	
1	107272	135	
1	107594	145	
1	107808	146	
1	108259	120	
1	108463	154	
1	108667	144	
1	108905	134	
1	109248	120	
1	109380	143	
1	109620	145	
1	109810	151	
1	110017	150	
1	110364	149	
1	110478	158	
1	110616	147	
1	110745	138	
1	111042	147	
1	111178	129	
1	111332	147	
1	111515	148	
1	111717	148	
1	111858	147	
1	112034	150	
1	112164	155	
1	112310	157	
1	112438	146	
1	112789	146	
1	112914	160	
1	113095	148	
1	113198	139	
1	113358	147	
1	113576	139	
1	113788	150	
1	114138	135	
1	114271	148	
1	114644	141	
1	114944	147	
1	115184	147	
1	115365	130	
1	115496	153	
1	115694	157	
1	115834	132	
1	115952	147	
1	116084	140	
1	116200	143	
1	116318	147	
1	116562	159	
1	116674	156	
1	116847	144	
1	117031	130	
1	117238	159	
1	117352	127	
1	117558	152	
1	117760	147	
1	117954	137	
1	118136	154	
1	118310	151	
1	118453	144	
1	118606	131	
1	118790	136	
1	118902	147	
1	119022	149	
1	119252	129	
1	119582	148	
1	119786	147	
1	119926	143	
1	120110	147	
1	120269	122	
1	120392	144	
1	120558	147	
1	120688	159	
1	120861	144	
1	121134	145	
1	121342	124	
1	121510	125	
1	121695	154	
1	121822	149	
1	121976	141	
1	122204	155	
1	122386	147	
1	122508	153	
1	122650	147	
1	122784	143	
1	122912	151	
1	123060	148	
1	123217	148	
1	123346	157	
1	123536	143	
1	123702	151	
1	123888	141	
1	124099	128	
1	124234	131	
1	124610	147	
1	124786	139	
1	124916	141	
1	125057	124	
1	125278	149	
1	125462	140	
1	125618	133	
1	125820	140	
1	125940	147	
1	126068	156	
1	126270	155	
1	126491	140	
1	126655	152	
1	126822	131	
1	126956	139	
1	127329	146	
1	127451	122	
1	127772	149	
1	127882	143	
1	128002	155	
1	128172	147	
1	128311	120	
1	128576	139	
1	128727	144	
1	128906	133	
1	129040	147	
1	129212	145	
1	129366	139	
1	129724	134	
1	129818	131	
1	129941	142	
1	130132	147	
1	130309	132	
1	130498	147	
1	130749	146	
1	131010	149	
1	131172	135	
1	131292	130	
1	131588	141	
1	131764	147	
1	131868	147	
1	132008	147	
1	132186	131	
1	132364	127	
1	132479	140	
1	132692	146	
1	132858	147	
1	133009	160	
1	133182	147	
1	133290	147	
1	133472	141	
1	133647	160	
1	133764	157	
1	134048	145	
1	134166	147	
1	134286	151	
1	134414	159	
1	134675	158	
1	134816	150	
1	135086	136	
1	135308	143	
1	135536	147	
1	135655	154	
1	135884	153	
1	136230	139	
1	136400	150	
1	136621	140	
1	136858	149	
1	136972	140	
1	137170	152	
1	137304	159	
1	137418	159	
1	137619	150	
1	137759	156	
1	137899	144	
1	138089	138	
1	138318	133	
1	138580	135	
1	138680	135	
1	138892	147	
1	139026	151	
1	139262	147	
1	139384	143	
1	139580	147	
1	139726	149	
1	139859	140	
1	140082	131	
1	140313	156	
1	140452	131	
1	140708	151	
1	140854	136	
1	141044	145	
1	141204	145	
1	141346	139	
1	141598	156	
1	141730	147	
1	141852	147	
1	142044	153	
1	142334	138	
1	142536	133	
1	142671	140	
1	142835	142	
1	143014	145	
1	143391	148	
1	143654	143	
1	143790	149	
1	143920	148	
1	144423	150	
1	144626	147	
1	144741	154	
1	144978	147	
1	145144	147	
1	145262	140	
1	145386	135	
1	145586	159	
1	145712	147	
1	145976	130	
1	146154	135	
1	146260	147	
1	146492	153	
1	146618	147	
1	146861	142	
1	147112	151	
1	147338	146	
1	147490	147	
1	147680	145	
1	147877	158	
1	148106	147	
1	148217	148	
1	148390	150	
1	148734	141	
1	148902	147	
1	149204	154	
1	149413	120	
1	149562	134	
1	149784	145	
1	149938	160	
1	150176	136	
1	150300	147	
1	150416	129	
1	150606	133	
1	150734	156	
1	150968	147	
1	151098	147	
1	151236	157	
1	151357	136	
1	151512	151	
1	151693	140	
1	151848	129	
1	152048	152	
1	152168	153	
1	152384	151	
1	152590	147	
1	152836	143	
1	153158	146	
1	153317	154	
1	153490	135	
1	153648	147	
1	153894	158	
1	154024	121	
1	154212	138	
1	154350	144	
1	154541	140	
1	154652	156	
1	154929	156	
1	155060	147	
1	155166	154	
1	155320	147	
1	155490	133	
1	155733	146	
1	155894	143	
1	156121	150	
1	156344	147	
1	156513	156	
1	156670	147	
1	156988	145	
1	157114	147	
1	157243	146	
1	157470	151	
1	157685	158	
1	157863	148	
1	158093	156	
1	158237	154	
1	158534	147	
1	158665	158	
1	158804	145	
1	158964	147	
1	159102	137	
1	159296	147	
1	159406	147	
1	159508	147	
1	159666	131	
1	159776	136	
1	159902	132	
1	160050	147	
1	160194	139	
1	160516	155	
1	160827	154	
1	160978	135	
1	161278	139	
1	161402	149	
1	161555	134	
1	161758	158	
1	161920	128	
1	162065	148	
1	162354	147	
1	162573	142	
1	162750	158	
1	163042	147	
1	163235	148	
1	163426	149	
1	163622	147	
1	163752	147	
1	163940	133	
1	164101	160	
1	164243	136	
1	164442	148	
1	164641	154	
1	164788	141	
1	164902	147	
1	165046	149	
1	165240	147	
1	165513	150	
1	165669	158	
1	165787	150	
1	165928	147	
1	166097	136	
1	166242	153	
1	166614	147	
1	166732	125	
1	166842	144	
1	167064	146	
1	167168	137	
1	167270	139	
1	167379	148	
1	167640	147	
1	167960	141	
1	168156	147	
1	168388	153	
1	168513	152	
1	168692	141	
1	168898	147	
1	169059	124	
1	169345	140	
1	169510	135	
1	169626	150	
1	169805	134	
1	170098	158	
1	170212	147	
1	170359	148	
1	170474	157	
1	170700	155	
1	170858	153	
1	171096	134	
1	171386	147	
1	171545	146	
1	171681	132	
1	171894	147	
1	172031	144	
1	172316	148	
1	172460	147	
1	172670	141	
1	172819	148	
1	172983	148	
1	173149	146	
1	173338	147	
1	173680	137	
1	173911	152	
1	174252	141	
1	174386	153	
1	174524	147	
1	174664	138	
1	174784	142	
1	174914	153	
1	175183	132	
1	175340	147	
1	175562	145	
1	175718	150	
1	176008	159	
1	176342	148	
1	176492	153	
1	176646	148	
1	176850	155	
1	176988	142	
1	177194	147	
1	177388	137	
1	177518	145	
1	177704	136	
1	177907	154	
1	178014	150	
1	178170	154	
1	178544	143	
1	178659	156	
1	178914	143	
1	179204	155	
1	179430	157	
1	179611	158	
1	179778	149	
1	179922	144	
1	180082	141	
1	180258	135	
1	180538	155	
1	180710	141	
1	180820	131	
1	181079	140	
1	181206	123	
1	181354	159	
1	181484	123	
1	181759	148	
1	181908	129	
1	182054	151	
1	182397	158	
1	182612	145	
1	182810	148	
1	182942	141	
1	183248	144	
1	183464	147	
1	183612	145	
1	183753	158	
