Chr	Center	Size
1	141	147
1	323	147
1	446	148
1	563	147
1	781	147
1	904	148
1	1021	147
1	1248	129
1	1362	148
1	1479	147
1	1706	129
1	1820	148
1	1937	147
1	2117	123
1	2278	148
1	2395	147
1	2613	147
1	2736	148
1	2853	147
1	3021	147
1	3194	148
1	3311	147
1	3491	123
1	3652	148
1	3769	147
1	3987	147
1	4110	148
1	4227	147
1	4395	147
1	4568	148
1	4685	147
1	4912	129
1	5026	148
1	5179	147
1	5366	155
1	5605	131
1	5713	147
1	7671	129
1	7878	147
1	8092	147
1	8541	120
1	8751	133
1	12399	147
1	12543	147
1	13594	123
1	15247	123
1	18775	129
1	22202	130
1	22569	147
1	22824	136
1	23038	133
1	23658	147
1	23832	120
1	26516	147
1	26648	159
1	27999	138
1	28784	147
1	28937	147
1	30407	123
1	30645	143
1	31244	139
1	31596	159
1	31722	151
1	32349	147
1	32951	147
1	33994	147
1	34116	147
1	35037	136
1	35916	147
1	36131	147
1	36248	147
1	36475	129
1	36876	159
1	37009	147
1	37247	147
1	37525	147
1	37631	147
1	37789	154
1	37958	154
1	38233	125
1	39427	120
1	39593	151
1	39784	150
1	41464	147
1	41782	131
1	41911	147
1	42650	147
1	43243	147
1	44386	138
1	45267	122
1	46123	147
1	46721	138
1	47225	147
1	47442	145
1	47604	147
1	47732	128
1	47951	152
1	48091	122
1	48197	148
1	48303	147
1	48413	154
1	48588	156
1	48741	147
1	48984	128
1	49152	127
1	49318	147
1	49542	147
1	49706	137
1	49867	154
1	49991	147
1	50107	153
1	50249	147
1	50367	151
1	50583	146
1	50698	147
1	50874	160
1	51078	146
1	51230	147
1	51415	147
1	51602	152
1	51709	153
1	51933	131
1	52091	147
1	52242	147
1	54264	147
1	54906	155
1	55375	156
1	55872	147
1	56560	147
1	59068	136
1	59278	137
1	59392	150
1	59789	160
1	60516	128
1	60639	128
1	62094	147
1	64304	160
1	64453	150
1	64571	132
1	64682	140
1	64889	147
1	66992	147
1	68113	125
1	68409	142
1	69003	147
1	70274	149
1	70480	126
1	70838	155
1	72749	124
1	72856	147
1	73042	147
1	73652	155
1	73823	147
1	74132	147
1	75771	147
1	76885	122
1	77914	130
1	78094	131
1	78210	147
1	79086	147
1	79222	132
1	79724	147
1	79896	159
1	80233	143
1	80797	158
1	84093	132
1	85808	149
1	86445	147
1	86575	159
1	86742	158
1	88774	153
1	89749	158
1	90298	147
1	90766	147
1	90898	141
1	91402	143
1	91526	145
1	91692	147
1	91865	147
1	92232	147
1	93156	148
1	93258	120
1	93445	128
1	93552	151
1	94301	147
1	95112	147
1	95487	131
1	95609	134
1	95769	138
1	96007	137
1	96961	130
1	97759	151
1	98463	143
1	98745	148
1	99481	159
1	100288	157
1	101320	147
1	102539	147
1	102659	125
1	102827	147
1	103036	141
1	103182	132
1	103405	147
1	103586	147
1	104791	147
1	105714	147
1	105881	126
1	106104	120
1	106215	142
1	106614	154
1	107386	140
1	108279	147
1	108789	159
1	109273	147
1	109776	143
1	110127	139
1	110516	147
1	110796	155
1	111068	147
1	112029	129
1	112721	147
1	112827	122
1	113498	147
1	114823	146
1	115572	142
1	115756	151
1	115871	135
1	116010	147
1	117620	147
1	117761	152
1	118284	128
1	118540	141
1	118734	147
1	119021	136
1	119343	147
1	119494	147
1	119932	147
1	120731	147
1	120895	147
1	121706	122
1	121882	144
1	123147	147
1	123272	147
1	124327	147
1	124588	160
1	124709	147
1	124840	147
1	125112	136
1	126415	147
1	127542	147
1	127725	147
1	128613	147
1	129127	145
1	130464	147
1	130613	147
1	130850	147
1	132656	147
1	132867	149
1	133248	127
1	133476	147
1	133597	147
1	133704	147
1	136812	147
1	137140	147
1	137640	151
1	138777	134
1	138942	132
1	139125	150
1	139327	147
1	139646	155
1	140206	136
1	140440	125
1	140749	121
1	140911	147
1	141323	145
1	141453	147
1	142034	125
1	142252	147
1	142431	135
1	143045	157
1	143472	122
1	143604	147
1	143714	147
1	143838	147
1	144016	147
1	144602	155
1	144787	123
1	144918	150
1	145079	147
1	145212	131
1	145447	128
1	145555	147
1	145689	137
1	146205	147
1	146322	150
1	146535	147
1	146647	138
1	147028	145
1	147157	144
1	147532	136
1	147807	152
1	147913	147
1	148146	127
1	148382	120
1	148646	155
1	148884	147
1	148994	149
1	149100	126
1	149678	156
1	149815	147
1	149994	153
1	150984	158
1	151159	125
1	151338	134
1	151470	145
1	151622	145
1	151842	147
1	151968	147
1	152236	134
1	152415	148
1	152530	152
1	152669	147
1	152796	133
1	153050	147
1	153257	126
1	153903	147
1	154102	139
1	154269	137
1	154436	147
1	154648	142
1	154826	140
1	155014	145
1	155200	147
1	155498	147
1	155623	147
1	155767	147
1	155924	155
1	156481	160
1	156879	147
1	157058	150
1	157213	147
1	157342	147
1	157465	135
1	157978	149
1	158359	147
1	158551	147
1	169610	147
1	173651	156
1	178145	156
1	178902	145
1	181516	125
1	184057	137
1	184909	147
1	185205	147
1	185600	147
1	186953	151
1	187544	152
1	188059	152
1	190696	147
1	191232	147
1	191514	132
1	191736	147
1	191954	147
1	192936	134
1	193455	139
1	193716	125
1	194286	157
1	194610	147
1	194802	147
1	195440	141
1	195591	147
1	195767	135
1	196417	147
1	196647	151
1	197209	139
1	197797	137
1	198254	144
1	198792	147
1	198915	147
1	199138	132
1	199994	151
1	200788	147
1	201398	151
1	202192	139
1	203901	144
1	204081	147
1	204291	147
1	204419	156
1	204584	156
1	205093	132
1	205335	143
1	205439	147
1	205959	147
1	206978	126
1	207522	122
1	207662	147
1	207861	147
1	208051	129
1	208146	135
1	208289	129
1	208411	147
1	208629	147
1	208737	147
1	208882	134
1	209347	147
1	209716	147
1	209834	137
1	210663	128
1	211867	147
1	212448	147
1	212770	156
1	212899	145
1	213155	135
1	213326	126
1	213912	149
1	214141	147
1	214344	130
1	214711	147
1	215238	133
1	215577	147
1	216179	150
1	216456	147
1	217040	122
1	217373	147
1	218153	129
1	218416	150
1	218717	147
1	219484	160
1	219988	147
1	220822	149
1	223144	137
1	225027	135
1	225458	132
1	226026	147
1	226365	158
1	227799	149
1	228422	140
1	229932	126
1	231005	147
1	232797	147
1	232931	128
1	236795	147
1	237829	127
1	238281	151
1	238523	136
1	238870	147
1	239013	147
1	240737	135
1	241925	147
1	242067	127
1	243535	140
1	248252	147
1	249050	147
1	250480	147
1	251283	147
1	251408	133
1	251556	159
1	251759	147
1	251898	147
1	252083	140
1	252220	157
1	252546	147
1	252713	144
1	252899	122
1	253048	120
1	253638	124
1	254123	147
1	255525	143
1	256022	133
1	256226	147
1	256390	159
1	256687	147
1	256961	148
1	257439	130
1	257736	160
1	258196	127
1	258840	134
1	259770	144
1	262440	122
1	262630	152
1	263585	147
1	263713	133
1	264119	159
1	264346	124
1	264498	154
1	265196	133
1	265722	126
1	266183	143
1	266726	149
1	267286	147
1	267543	147
1	268921	141
1	269274	147
1	269689	147
1	269838	147
1	270061	155
1	270191	151
1	270514	147
1	270688	139
1	271057	124
1	271265	143
1	272113	147
1	272335	121
1	272677	147
1	273058	147
1	273230	149
1	273390	157
1	273563	140
1	274036	153
1	274231	147
1	274915	132
1	275187	149
1	275398	145
1	275835	146
1	276024	147
1	276170	147
1	276479	147
1	276905	150
1	277081	125
1	277715	132
1	277918	151
1	278028	147
1	278174	143
1	278750	128
1	278956	147
1	279368	134
1	279801	147
1	280254	147
1	280366	147
1	280506	132
1	281465	160
1	282287	147
1	282404	143
1	282535	132
1	282721	150
1	282913	146
1	283083	147
1	284109	142
1	284263	147
1	284871	147
1	285016	136
1	285123	125
1	285441	154
1	285666	147
1	286418	147
1	287022	133
1	287514	147
1	287757	147
1	287878	135
1	287987	152
1	288140	142
1	288273	144
1	288864	141
1	289690	132
1	290307	147
1	290469	140
1	290914	147
1	291377	146
1	291720	157
1	291893	147
1	292535	146
1	292721	142
1	292982	148
1	293478	147
1	293630	148
1	293875	147
1	294004	155
1	294167	159
1	294339	124
1	294508	132
1	295434	151
1	295574	147
1	295682	147
1	295805	147
1	295998	147
1	296190	147
1	296568	148
1	296697	159
1	298031	125
1	298308	146
1	299219	147
1	299330	121
1	300966	140
1	302447	159
1	303649	147
1	306402	152
1	306823	147
1	307145	126
1	307468	132
1	308791	147
1	308900	144
1	309839	147
1	311622	147
1	312403	133
1	313113	133
1	313430	147
1	314067	148
1	315149	147
1	317450	147
1	318070	147
1	318605	149
1	318795	147
1	318979	134
1	319180	147
1	321185	147
1	321438	147
1	321555	147
1	321741	151
1	322875	157
1	323332	147
1	323700	135
1	323927	147
1	324542	131
1	325010	151
1	325724	151
1	326845	150
1	327338	123
1	327693	147
1	327837	146
1	328147	134
1	328600	147
1	329280	128
1	329451	147
1	329601	147
1	330147	150
1	330369	145
1	331306	136
1	331820	147
1	332108	128
1	332924	132
1	333188	131
1	333357	127
1	333801	142
1	334254	130
1	335043	147
1	335529	147
1	335699	156
1	335892	148
1	336099	147
1	336414	143
1	336608	147
1	336726	136
1	336961	147
1	337233	147
1	337715	141
1	338781	147
1	340236	132
1	342015	148
1	342718	121
1	343346	147
1	344105	147
1	344226	147
1	344661	147
1	344796	133
1	344904	136
1	345062	130
1	345255	129
1	346110	138
1	347243	146
1	348065	147
1	348251	147
1	349418	124
1	349583	148
1	350419	147
1	350726	147
1	351010	124
1	351369	147
1	351741	127
1	352323	154
1	352672	139
1	352789	150
1	353053	160
1	353165	135
1	354092	147
1	354243	147
1	354410	136
1	354666	147
1	354888	137
1	355011	159
1	355130	147
1	355279	147
1	355940	137
1	356450	152
1	356773	131
1	357425	130
1	357550	150
1	357743	147
1	358288	159
1	358397	133
1	358592	122
1	358874	133
1	359050	156
1	359311	147
1	366269	147
1	366489	158
1	367647	147
1	368779	158
1	369538	130
1	370021	133
1	370521	147
1	371162	147
1	371972	133
1	372288	125
1	372875	140
1	373468	138
1	376210	147
1	376858	147
1	377545	134
1	378070	147
1	378200	156
1	379792	134
1	380114	147
1	380223	142
1	381328	154
1	381723	151
1	382114	137
1	383535	148
1	383661	147
1	383800	147
1	384565	133
1	385297	147
1	385857	147
1	385984	147
1	386534	145
1	387006	147
1	387772	152
1	388991	155
1	389826	147
1	390171	133
1	390644	126
1	390992	120
1	391788	126
1	391943	146
1	392509	157
1	393147	160
1	393777	143
1	394376	145
1	394508	135
1	395118	147
1	395435	147
1	395738	124
1	395910	147
1	396197	147
1	396334	155
1	396495	140
1	396773	134
1	397425	143
1	397761	160
1	398030	133
1	398141	131
1	398281	147
1	398423	123
1	398744	131
1	399394	154
1	399538	125
1	399876	147
1	400084	147
1	400430	130
1	400651	147
1	401363	135
1	401698	131
1	402187	136
1	403142	145
1	403312	154
1	403826	147
1	404599	132
1	404757	145
1	404908	145
1	405285	147
1	405399	147
1	405682	147
1	405900	147
1	406356	122
1	406495	147
1	406733	147
1	407207	148
1	407730	125
1	408414	151
1	409510	144
1	409737	147
1	410003	147
1	410462	147
1	410926	147
1	411199	139
1	411410	153
1	411991	145
1	413477	146
1	413593	144
1	414047	144
1	414206	147
1	414451	149
1	414595	120
1	414780	131
1	415207	120
1	415413	160
1	415582	147
1	415715	154
1	416059	152
1	416263	147
1	416393	153
1	416602	158
1	416788	149
1	416990	155
1	417195	142
1	417430	160
1	417652	147
1	418260	147
1	418721	147
1	418844	155
1	419016	134
1	419137	148
1	419335	132
1	419491	147
1	420068	148
1	420222	147
1	420421	125
1	420579	140
1	421086	124
1	421343	147
