chr	Center	Size
11	171	140
11	456	140
11	626	140
11	2271	140
11	2416	140
11	2886	140
11	3066	140
11	3361	140
11	3551	140
11	3886	140
11	4071	140
11	4326	140
11	4521	140
11	4621	140
11	4861	140
11	5081	140
11	5201	140
11	5381	140
11	5521	140
11	5691	140
11	6121	140
11	6291	140
11	6481	140
11	6631	140
11	6791	140
11	7001	140
11	7181	140
11	7391	140
11	8171	140
11	8451	140
11	8621	140
11	8981	140
11	9181	140
11	9311	140
11	9491	140
11	9681	140
11	9821	140
11	10021	140
11	10211	140
11	10401	140
11	10571	140
11	10701	140
11	10866	140
11	11036	140
11	11171	140
11	11531	140
11	11771	140
11	11901	140
11	12101	140
11	12271	140
11	12456	140
11	12611	140
11	12901	140
11	13011	140
11	13211	140
11	13351	140
11	13681	140
11	13811	140
11	14131	140
11	14341	140
11	14591	140
11	14731	140
11	14921	140
11	15061	140
11	15231	140
11	15371	140
11	15531	140
11	15716	140
11	15821	140
11	15988	140
11	16561	140
11	16956	140
11	17276	140
11	17401	140
11	17601	140
11	17756	140
11	17896	140
11	18091	140
11	18261	140
11	18476	140
11	18641	140
11	18981	140
11	19106	140
11	19346	140
11	19531	140
11	19641	140
11	19821	140
11	20041	140
11	20251	140
11	20608	140
11	20816	140
11	21006	140
11	21221	140
11	21366	140
11	21741	140
11	21971	140
11	22131	140
11	22301	140
11	22466	140
11	22641	140
11	22821	140
11	22961	140
11	23061	140
11	23311	140
11	23481	140
11	23691	140
11	23821	140
11	23996	140
11	24111	140
11	24351	140
11	24521	140
11	24726	140
11	24866	140
11	25191	140
11	25351	140
11	25671	140
11	25841	140
11	25981	140
11	26161	140
11	26731	140
11	26841	140
11	26961	140
11	27131	140
11	27371	140
11	27471	140
11	27701	140
11	27831	140
11	28076	140
11	28331	140
11	28601	140
11	28711	140
11	28816	140
11	28961	140
11	29061	140
11	29281	140
11	29411	140
11	29861	140
11	30066	140
11	30201	140
11	30381	140
11	30546	140
11	30681	140
11	30911	140
11	31101	140
11	31391	140
11	31581	140
11	31721	140
11	31991	140
11	32141	140
11	32261	140
11	32561	140
11	32736	140
11	32856	140
11	32961	140
11	33091	140
11	33306	140
11	33491	140
11	33601	140
11	33761	140
11	33936	140
11	34091	140
11	34261	140
11	34391	140
11	34561	140
11	34691	140
11	34861	140
11	35011	140
11	35208	140
11	35321	140
11	35461	140
11	35791	140
11	35961	140
11	36081	140
11	36271	140
11	36371	140
11	36556	140
11	36811	140
11	36921	140
11	37066	140
11	37231	140
11	37371	140
11	37511	140
11	37686	140
11	37861	140
11	38021	140
11	38201	140
11	38441	140
11	38551	140
11	38701	140
11	38871	140
11	39176	140
11	39346	140
11	39511	140
11	39661	140
11	39833	140
11	39961	140
11	40101	140
11	40271	140
11	40411	140
11	40641	140
11	40811	140
11	40966	140
11	41121	140
11	41281	140
11	41571	140
11	41851	140
11	42151	140
11	42328	140
11	42451	140
11	42556	140
11	42756	140
11	42941	140
11	43061	140
11	43221	140
11	43441	140
11	43581	140
11	43746	140
11	44061	140
11	44171	140
11	44301	140
11	44521	140
11	44651	140
11	44861	140
11	45021	140
11	45201	140
11	45461	140
11	45628	140
11	45876	140
11	46061	140
11	46211	140
11	46401	140
11	46541	140
11	46781	140
11	46951	140
11	47171	140
11	47331	140
11	47491	140
11	47798	140
11	47916	140
11	48191	140
11	48391	140
11	48521	140
11	48671	140
11	48861	140
11	49061	140
11	49291	140
11	49481	140
11	49611	140
11	49771	140
11	50071	140
11	50241	140
11	50381	140
11	50531	140
11	50721	140
11	51111	140
11	51341	140
11	52041	140
11	52201	140
11	52321	140
11	52571	140
11	52711	140
11	52881	140
11	53271	140
11	53721	140
11	53871	140
11	54031	140
11	54231	140
11	54516	140
11	54681	140
11	54811	140
11	55126	140
11	55291	140
11	55451	140
11	55961	140
11	56171	140
11	56331	140
11	56431	140
11	56531	140
11	56641	140
11	56866	140
11	57131	140
11	57331	140
11	57516	140
11	57621	140
11	57741	140
11	57978	140
11	58091	140
11	58201	140
11	58361	140
11	58571	140
11	58761	140
11	59101	140
11	59241	140
11	59431	140
11	59571	140
11	59781	140
11	59911	140
11	60011	140
11	60231	140
11	60521	140
11	60681	140
11	60881	140
11	61011	140
11	61181	140
11	61281	140
11	61411	140
11	61561	140
11	61886	140
11	62371	140
11	62581	140
11	62691	140
11	62851	140
11	63021	140
11	63171	140
11	63301	140
11	63481	140
11	63776	140
11	63946	140
11	64181	140
11	64306	140
11	64771	140
11	65061	140
11	65251	140
11	65581	140
11	65741	140
11	65951	140
11	66091	140
11	66261	140
11	66541	140
11	66731	140
11	66911	140
11	67051	140
11	67291	140
11	67416	140
11	67701	140
11	67891	140
11	68071	140
11	68216	140
11	69171	140
11	70101	140
11	70291	140
11	70466	140
11	70781	140
11	70936	140
11	71141	140
11	71331	140
11	71661	140
11	71841	140
11	71951	140
11	72056	140
11	72251	140
11	72571	140
11	72681	140
11	72868	140
11	73021	140
11	73151	140
11	73351	140
11	73516	140
11	73691	140
11	73881	140
11	74051	140
11	74211	140
11	74461	140
11	74668	140
11	74891	140
11	75021	140
11	75211	140
11	75391	140
11	75551	140
11	75841	140
11	76196	140
11	76301	140
11	76471	140
11	76611	140
11	76946	140
11	77188	140
11	77381	140
11	77511	140
11	77701	140
11	77821	140
11	77986	140
11	78111	140
11	78331	140
11	78486	140
11	78631	140
11	78921	140
11	79051	140
11	79371	140
11	79708	140
11	79831	140
11	80346	140
11	80821	140
11	80961	140
11	81061	140
11	81221	140
11	81371	140
11	81711	140
11	82001	140
11	82156	140
11	82296	140
11	82601	140
11	82951	140
11	83131	140
11	83288	140
11	83496	140
11	83741	140
11	84066	140
11	84431	140
11	84641	140
11	84781	140
11	84961	140
11	85121	140
11	85461	140
11	85601	140
11	85891	140
11	86101	140
11	86371	140
11	86521	140
11	86751	140
11	86901	140
11	87081	140
11	87231	140
11	87361	140
11	87501	140
11	87681	140
11	87881	140
11	88011	140
11	88251	140
11	88361	140
11	88551	140
11	88756	140
11	89201	140
11	89311	140
11	89496	140
11	89631	140
11	89791	140
11	89971	140
11	90111	140
11	90451	140
11	90591	140
11	90816	140
11	90971	140
11	91136	140
11	91521	140
11	91711	140
11	91841	140
11	92131	140
11	92301	140
11	92461	140
11	92626	140
11	92841	140
11	92991	140
11	93166	140
11	93346	140
11	93581	140
11	93986	140
11	94376	140
11	94561	140
11	94771	140
11	95051	140
11	95241	140
11	95391	140
11	95561	140
11	95741	140
11	95878	140
11	96071	140
11	96251	140
11	96406	140
11	96591	140
11	96831	140
11	96951	140
11	97116	140
11	97381	140
11	97591	140
11	97741	140
11	97946	140
11	98291	140
11	98391	140
11	98631	140
11	98786	140
11	98971	140
11	99356	140
11	99501	140
11	100161	140
11	100381	140
11	100601	140
11	100841	140
11	100961	140
11	101131	140
11	101301	140
11	101453	140
11	101651	140
11	101871	140
11	101981	140
11	102091	140
11	102271	140
11	102451	140
11	102571	140
11	102721	140
11	103051	140
11	103201	140
11	103351	140
11	103521	140
11	103681	140
11	103821	140
11	103961	140
11	104091	140
11	104241	140
11	104371	140
11	104701	140
11	104801	140
11	105021	140
11	105271	140
11	105481	140
11	105671	140
11	105821	140
11	106036	140
11	106191	140
11	106376	140
11	106551	140
11	106711	140
11	106831	140
11	107181	140
11	107301	140
11	107481	140
11	107646	140
11	107811	140
11	107931	140
11	108096	140
11	108271	140
11	108411	140
11	108591	140
11	109321	140
11	109461	140
11	109581	140
11	109971	140
11	110091	140
11	110351	140
11	110531	140
11	110826	140
11	111081	140
11	111391	140
11	111611	140
11	112001	140
11	112201	140
11	112501	140
11	112781	140
11	113086	140
11	113331	140
11	113461	140
11	113606	140
11	114101	140
11	114328	140
11	114471	140
11	114896	140
11	115121	140
11	115326	140
11	115681	140
11	115901	140
11	116091	140
11	116231	140
11	116421	140
11	116556	140
11	116741	140
11	116891	140
11	117048	140
11	117351	140
11	117676	140
11	117966	140
11	118126	140
11	118511	140
11	118771	140
11	118971	140
11	119111	140
11	119281	140
11	119441	140
11	119661	140
11	119771	140
11	119971	140
11	120121	140
11	120251	140
11	120431	140
11	120611	140
11	120801	140
11	120961	140
11	121141	140
11	121316	140
11	121441	140
11	121751	140
11	121956	140
11	122191	140
11	122546	140
11	122671	140
11	122831	140
11	123041	140
11	123201	140
11	123911	140
11	124126	140
11	124281	140
11	124411	140
11	124601	140
11	124791	140
11	124931	140
11	125071	140
11	125306	140
11	125476	140
11	125761	140
11	125946	140
11	126101	140
11	126281	140
11	126571	140
11	126731	140
11	126891	140
11	127021	140
11	127396	140
11	127561	140
11	127721	140
11	128051	140
11	128171	140
11	128381	140
11	128501	140
11	128708	140
11	128971	140
11	129146	140
11	129331	140
11	129501	140
11	129631	140
11	129961	140
11	130161	140
11	130358	140
11	130601	140
11	130761	140
11	130961	140
11	131141	140
11	131388	140
11	131671	140
11	131821	140
11	132001	140
11	132131	140
11	132261	140
11	132441	140
11	132621	140
11	132761	140
11	133081	140
11	133251	140
11	133461	140
11	133956	140
11	134071	140
11	134376	140
11	134571	140
11	134721	140
11	134911	140
11	135151	140
11	135351	140
11	135531	140
11	135661	140
11	135841	140
11	135981	140
11	136341	140
11	136511	140
11	136631	140
11	136751	140
11	137061	140
11	137581	140
11	137771	140
11	138001	140
11	138131	140
11	138331	140
11	138681	140
11	138891	140
11	139116	140
11	139221	140
11	139421	140
11	139571	140
11	139741	140
11	139876	140
11	140031	140
11	140181	140
11	140341	140
11	140521	140
11	140661	140
11	141086	140
11	141451	140
11	141671	140
11	141801	140
11	141941	140
11	142111	140
11	142241	140
11	142771	140
11	143096	140
11	143231	140
11	143721	140
11	143941	140
11	144281	140
11	144451	140
11	144666	140
11	145046	140
11	145201	140
11	145381	140
11	145501	140
11	145611	140
11	145906	140
11	146101	140
11	146311	140
11	146461	140
11	146651	140
11	146841	140
11	147251	140
11	147451	140
11	147771	140
11	147906	140
11	148101	140
11	148226	140
11	148391	140
11	148586	140
11	148761	140
11	148921	140
11	149311	140
11	149501	140
11	149651	140
11	149821	140
11	149941	140
11	150061	140
11	150301	140
11	150451	140
11	150611	140
11	150751	140
11	150971	140
11	151361	140
11	151801	140
11	152091	140
11	152271	140
11	152411	140
11	152791	140
11	153296	140
11	153441	140
11	153661	140
11	153791	140
11	153931	140
11	154101	140
11	154261	140
11	154431	140
11	154641	140
11	154811	140
11	155001	140
11	155171	140
11	155561	140
11	155731	140
11	155881	140
11	156061	140
11	156216	140
11	156411	140
11	156578	140
11	156771	140
11	157081	140
11	157211	140
11	157341	140
11	157511	140
11	157621	140
11	157741	140
11	157921	140
11	158061	140
11	158171	140
11	158456	140
11	158651	140
11	158781	140
11	158971	140
11	159366	140
11	159631	140
11	159876	140
11	160031	140
11	160201	140
11	160361	140
11	160511	140
11	160656	140
11	160821	140
11	160971	140
11	161151	140
11	161321	140
11	161726	140
11	161918	140
11	162036	140
11	162236	140
11	162396	140
11	162556	140
11	162871	140
11	163211	140
11	163336	140
11	163671	140
11	163873	140
11	164071	140
11	164281	140
11	164521	140
11	165021	140
11	165131	140
11	165311	140
11	165491	140
11	165691	140
11	165816	140
11	165991	140
11	166201	140
11	166441	140
11	166621	140
11	166771	140
11	166993	140
11	167151	140
11	167301	140
11	167426	140
11	167641	140
11	167861	140
11	167981	140
11	168141	140
11	168301	140
11	168471	140
11	168621	140
11	168811	140
11	168971	140
11	169101	140
11	169251	140
11	169426	140
11	169551	140
11	169766	140
11	169896	140
11	170101	140
11	170296	140
11	170441	140
11	170591	140
11	170776	140
11	171116	140
11	171271	140
11	171551	140
11	171791	140
11	172121	140
11	172266	140
11	172956	140
11	173086	140
11	173351	140
11	173536	140
11	173711	140
11	173871	140
11	174351	140
11	174541	140
11	174651	140
11	174831	140
11	175271	140
11	175431	140
11	175588	140
11	175861	140
11	175961	140
11	176171	140
11	176316	140
11	176516	140
11	176801	140
11	176951	140
11	177126	140
11	177251	140
11	177441	140
11	177756	140
11	177918	140
11	178151	140
11	178451	140
11	178621	140
11	178771	140
11	178946	140
11	179101	140
11	179401	140
11	179681	140
11	179811	140
11	180021	140
11	180151	140
11	180461	140
11	180941	140
11	181066	140
11	181376	140
11	181518	140
11	181691	140
11	182061	140
11	182181	140
11	182371	140
11	183011	140
11	183156	140
11	183308	140
11	183481	140
11	183611	140
11	183961	140
11	184181	140
11	184401	140
11	184661	140
11	184811	140
11	185006	140
11	185351	140
11	185531	140
11	185676	140
11	185971	140
11	186121	140
11	186471	140
11	186611	140
11	186911	140
11	187076	140
11	187251	140
11	187461	140
11	187641	140
11	187906	140
11	188091	140
11	188251	140
11	188371	140
11	188546	140
11	188731	140
11	189181	140
11	189356	140
11	189591	140
11	189701	140
11	189811	140
11	189911	140
11	190051	140
11	190291	140
11	190471	140
11	190766	140
11	190931	140
11	191131	140
11	191296	140
11	191471	140
11	191726	140
11	191891	140
11	192061	140
11	192241	140
11	192411	140
11	192546	140
11	192716	140
11	192891	140
11	193041	140
11	193181	140
11	193471	140
11	193671	140
11	193801	140
11	193961	140
11	194156	140
11	194276	140
11	194461	140
11	194591	140
11	194806	140
11	194991	140
11	195241	140
11	195411	140
11	195561	140
11	195896	140
11	196046	140
11	196351	140
11	196681	140
11	196796	140
11	197041	140
11	197148	140
11	197361	140
11	197531	140
11	197736	140
11	197881	140
11	198011	140
11	198268	140
11	198461	140
11	198761	140
11	198991	140
11	199186	140
11	199361	140
11	199496	140
11	199681	140
11	199851	140
11	200011	140
11	200181	140
11	200378	140
11	200591	140
11	200766	140
11	201046	140
11	201231	140
11	201411	140
11	201571	140
11	201696	140
11	201851	140
11	202021	140
11	202301	140
11	202911	140
11	203028	140
11	203181	140
11	203351	140
11	203701	140
11	203866	140
11	204021	140
11	204281	140
11	204411	140
11	204566	140
11	204741	140
11	204906	140
11	205181	140
11	205531	140
11	205686	140
11	205871	140
11	206011	140
11	206151	140
11	206331	140
11	206441	140
11	206576	140
11	206686	140
11	206811	140
11	206971	140
11	207176	140
11	207331	140
11	207511	140
11	207811	140
11	207941	140
11	208106	140
11	208451	140
11	208558	140
11	208721	140
11	208921	140
11	209201	140
11	209341	140
11	209486	140
11	209601	140
11	209711	140
11	209816	140
11	210106	140
11	210321	140
11	210461	140
11	210571	140
11	210681	140
11	210811	140
11	211011	140
11	211171	140
11	211321	140
11	211511	140
11	211621	140
11	211801	140
11	212261	140
11	212501	140
11	212631	140
11	212891	140
11	213071	140
11	213181	140
11	213391	140
11	213611	140
11	213751	140
11	213911	140
11	214076	140
11	214261	140
11	214431	140
11	214576	140
11	214741	140
11	214861	140
11	215026	140
11	215231	140
11	215351	140
11	215571	140
11	215681	140
11	215821	140
11	216016	140
11	216201	140
11	216311	140
11	216551	140
11	216706	140
11	216911	140
11	217076	140
11	217371	140
11	217571	140
11	217721	140
11	217871	140
11	218108	140
11	218361	140
11	218481	140
11	218593	140
11	218701	140
11	219086	140
11	219261	140
11	219558	140
11	219961	140
11	220131	140
11	220311	140
11	220476	140
11	220621	140
11	221011	140
11	221186	140
11	221356	140
11	221461	140
11	221581	140
11	221741	140
11	221871	140
11	222021	140
11	222171	140
11	222341	140
11	222541	140
11	222711	140
11	222911	140
11	223111	140
11	223291	140
11	223441	140
11	223551	140
11	223731	140
11	224091	140
11	224571	140
11	224851	140
11	224961	140
11	225181	140
11	225341	140
11	225501	140
11	225821	140
11	226141	140
11	226321	140
11	226471	140
11	226631	140
11	226951	140
11	227191	140
11	227431	140
11	227601	140
11	227771	140
11	227911	140
11	228061	140
11	228181	140
11	228376	140
11	228501	140
11	228721	140
11	228891	140
11	229041	140
11	229191	140
11	229376	140
11	229501	140
11	229641	140
11	229911	140
11	230026	140
11	230146	140
11	230456	140
11	231356	140
11	231621	140
11	231891	140
11	232031	140
11	232311	140
11	232471	140
11	232716	140
11	232986	140
11	233296	140
11	233471	140
11	233711	140
11	233831	140
11	234061	140
11	234251	140
11	234461	140
11	234601	140
11	234751	140
11	234861	140
11	234996	140
11	235161	140
11	235411	140
11	235881	140
11	236061	140
11	236201	140
11	236331	140
11	236481	140
