Chr	Center
1	72
1	371
1	633
1	859
1	1032
1	1199
1	1340
1	1589
1	1736
1	1923
1	2058
1	2242
1	2425
1	2683
1	2851
1	3014
1	3199
1	3382
1	3529
1	3764
1	3916
1	4077
1	4238
1	4357
1	4556
1	4727
1	4853
1	5001
1	5131
1	5298
1	5484
1	5661
1	5839
1	5961
1	6123
1	6290
1	6597
1	6778
1	6938
1	7138
1	7335
1	7485
1	7619
1	7784
1	7928
1	8037
1	8196
1	8343
1	8465
1	8650
1	8789
1	8970
1	9140
1	9400
1	9600
1	9754
1	9941
1	10071
1	10297
1	10463
1	10628
1	10792
1	10957
1	11073
1	11360
1	11519
1	11711
1	11859
1	12019
1	12171
1	12354
1	12508
1	12620
1	12853
1	12993
1	13118
1	13276
1	13385
1	13529
1	13672
1	13862
1	14021
1	14186
1	14307
1	14414
1	14534
1	14750
1	14885
1	15100
1	15208
1	15389
1	15531
1	15713
1	15901
1	16052
1	16229
1	16387
1	16502
1	16646
1	16825
1	16960
1	17166
1	17316
1	17437
1	17544
1	17709
1	17869
1	18044
1	18220
1	18372
1	18561
1	18726
1	18866
1	19054
1	19240
1	19414
1	19587
1	19778
1	20010
1	20164
1	20379
1	20552
1	20718
1	21232
1	21348
1	21571
1	21731
1	21885
1	22083
1	22245
1	22409
1	22585
1	22744
1	22877
1	23046
1	23153
1	23275
1	23424
1	23588
1	23765
1	24005
1	24134
1	24370
1	24532
1	24694
1	24880
1	25018
1	25132
1	25261
1	25485
1	25620
1	25806
1	26076
1	26296
1	26412
1	26566
1	26751
1	26886
1	27021
1	27148
1	27337
1	27512
1	27652
1	27955
1	28139
1	28342
1	28532
1	28843
1	29026
1	29263
1	29395
1	29522
1	29698
1	30126
1	30289
1	30396
1	30562
1	30727
1	30885
1	31147
1	31337
1	31477
1	31602
1	31812
1	31930
1	32049
1	32251
1	32404
1	32746
1	33240
1	33392
1	33551
1	33824
1	34078
1	34700
1	34848
1	35021
1	35185
1	35332
1	35512
1	35734
1	36044
1	36235
1	36354
1	36568
1	36746
1	36931
1	37079
1	37242
1	37459
1	37598
1	37756
1	37926
1	38080
1	38232
1	38449
1	38656
1	38815
1	38982
1	39241
1	39403
1	39596
1	39766
1	39897
1	40089
1	40260
1	40369
1	40690
1	40888
1	41010
1	41230
1	41358
1	41541
1	41743
1	41898
1	42211
1	42391
1	42552
1	42695
1	42939
1	43083
1	43246
1	43503
1	43619
1	43798
1	43960
1	44122
1	44280
1	44636
1	44839
1	45008
1	45162
1	45317
1	45484
