chr	Center	Size
1	121	140
1	311	140
1	461	140
1	581	140
1	771	140
1	921	140
1	1026	140
1	1231	140
1	1381	140
1	1501	140
1	1681	140
1	1841	140
1	1961	140
1	2141	140
1	2301	140
1	2411	140
1	2601	140
1	2751	140
1	2871	140
1	3061	140
1	3211	140
1	3316	140
1	3521	140
1	3671	140
1	3791	140
1	3971	140
1	4131	140
1	4251	140
1	4431	140
1	4591	140
1	4701	140
1	4891	140
1	5041	140
1	5251	140
1	5351	140
1	5641	140
1	7591	140
1	7691	140
1	7861	140
1	8078	140
1	8511	140
1	8758	140
1	12391	140
1	12541	140
1	13598	140
1	15248	140
1	18788	140
1	22121	140
1	22231	140
1	22551	140
1	22816	140
1	23071	140
1	23631	140
1	23836	140
1	26501	140
1	26646	140
1	28031	140
1	28761	140
1	28921	140
1	30408	140
1	30636	140
1	31261	140
1	31561	140
1	31716	140
1	32316	140
1	32931	140
1	33986	140
1	34101	140
1	35026	140
1	35901	140
1	36121	140
1	36231	140
1	36491	140
1	36898	140
1	37216	140
1	37571	140
1	37826	140
1	37956	140
1	38246	140
1	39428	140
1	39586	140
1	39776	140
1	41436	140
1	41788	140
1	41891	140
1	42631	140
1	43221	140
1	44376	140
1	45268	140
1	46116	140
1	46741	140
1	47196	140
1	47436	140
1	47751	140
1	47951	140
1	48111	140
1	48231	140
1	48351	140
1	48471	140
1	48581	140
1	48711	140
1	49021	140
1	49141	140
1	49311	140
1	49681	140
1	49851	140
1	49981	140
1	50101	140
1	50211	140
1	50421	140
1	50691	140
1	50861	140
1	51031	140
1	51211	140
1	51371	140
1	51491	140
1	51601	140
1	51741	140
1	51921	140
1	52061	140
1	52241	140
1	54236	140
1	54906	140
1	55376	140
1	55851	140
1	56548	140
1	59078	140
1	59386	140
1	59786	140
1	60481	140
1	60646	140
1	62096	140
1	64306	140
1	64471	140
1	64661	140
1	64861	140
1	66978	140
1	68118	140
1	68406	140
1	68981	140
1	70266	140
1	70488	140
1	70796	140
1	72806	140
1	73021	140
1	73601	140
1	73796	140
1	74118	140
1	75728	140
1	76888	140
1	77918	140
1	78106	140
1	79116	140
1	79226	140
1	79701	140
1	79881	140
1	80191	140
1	80796	140
1	83411	140
1	84076	140
1	84186	140
1	85806	140
1	86431	140
1	86576	140
1	86746	140
1	88776	140
1	89746	140
1	90288	140
1	90751	140
1	90886	140
1	91396	140
1	91531	140
1	91656	140
1	91856	140
1	92211	140
1	93156	140
1	93271	140
1	93497	140
1	94266	140
1	95106	140
1	95498	140
1	95618	140
1	95776	140
1	95996	140
1	96968	140
1	97756	140
1	98431	140
1	98736	140
1	99486	140
1	100271	140
1	100381	140
1	101301	140
1	102506	140
1	102676	140
1	102821	140
1	103026	140
1	103221	140
1	103386	140
1	103571	140
1	104771	140
1	104906	140
1	105686	140
1	105888	140
1	106071	140
1	106191	140
1	106601	140
1	107376	140
1	108261	140
1	108771	140
1	109246	140
1	109766	140
1	110116	140
1	110486	140
1	110796	140
1	111036	140
1	112038	140
1	112708	140
1	112828	140
1	113488	140
1	114826	140
1	115566	140
1	115756	140
1	115891	140
1	116006	140
1	116926	140
1	117606	140
1	117756	140
1	118288	140
1	118536	140
1	118731	140
1	119028	140
1	119316	140
1	119486	140
1	119896	140
1	120781	140
1	120901	140
1	121741	140
1	121876	140
1	123201	140
1	123311	140
1	124318	140
1	124586	140
1	124706	140
1	124861	140
1	125106	140
1	126406	140
1	127506	140
1	127701	140
1	128608	140
1	128721	140
1	129126	140
1	130458	140
1	130608	140
